,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
53,1612382881,15.38,92.85,31000,102,522,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:08:01
49,1612382935,15.35,92.98,31000,103,520,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:08:55
26,1612382996,15.31,93.13,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:09:56
31,1612383057,15.28,93.27,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:10:57
75,1612383110,15.25,93.4,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:11:50
44,1612383159,15.23,93.52,31000,103,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:12:39
82,1612383231,15.18,93.71,31000,103,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:13:51
62,1612383295,15.16,93.83,31000,103,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:14:55
77,1612383362,15.11,94.01,31000,103,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:16:02
40,1612383431,15.08,94.15,31000,103,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:17:11
14,1612383474,15.05,94.29,31000,103,520,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:17:54
12,1612383531,15.02,94.42,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:18:51
104,1612383588,14.99,94.55,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:19:48
88,1612383663,14.95,94.7,31000,103,519,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:21:03
93,1612383729,14.9,94.93,31000,103,517,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:22:09
87,1612383769,14.88,95.03,31000,103,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:22:49
57,1612383823,14.84,95.16,31000,103,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:23:43
42,1612383889,14.81,95.32,31000,103,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:24:49
64,1612383960,14.77,95.49,31000,103,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:26:00
79,1612384029,14.73,95.65,31000,103,518,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:27:09
54,1612384088,14.69,95.8,31000,103,514,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:28:08
30,1612384144,14.66,95.93,31000,103,514,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:29:04
125,1612384207,14.62,96.08,31000,103,512,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:30:07
19,1612384266,14.59,96.22,31000,103,514,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:31:06
23,1612384323,14.56,96.36,31000,103,513,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:32:03
38,1612384387,14.52,96.5,31000,104,514,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:33:07
92,1612384447,14.49,96.64,31000,104,514,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:34:07
52,1612384508,14.45,96.8,31000,104,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:35:08
108,1612384567,14.42,96.94,31000,104,516,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:36:07
17,1612384631,14.38,97.08,31000,104,517,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:37:11
116,1612384691,14.35,97.2,31000,104,517,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:38:11
72,1612384758,14.3,97.4,31000,104,520,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:39:18
22,1612384801,14.28,97.5,31000,104,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:40:01
99,1612384881,14.23,97.69,31000,104,521,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:41:21
11,1612384939,14.19,97.83,31000,104,520,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:42:19
3,1612385001,14.16,97.98,31000,104,520,06A2E3,DOH,SGN,QTR8970,0,B77L,QR8970,2021-02-04,03:43:21
