,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
80,1612419729,21.21,105.81,0,278,3,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:22:09
98,1612419785,21.21,105.81,0,267,3,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:23:05
23,1612419841,21.21,105.81,0,245,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:24:01
9,1612419906,21.21,105.81,0,245,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:25:06
60,1612419961,21.21,105.81,0,64,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:26:01
118,1612420026,21.21,105.81,0,64,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:27:06
125,1612420090,21.22,105.81,0,16,11,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:28:10
27,1612420150,21.22,105.8,0,286,21,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:29:10
53,1612420212,21.22,105.8,0,286,22,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:30:12
62,1612420278,21.22,105.79,0,16,8,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:31:18
102,1612420341,21.22,105.79,0,106,15,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:32:21
28,1612420398,21.22,105.8,0,106,84,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:33:18
10,1612420465,21.21,105.85,1950,106,186,88811A,HAN,SGN,VJC141,1728,A321,VJ141,2021-02-04,13:34:25
77,1612420522,21.16,105.88,4275,163,254,88811A,HAN,SGN,VJC141,3904,A321,VJ141,2021-02-04,13:35:22
87,1612420581,21.09,105.91,7875,161,269,88811A,HAN,SGN,VJC141,2368,A321,VJ141,2021-02-04,13:36:21
68,1612420628,21.03,105.93,10100,162,301,88811A,HAN,SGN,VJC141,3136,A321,VJ141,2021-02-04,13:37:08
65,1612420686,20.95,105.96,11525,162,369,88811A,HAN,SGN,VJC141,1088,A321,VJ141,2021-02-04,13:38:06
117,1612420765,20.81,106.0,14775,162,391,88811A,HAN,SGN,VJC141,1536,A321,VJ141,2021-02-04,13:39:25
16,1612420827,20.7,106.04,16925,162,410,88811A,HAN,SGN,VJC141,2368,A321,VJ141,2021-02-04,13:40:27
64,1612420883,20.6,106.07,19100,162,412,88811A,HAN,SGN,VJC141,2176,A321,VJ141,2021-02-04,13:41:23
35,1612420936,20.5,106.1,20800,170,423,88811A,HAN,SGN,VJC141,1792,A321,VJ141,2021-02-04,13:42:16
101,1612421005,20.36,106.13,22925,156,445,88811A,HAN,SGN,VJC141,2048,A321,VJ141,2021-02-04,13:43:25
2,1612421064,20.25,106.18,24600,154,457,88811A,HAN,SGN,VJC141,1728,A321,VJ141,2021-02-04,13:44:24
61,1612421125,20.13,106.24,26275,154,470,88811A,HAN,SGN,VJC141,1216,A321,VJ141,2021-02-04,13:45:25
6,1612421184,20.02,106.3,27700,154,480,88811A,HAN,SGN,VJC141,1472,A321,VJ141,2021-02-04,13:46:24
47,1612421242,19.9,106.36,29400,154,480,88811A,HAN,SGN,VJC141,1792,A321,VJ141,2021-02-04,13:47:22
116,1612421298,19.79,106.42,31100,154,479,88811A,HAN,SGN,VJC141,1024,A321,VJ141,2021-02-04,13:48:18
69,1612421364,19.65,106.48,32875,154,481,88811A,HAN,SGN,VJC141,1792,A321,VJ141,2021-02-04,13:49:24
90,1612421416,19.55,106.54,34550,154,477,88811A,HAN,SGN,VJC141,2432,A321,VJ141,2021-02-04,13:50:16
58,1612421476,19.43,106.59,36000,154,457,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:51:16
38,1612421535,19.32,106.65,36000,154,460,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:52:15
78,1612421600,19.19,106.71,36000,155,464,88811A,HAN,SGN,VJC141,64,A321,VJ141,2021-02-04,13:53:20
14,1612421659,19.07,106.77,36025,156,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:54:19
92,1612421724,18.95,106.83,36000,156,460,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:55:24
66,1612421784,18.83,106.88,36000,156,458,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:56:24
55,1612421833,18.73,106.92,36000,156,457,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:57:13
32,1612421911,18.59,106.99,35975,156,457,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:58:31
110,1612421971,18.49,107.04,35975,156,457,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,13:59:31
120,1612422023,18.4,107.08,35975,156,457,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:00:23
84,1612422087,18.25,107.15,36000,155,459,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:01:27
109,1612422147,18.15,107.2,36000,155,459,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:02:27
72,1612422219,18.04,107.26,36000,155,459,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:03:39
1,1612422269,17.89,107.32,36025,155,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:04:29
50,1612422323,17.78,107.37,36025,155,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:05:23
100,1612422387,17.67,107.42,36025,155,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:06:27
4,1612422459,17.56,107.48,36025,155,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:07:39
111,1612422496,17.44,107.53,35975,155,458,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:08:16
73,1612422571,17.32,107.59,35975,155,458,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:09:31
17,1612422637,17.17,107.66,36000,155,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:10:37
19,1612422692,17.06,107.71,36025,154,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:11:32
25,1612422753,16.94,107.77,36025,154,461,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:12:33
54,1612422812,16.83,107.82,36025,155,459,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:13:32
5,1612422873,16.71,107.88,36000,155,456,88811A,HAN,SGN,VJC141,-64,A321,VJ141,2021-02-04,14:14:33
104,1612422931,16.6,107.93,36000,154,455,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:15:31
123,1612422995,16.49,107.99,35975,154,454,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:16:35
56,1612423042,16.39,108.04,35975,155,455,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:17:22
126,1612423110,16.26,108.1,35975,157,458,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:18:30
124,1612423169,16.14,108.12,36050,176,455,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:19:29
105,1612423232,16.0,108.13,36025,177,454,88811A,HAN,SGN,VJC141,64,A321,VJ141,2021-02-04,14:20:32
31,1612423288,15.89,108.13,36025,176,454,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:21:28
88,1612423335,15.78,108.14,36000,176,453,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:22:15
94,1612423402,15.64,108.15,36025,176,449,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:23:22
121,1612423460,15.52,108.15,36000,177,446,88811A,HAN,SGN,VJC141,-64,A321,VJ141,2021-02-04,14:24:20
115,1612423520,15.4,108.16,35950,176,445,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:25:20
15,1612423581,15.27,108.17,35975,177,446,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:26:21
89,1612423641,15.15,108.17,36000,177,448,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:27:21
40,1612423698,15.03,108.18,36000,181,456,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:28:18
70,1612423762,14.89,108.17,36000,181,458,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:29:22
83,1612423816,14.78,108.17,36000,181,460,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:30:16
97,1612423878,14.65,108.17,36025,181,461,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:31:18
42,1612423937,14.52,108.17,36000,181,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:32:17
127,1612423990,14.41,108.16,36000,181,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:33:10
26,1612424053,14.27,108.16,36000,181,464,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:34:13
76,1612424106,14.16,108.16,36000,181,464,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:35:06
30,1612424172,14.02,108.15,36000,181,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:36:12
67,1612424227,13.9,108.15,36025,181,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:37:07
13,1612424289,13.76,108.15,35975,181,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:38:09
96,1612424345,13.64,108.15,36000,181,463,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:39:05
34,1612424406,13.51,108.14,36000,181,463,88811A,HAN,SGN,VJC141,-64,A321,VJ141,2021-02-04,14:40:06
49,1612424470,13.38,108.14,36025,181,462,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:41:10
36,1612424532,13.24,108.14,36000,181,461,88811A,HAN,SGN,VJC141,-64,A321,VJ141,2021-02-04,14:42:12
52,1612424594,13.11,108.13,36000,181,460,88811A,HAN,SGN,VJC141,64,A321,VJ141,2021-02-04,14:43:14
114,1612424647,13.0,108.13,36000,181,451,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:44:07
112,1612424704,12.88,108.13,36000,181,453,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,14:45:04
48,1612424773,12.73,108.12,35875,181,454,88811A,HAN,SGN,VJC141,-832,A321,VJ141,2021-02-04,14:46:13
39,1612424828,12.62,108.12,35000,181,454,88811A,HAN,SGN,VJC141,-960,A321,VJ141,2021-02-04,14:47:08
45,1612424890,12.49,108.12,34025,181,453,88811A,HAN,SGN,VJC141,-960,A321,VJ141,2021-02-04,14:48:10
33,1612424958,12.34,108.12,32950,181,458,88811A,HAN,SGN,VJC141,-960,A321,VJ141,2021-02-04,14:49:18
43,1612425020,12.21,108.11,31100,181,462,88811A,HAN,SGN,VJC141,-1920,A321,VJ141,2021-02-04,14:50:20
24,1612425078,12.09,108.11,29175,181,455,88811A,HAN,SGN,VJC141,-1984,A321,VJ141,2021-02-04,14:51:18
37,1612425133,11.97,108.11,27400,181,435,88811A,HAN,SGN,VJC141,-2112,A321,VJ141,2021-02-04,14:52:13
86,1612425178,11.89,108.08,25825,211,433,88811A,HAN,SGN,VJC141,-1664,A321,VJ141,2021-02-04,14:52:58
79,1612425245,11.79,108.0,24725,218,406,88811A,HAN,SGN,VJC141,-1024,A321,VJ141,2021-02-04,14:54:05
44,1612425309,11.69,107.93,23675,218,401,88811A,HAN,SGN,VJC141,-1088,A321,VJ141,2021-02-04,14:55:09
8,1612425370,11.6,107.86,22650,218,399,88811A,HAN,SGN,VJC141,-1088,A321,VJ141,2021-02-04,14:56:10
93,1612425422,11.53,107.8,21825,218,385,88811A,HAN,SGN,VJC141,-896,A321,VJ141,2021-02-04,14:57:02
59,1612425496,11.42,107.72,20500,218,375,88811A,HAN,SGN,VJC141,-1856,A321,VJ141,2021-02-04,14:58:16
51,1612425552,11.35,107.66,19150,218,353,88811A,HAN,SGN,VJC141,-1856,A321,VJ141,2021-02-04,14:59:12
11,1612425618,11.27,107.59,17050,218,350,88811A,HAN,SGN,VJC141,-1728,A321,VJ141,2021-02-04,15:00:18
81,1612425676,11.19,107.53,15675,218,334,88811A,HAN,SGN,VJC141,-1408,A321,VJ141,2021-02-04,15:01:16
99,1612425740,11.12,107.47,14525,218,307,88811A,HAN,SGN,VJC141,-1024,A321,VJ141,2021-02-04,15:02:20
29,1612425797,11.05,107.42,13350,218,297,88811A,HAN,SGN,VJC141,-1088,A321,VJ141,2021-02-04,15:03:17
20,1612425857,11.01,107.36,12200,253,286,88811A,HAN,SGN,VJC141,-640,A321,VJ141,2021-02-04,15:04:17
7,1612425918,10.98,107.28,11100,253,271,88811A,HAN,SGN,VJC141,-1152,A321,VJ141,2021-02-04,15:05:18
95,1612425976,10.94,107.23,9750,186,258,88811A,HAN,SGN,VJC141,-1408,A321,VJ141,2021-02-04,15:06:16
41,1612426036,10.87,107.23,8325,212,258,88811A,HAN,SGN,VJC141,-1536,A321,VJ141,2021-02-04,15:07:16
75,1612426090,10.86,107.17,7225,273,255,88811A,HAN,SGN,VJC141,-1344,A321,VJ141,2021-02-04,15:08:10
106,1612426157,10.86,107.1,6375,272,231,88811A,HAN,SGN,VJC141,-512,A321,VJ141,2021-02-04,15:09:17
46,1612426221,10.86,107.03,5750,273,221,88811A,HAN,SGN,VJC141,-704,A321,VJ141,2021-02-04,15:10:21
85,1612426276,10.87,106.97,5100,276,218,88811A,HAN,SGN,VJC141,-768,A321,VJ141,2021-02-04,15:11:16
3,1612426337,10.87,106.91,4050,275,220,88811A,HAN,SGN,VJC141,-1216,A321,VJ141,2021-02-04,15:12:17
22,1612426400,10.88,106.84,3000,275,216,88811A,HAN,SGN,VJC141,-1088,A321,VJ141,2021-02-04,15:13:20
103,1612426457,10.87,106.79,2325,249,194,88811A,HAN,SGN,VJC141,-576,A321,VJ141,2021-02-04,15:14:17
18,1612426518,10.86,106.75,1750,248,147,88811A,HAN,SGN,VJC141,-704,A321,VJ141,2021-02-04,15:15:18
71,1612426568,10.84,106.72,1150,248,137,88811A,HAN,SGN,VJC141,-640,A321,VJ141,2021-02-04,15:16:08
107,1612426635,10.83,106.68,400,248,138,88811A,HAN,SGN,VJC141,-640,A321,VJ141,2021-02-04,15:17:15
122,1612426695,10.82,106.65,0,247,42,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:18:15
119,1612426753,10.81,106.64,0,160,18,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:19:13
12,1612426812,10.81,106.65,0,98,16,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:20:12
128,1612426874,10.81,106.65,0,70,24,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:21:14
63,1612426934,10.81,106.65,0,160,3,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:22:14
21,1612426996,10.81,106.65,0,241,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:23:16
113,1612427061,10.81,106.65,0,241,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:24:21
108,1612427121,10.81,106.65,0,180,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:25:21
91,1612427177,10.81,106.65,0,241,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:26:17
74,1612427232,10.81,106.65,0,180,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:27:12
82,1612427287,10.81,106.65,0,180,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:28:07
0,1612427357,10.81,106.65,0,271,0,88811A,HAN,SGN,VJC141,0,A321,VJ141,2021-02-04,15:29:17
