,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
127,1612868579,20.99,91.1,35000,124,499,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:02:59
57,1612868638,20.91,91.22,35000,124,498,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:03:58
92,1612868701,20.83,91.35,35000,124,498,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:05:01
110,1612868754,20.76,91.46,35000,124,497,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:05:54
167,1612868812,20.69,91.58,35000,124,496,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:06:52
153,1612868879,20.6,91.71,35000,124,496,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:07:59
105,1612868940,20.53,91.83,35000,122,497,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:09:00
73,1612868996,20.46,91.94,35000,122,495,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:09:56
99,1612869060,20.38,92.07,35000,122,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:11:00
101,1612869119,20.29,92.19,35000,125,493,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:11:59
49,1612869179,20.21,92.31,35000,125,493,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:12:59
139,1612869229,20.14,92.41,35000,125,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:13:49
96,1612869292,20.08,92.52,35000,122,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:14:52
3,1612869352,20.02,92.63,35000,122,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:15:52
126,1612869422,19.9,92.78,35000,125,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:17:02
136,1612869460,19.86,92.84,35000,125,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:17:40
38,1612869540,19.74,93.02,35000,122,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:19:00
11,1612869588,19.74,93.01,35000,125,494,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:19:48
122,1612869655,19.59,93.24,35000,125,492,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:20:55
34,1612869719,19.51,93.35,35000,125,491,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:21:59
1,1612869784,19.44,93.47,35000,122,491,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:23:04
107,1612869833,19.42,93.5,35000,125,491,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:23:53
63,1612869899,19.33,93.63,35000,125,491,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:24:59
80,1612869952,19.27,93.72,35000,122,491,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:25:52
30,1612870015,19.12,93.94,35000,125,489,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:26:55
17,1612870071,19.05,94.03,35000,125,486,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:27:51
100,1612870142,18.95,94.18,35000,125,485,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:29:02
128,1612870204,18.87,94.3,35000,125,482,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:30:04
36,1612870266,18.8,94.41,35000,125,479,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:31:06
150,1612870324,18.73,94.5,35000,125,478,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:32:04
27,1612870386,18.65,94.62,34975,125,477,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:33:06
44,1612870439,18.58,94.73,35000,125,477,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:33:59
135,1612870500,18.51,94.83,35000,124,477,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:35:00
113,1612870565,18.43,94.95,35000,124,478,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:36:05
86,1612870626,18.35,95.07,35000,124,477,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:37:06
76,1612870689,18.27,95.19,35000,126,476,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:38:09
56,1612870746,18.2,95.29,35000,126,479,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:39:06
131,1612870803,18.13,95.39,35025,126,480,8007CD,CCU,SGN,IGO9256,128,A320,6E9256,2021-02-09,18:40:03
115,1612870870,18.02,95.54,35000,126,478,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,18:41:10
74,1612870916,17.97,95.61,35000,126,478,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:41:56
169,1612870977,17.89,95.72,35000,126,478,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:42:57
9,1612871050,17.8,95.84,35000,126,478,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:44:10
154,1612871102,17.73,95.95,35025,126,473,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:45:02
112,1612871175,17.64,96.07,35000,126,466,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:46:15
133,1612871237,17.56,96.19,34975,126,466,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,18:47:17
157,1612871295,17.49,96.29,34975,126,466,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:48:15
58,1612871353,17.35,96.47,35000,126,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:49:13
31,1612871417,17.27,96.58,34975,127,471,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,18:50:17
129,1612871480,17.19,96.7,35000,127,477,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,18:51:20
41,1612871538,17.11,96.81,35050,127,477,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:52:18
16,1612871602,17.02,96.92,35025,127,476,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:53:22
2,1612871657,16.95,97.02,35000,127,475,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,18:54:17
22,1612871717,16.87,97.13,34975,127,476,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,18:55:17
151,1612871778,16.78,97.24,35000,127,472,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:56:18
83,1612871843,16.7,97.36,35000,127,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:57:23
90,1612871897,16.62,97.45,34975,127,470,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,18:58:17
25,1612871961,16.54,97.57,35000,127,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,18:59:21
152,1612872021,16.46,97.68,34975,127,472,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:00:21
143,1612872085,16.37,97.79,35000,132,472,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,19:01:25
165,1612872147,16.27,97.89,35025,139,470,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:02:27
94,1612872199,16.18,97.96,35050,139,469,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,19:03:19
149,1612872260,16.08,98.05,35000,139,467,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:04:20
95,1612872322,15.98,98.14,35000,139,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:05:22
77,1612872377,15.89,98.23,35000,139,467,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:06:17
85,1612872438,15.79,98.31,35000,139,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:07:18
14,1612872502,15.68,98.41,35000,139,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:08:22
125,1612872567,15.58,98.5,35000,139,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:09:27
121,1612872630,15.48,98.6,35000,133,473,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:10:30
20,1612872693,15.39,98.71,35050,128,476,8007CD,CCU,SGN,IGO9256,320,A320,6E9256,2021-02-09,19:11:33
130,1612872749,15.31,98.81,36525,128,472,8007CD,CCU,SGN,IGO9256,1664,A320,6E9256,2021-02-09,19:12:29
103,1612872815,15.22,98.93,38050,128,477,8007CD,CCU,SGN,IGO9256,2752,A320,6E9256,2021-02-09,19:13:35
67,1612872875,15.14,99.03,39025,129,457,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:14:35
109,1612872932,15.06,99.13,39000,129,465,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:15:32
29,1612872992,14.98,99.23,39000,129,467,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:16:32
162,1612873050,14.9,99.33,38975,129,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:17:30
108,1612873115,14.81,99.45,39000,129,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:18:35
23,1612873174,14.73,99.55,39025,129,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:19:34
123,1612873235,14.64,99.66,38975,129,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:20:35
158,1612873287,14.57,99.75,38975,129,469,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:21:27
84,1612873347,14.49,99.85,39025,129,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:22:27
79,1612873408,14.4,99.96,39000,129,468,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,19:23:28
118,1612873464,14.33,100.05,39000,129,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:24:24
28,1612873527,14.24,100.16,38975,129,469,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:25:27
144,1612873584,14.16,100.26,39000,129,471,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:26:24
52,1612873646,14.07,100.37,39025,129,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:27:26
82,1612873700,14.0,100.46,39025,129,469,8007CD,CCU,SGN,IGO9256,-64,A320,6E9256,2021-02-09,19:28:20
72,1612873758,13.91,100.55,39025,144,458,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:29:18
26,1612873817,13.81,100.62,39000,144,457,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:30:17
45,1612873875,13.71,100.7,39000,144,454,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:31:15
142,1612873924,13.64,100.77,38975,124,454,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:32:04
134,1612873993,13.5,100.84,39000,144,455,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:33:13
98,1612874058,13.39,100.93,39000,144,455,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:34:18
141,1612874119,13.29,101.0,38975,145,456,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:35:19
39,1612874178,13.18,101.08,39000,145,458,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:36:18
53,1612874241,13.08,101.17,39025,120,474,8007CD,CCU,SGN,IGO9256,192,A320,6E9256,2021-02-09,19:37:21
40,1612874303,13.03,101.3,39050,112,473,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:38:23
47,1612874357,12.98,101.41,39000,112,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:39:17
60,1612874417,12.93,101.53,38975,112,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:40:17
43,1612874474,12.89,101.65,38975,112,469,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:41:14
116,1612874530,12.84,101.76,38975,112,470,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:42:10
18,1612874584,12.79,101.87,39000,112,471,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:43:04
10,1612874647,12.74,102.0,39000,112,472,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:44:07
81,1612874698,12.7,102.11,39025,112,473,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:44:58
75,1612874769,12.63,102.26,39000,112,471,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:46:09
64,1612874833,12.58,102.39,39000,112,471,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:47:13
51,1612874894,12.53,102.51,39000,112,467,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:48:14
48,1612874953,12.48,102.63,39025,112,465,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:49:13
4,1612875012,12.43,102.75,39000,113,462,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:50:12
12,1612875074,12.38,102.88,38975,113,463,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:51:14
160,1612875135,12.33,103.0,38975,113,464,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:52:15
78,1612875189,12.28,103.11,39000,113,465,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:53:09
65,1612875252,12.23,103.23,39000,113,466,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:54:12
68,1612875318,12.17,103.37,39000,113,467,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:55:18
32,1612875379,12.12,103.49,39000,113,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:56:19
163,1612875444,12.06,103.62,39000,113,468,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:57:24
89,1612875502,12.01,103.74,39000,113,466,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,19:58:22
70,1612875560,11.96,103.86,39000,113,466,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,19:59:20
8,1612875621,11.91,103.98,39025,113,464,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,20:00:21
55,1612875683,11.86,104.11,39000,113,463,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,20:01:23
117,1612875738,11.81,104.22,39000,113,462,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:02:18
24,1612875803,11.76,104.35,39000,113,460,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:03:23
138,1612875857,11.71,104.46,39000,113,459,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:04:17
62,1612875921,11.66,104.58,38975,113,457,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:05:21
93,1612875982,11.6,104.7,38975,113,459,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,20:06:22
104,1612876038,11.56,104.82,39000,113,458,8007CD,CCU,SGN,IGO9256,64,A320,6E9256,2021-02-09,20:07:18
5,1612876095,11.51,104.93,39000,111,459,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:08:15
164,1612876158,11.46,105.06,39000,111,458,8007CD,CCU,SGN,IGO9256,0,A320,6E9256,2021-02-09,20:09:18
87,1612876211,11.42,105.16,37900,111,457,8007CD,CCU,SGN,IGO9256,-2816,A320,6E9256,2021-02-09,20:10:11
145,1612876278,11.37,105.3,35075,111,462,8007CD,CCU,SGN,IGO9256,-2560,A320,6E9256,2021-02-09,20:11:18
102,1612876330,11.33,105.4,32675,111,461,8007CD,CCU,SGN,IGO9256,-4224,A320,6E9256,2021-02-09,20:12:10
132,1612876395,11.28,105.53,29900,111,453,8007CD,CCU,SGN,IGO9256,-2816,A320,6E9256,2021-02-09,20:13:15
114,1612876459,11.23,105.66,27850,111,428,8007CD,CCU,SGN,IGO9256,-2560,A320,6E9256,2021-02-09,20:14:19
15,1612876517,11.18,105.77,25650,111,435,8007CD,CCU,SGN,IGO9256,-1664,A320,6E9256,2021-02-09,20:15:17
19,1612876582,11.14,105.89,23975,111,424,8007CD,CCU,SGN,IGO9256,-1536,A320,6E9256,2021-02-09,20:16:22
