timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1613047535,21.21,105.81,0,311,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:45:35
1613047595,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:46:35
1613047655,21.21,105.81,0,140,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:47:35
1613047715,21.21,105.81,0,271,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:48:35
1613047775,21.21,105.81,0,296,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:49:35
1613047841,21.21,105.81,0,89,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:50:41
1613047901,21.21,105.81,0,306,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:51:41
1613047966,21.21,105.81,0,311,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:52:46
1613048021,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:53:41
1613048076,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:54:36
1613048140,21.21,105.81,0,130,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:55:40
1613048195,21.21,105.81,0,311,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:56:35
1613048225,21.21,105.81,0,296,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:57:05
1613048315,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:58:35
1613048380,21.21,105.81,0,220,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,19:59:40
1613048435,21.21,105.81,0,306,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:00:35
1613048484,21.21,105.81,0,314,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:01:24
1613048560,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:02:40
1613048620,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:03:40
1613048680,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:04:40
1613048740,21.21,105.81,0,72,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:05:40
1613048800,21.21,105.81,0,133,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:06:40
1613048865,21.21,105.81,0,245,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:07:45
1613048926,21.21,105.81,0,46,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:08:46
1613048990,21.21,105.81,0,46,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:09:50
1613049045,21.21,105.81,0,296,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:10:45
1613049105,21.21,105.81,0,296,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:11:45
1613049165,21.21,105.81,0,245,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:12:45
1613049226,21.21,105.81,0,330,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:13:46
1613049286,21.21,105.81,0,11,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:14:46
1613049345,21.21,105.81,0,70,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:15:45
1613049415,21.21,105.81,0,271,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:16:55
1613049469,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:17:49
1613049534,21.21,105.81,0,321,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:18:54
1613049595,21.21,105.81,0,215,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:19:55
1613049654,21.21,105.81,0,215,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:20:54
1613049713,21.21,105.81,0,133,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:21:53
1613049769,21.21,105.81,0,271,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:22:49
1613049834,21.21,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:23:54
1613049895,21.21,105.81,0,89,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:24:55
1613049954,21.21,105.81,0,115,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:25:54
1613050010,21.21,105.81,0,135,2,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:26:50
1613050071,21.21,105.81,0,199,3,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:27:51
1613050131,21.21,105.81,0,196,3,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:28:51
1613050195,21.22,105.81,0,264,2,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:29:55
1613050255,21.22,105.81,0,271,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:30:55
1613050313,21.22,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:31:53
1613050373,21.22,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:32:53
1613050429,21.22,105.81,0,180,0,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:33:49
1613050495,21.22,105.81,0,303,9,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:34:55
1613050559,21.22,105.8,0,286,10,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:35:59
1613050619,21.22,105.8,0,286,12,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:36:59
1613050679,21.22,105.8,0,286,12,8881BA,HAN,SGN,VAG787,0,A321,VU787,2021-02-11,20:37:59
