,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
81,1614676466,2.78,101.67,1500,325,168,750262,KUL,SGN,MAS766,640,A333,MH766,2021-03-02,16:14:26
16,1614676532,2.85,101.66,4650,38,259,750262,KUL,SGN,MAS766,4416,A333,MH766,2021-03-02,16:15:32
18,1614676584,2.89,101.7,7700,38,252,750262,KUL,SGN,MAS766,2432,A333,MH766,2021-03-02,16:16:24
58,1614676646,2.96,101.75,10150,37,278,750262,KUL,SGN,MAS766,2880,A333,MH766,2021-03-02,16:17:26
31,1614676700,3.02,101.79,11675,38,325,750262,KUL,SGN,MAS766,3840,A333,MH766,2021-03-02,16:18:20
28,1614676765,3.1,101.85,13750,38,359,750262,KUL,SGN,MAS766,2112,A333,MH766,2021-03-02,16:19:25
93,1614676824,3.18,101.92,16000,38,372,750262,KUL,SGN,MAS766,1984,A333,MH766,2021-03-02,16:20:24
39,1614676878,3.25,101.97,17675,38,387,750262,KUL,SGN,MAS766,1088,A333,MH766,2021-03-02,16:21:18
33,1614676941,3.34,102.05,19425,37,408,750262,KUL,SGN,MAS766,1728,A333,MH766,2021-03-02,16:22:21
59,1614676995,3.43,102.1,21300,29,413,750262,KUL,SGN,MAS766,2112,A333,MH766,2021-03-02,16:23:15
10,1614677058,3.54,102.16,22900,27,425,750262,KUL,SGN,MAS766,1344,A333,MH766,2021-03-02,16:24:18
25,1614677122,3.66,102.22,24550,27,438,750262,KUL,SGN,MAS766,1600,A333,MH766,2021-03-02,16:25:22
74,1614677189,3.78,102.28,26250,26,443,750262,KUL,SGN,MAS766,1664,A333,MH766,2021-03-02,16:26:29
85,1614677240,3.87,102.32,27450,27,447,750262,KUL,SGN,MAS766,832,A333,MH766,2021-03-02,16:27:20
71,1614677312,4.01,102.39,28775,27,459,750262,KUL,SGN,MAS766,1088,A333,MH766,2021-03-02,16:28:32
63,1614677377,4.13,102.46,30150,27,462,750262,KUL,SGN,MAS766,1088,A333,MH766,2021-03-02,16:29:37
89,1614677434,4.24,102.51,31075,27,471,750262,KUL,SGN,MAS766,832,A333,MH766,2021-03-02,16:30:34
14,1614677495,4.36,102.57,31850,27,481,750262,KUL,SGN,MAS766,832,A333,MH766,2021-03-02,16:31:35
69,1614677558,4.49,102.64,32750,27,487,750262,KUL,SGN,MAS766,1152,A333,MH766,2021-03-02,16:32:38
76,1614677620,4.61,102.7,34175,27,479,750262,KUL,SGN,MAS766,1344,A333,MH766,2021-03-02,16:33:40
7,1614677685,4.74,102.77,35575,26,472,750262,KUL,SGN,MAS766,1152,A333,MH766,2021-03-02,16:34:45
60,1614677727,4.82,102.81,36350,27,470,750262,KUL,SGN,MAS766,1088,A333,MH766,2021-03-02,16:35:27
67,1614677802,4.97,102.88,37550,26,468,750262,KUL,SGN,MAS766,768,A333,MH766,2021-03-02,16:36:42
53,1614677852,5.06,102.93,38275,26,467,750262,KUL,SGN,MAS766,960,A333,MH766,2021-03-02,16:37:32
38,1614677919,5.18,102.99,38900,26,464,750262,KUL,SGN,MAS766,896,A333,MH766,2021-03-02,16:38:39
49,1614677982,5.31,103.06,39000,26,461,750262,KUL,SGN,MAS766,-64,A333,MH766,2021-03-02,16:39:42
