,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
46,1614932123,1.36,103.99,0,202,30,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:15:23
85,1614932145,1.36,103.98,0,202,16,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:15:45
61,1614932253,1.35,103.98,0,202,28,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:17:33
50,1614932320,1.35,103.98,0,25,11,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:18:40
9,1614932427,1.41,104.0,3675,22,196,76D1C2,SIN,SGN,TGW302,2688,A20N,TR302,2021-03-05,15:20:27
99,1614932479,1.47,104.01,5975,342,271,76D1C2,SIN,SGN,TGW302,3968,A20N,TR302,2021-03-05,15:21:19
70,1614932552,1.56,103.98,10550,340,305,76D1C2,SIN,SGN,TGW302,2240,A20N,TR302,2021-03-05,15:22:32
60,1614932608,1.64,103.95,12800,341,362,76D1C2,SIN,SGN,TGW302,3328,A20N,TR302,2021-03-05,15:23:28
67,1614932659,1.73,103.92,15225,341,386,76D1C2,SIN,SGN,TGW302,3200,A20N,TR302,2021-03-05,15:24:19
105,1614932723,1.84,103.91,18675,356,395,76D1C2,SIN,SGN,TGW302,2688,A20N,TR302,2021-03-05,15:25:23
12,1614932775,1.94,103.9,20600,356,418,76D1C2,SIN,SGN,TGW302,1536,A20N,TR302,2021-03-05,15:26:15
66,1614932839,2.07,103.89,23375,356,426,76D1C2,SIN,SGN,TGW302,3072,A20N,TR302,2021-03-05,15:27:19
40,1614932904,2.2,103.88,25475,356,443,76D1C2,SIN,SGN,TGW302,1664,A20N,TR302,2021-03-05,15:28:24
103,1614932965,2.33,103.88,27550,356,453,76D1C2,SIN,SGN,TGW302,2560,A20N,TR302,2021-03-05,15:29:25
20,1614933017,2.44,103.88,29000,9,465,76D1C2,SIN,SGN,TGW302,1664,A20N,TR302,2021-03-05,15:30:17
76,1614933080,2.57,103.9,31175,8,463,76D1C2,SIN,SGN,TGW302,2240,A20N,TR302,2021-03-05,15:31:20
79,1614933140,2.7,103.92,33425,8,455,76D1C2,SIN,SGN,TGW302,2368,A20N,TR302,2021-03-05,15:32:20
68,1614933195,2.82,103.94,35125,8,451,76D1C2,SIN,SGN,TGW302,1920,A20N,TR302,2021-03-05,15:33:15
41,1614933259,2.95,103.96,37075,8,446,76D1C2,SIN,SGN,TGW302,2112,A20N,TR302,2021-03-05,15:34:19
10,1614933314,3.06,103.97,38000,8,439,76D1C2,SIN,SGN,TGW302,64,A20N,TR302,2021-03-05,15:35:14
114,1614933387,3.21,103.99,38000,8,443,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:36:27
56,1614933452,3.34,104.01,38000,8,444,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:37:32
36,1614933492,3.42,104.03,38025,8,443,76D1C2,SIN,SGN,TGW302,64,A20N,TR302,2021-03-05,15:38:12
49,1614933561,3.56,104.05,38025,8,441,76D1C2,SIN,SGN,TGW302,0,A20N,TR302,2021-03-05,15:39:21
