,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
29,1615473613,22.31,113.91,0,180,0,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:40:13
49,1615473663,22.31,113.91,0,180,0,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:41:03
11,1615473717,22.31,113.91,0,180,0,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:41:57
33,1615473777,22.31,113.91,0,180,0,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:42:57
68,1615474134,22.31,113.91,0,70,3,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:48:54
28,1615474199,22.31,113.91,0,123,3,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:49:59
51,1615474257,22.31,113.91,0,163,1,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:50:57
13,1615474317,22.31,113.91,0,163,1,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:51:57
43,1615474368,22.31,113.91,0,163,1,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:52:48
2,1615474435,22.3,113.91,0,160,7,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:53:55
56,1615474495,22.3,113.91,0,160,13,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:54:55
3,1615474552,22.3,113.91,0,250,8,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:55:52
20,1615474610,22.3,113.9,0,250,16,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:56:50
36,1615474675,22.3,113.9,0,244,7,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:57:55
52,1615474725,22.3,113.9,0,143,8,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:58:45
62,1615474760,22.3,113.9,0,70,32,780A43,HKG,SGN,HKC319,0,A332,RH319,2021-03-11,21:59:20
57,1615474842,22.31,113.95,1275,71,170,780A43,HKG,SGN,HKC319,896,A332,RH319,2021-03-11,22:00:42
12,1615474900,22.33,114.01,2475,71,213,780A43,HKG,SGN,HKC319,2368,A332,RH319,2021-03-11,22:01:40
46,1615474973,22.31,114.08,4850,147,228,780A43,HKG,SGN,HKC319,2112,A332,RH319,2021-03-11,22:02:53
18,1615475031,22.25,114.09,6025,179,289,780A43,HKG,SGN,HKC319,2176,A332,RH319,2021-03-11,22:03:51
31,1615475073,22.19,114.09,7950,179,288,780A43,HKG,SGN,HKC319,2624,A332,RH319,2021-03-11,22:04:33
75,1615475156,22.08,114.08,10300,183,286,780A43,HKG,SGN,HKC319,3072,A332,RH319,2021-03-11,22:05:56
59,1615475206,22.0,114.07,12175,183,335,780A43,HKG,SGN,HKC319,2368,A332,RH319,2021-03-11,22:06:46
72,1615475275,21.89,114.07,14475,183,349,780A43,HKG,SGN,HKC319,1728,A332,RH319,2021-03-11,22:07:55
15,1615475326,21.81,114.06,16225,184,354,780A43,HKG,SGN,HKC319,2304,A332,RH319,2021-03-11,22:08:46
