,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
67,1616192222,14.5,121.01,0,241,20,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:17:02
83,1616192282,14.5,121.0,0,239,25,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:18:02
20,1616192284,14.5,121.0,0,239,18,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:18:04
5,1616192406,14.5,121.0,0,241,34,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:20:06
36,1616192468,14.5,121.0,0,185,13,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:21:08
103,1616192716,14.5,121.0,0,47,0,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:25:16
111,1616192773,14.5,121.0,0,61,34,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:26:13
30,1616192843,14.52,121.04,1925,58,182,758525,MNL,SGN,PAL591,1216,A359,PR591,2021-03-20,05:27:23
14,1616192906,14.55,121.11,4550,102,257,758525,MNL,SGN,PAL591,4032,A359,PR591,2021-03-20,05:28:26
113,1616192962,14.49,121.14,7675,197,284,758525,MNL,SGN,PAL591,3584,A359,PR591,2021-03-20,05:29:22
73,1616193017,14.46,121.08,10525,252,309,758525,MNL,SGN,PAL591,2048,A359,PR591,2021-03-20,05:30:17
26,1616193085,14.42,120.97,12525,252,372,758525,MNL,SGN,PAL591,2496,A359,PR591,2021-03-20,05:31:25
9,1616193149,14.39,120.86,15075,252,393,758525,MNL,SGN,PAL591,2176,A359,PR591,2021-03-20,05:32:29
120,1616193204,14.36,120.76,17125,252,409,758525,MNL,SGN,PAL591,2240,A359,PR591,2021-03-20,05:33:24
10,1616193271,14.32,120.63,19725,252,416,758525,MNL,SGN,PAL591,2176,A359,PR591,2021-03-20,05:34:31
63,1616193333,14.28,120.51,21725,252,428,758525,MNL,SGN,PAL591,2048,A359,PR591,2021-03-20,05:35:33
95,1616193395,14.24,120.39,23425,252,444,758525,MNL,SGN,PAL591,1408,A359,PR591,2021-03-20,05:36:35
128,1616193457,14.2,120.26,25225,252,452,758525,MNL,SGN,PAL591,1600,A359,PR591,2021-03-20,05:37:37
99,1616193512,14.17,120.15,26700,247,462,758525,MNL,SGN,PAL591,1664,A359,PR591,2021-03-20,05:38:32
33,1616193573,14.12,120.02,28325,248,467,758525,MNL,SGN,PAL591,1792,A359,PR591,2021-03-20,05:39:33
64,1616193635,14.06,119.89,29850,247,475,758525,MNL,SGN,PAL591,1024,A359,PR591,2021-03-20,05:40:35
37,1616193696,14.01,119.77,31400,247,478,758525,MNL,SGN,PAL591,3200,A359,PR591,2021-03-20,05:41:36
116,1616193759,13.96,119.64,33975,247,451,758525,MNL,SGN,PAL591,256,A359,PR591,2021-03-20,05:42:39
126,1616193817,13.92,119.52,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:43:37
23,1616193881,13.87,119.4,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:44:41
108,1616193940,13.82,119.28,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:45:40
89,1616193997,13.77,119.16,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:46:37
2,1616194060,13.72,119.04,34000,247,454,758525,MNL,SGN,PAL591,64,A359,PR591,2021-03-20,05:47:40
115,1616194124,13.67,118.91,34000,247,454,758525,MNL,SGN,PAL591,64,A359,PR591,2021-03-20,05:48:44
17,1616194183,13.62,118.79,34000,247,457,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:49:43
7,1616194245,13.57,118.66,34000,247,457,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:50:45
125,1616194310,13.52,118.54,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:51:50
106,1616194365,13.48,118.43,34000,247,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:52:45
50,1616194430,13.42,118.3,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:53:50
121,1616194490,13.38,118.18,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:54:50
123,1616194555,13.32,118.05,34000,247,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:55:55
79,1616194606,13.28,117.95,34000,247,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:56:46
46,1616194678,13.23,117.83,34000,247,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:57:58
56,1616194736,13.18,117.69,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:58:56
59,1616194790,13.13,117.58,34000,247,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,05:59:50
16,1616194846,13.09,117.48,34000,247,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:00:46
6,1616194909,13.04,117.34,34000,247,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:01:49
127,1616194968,12.99,117.23,34000,247,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:02:48
40,1616195031,12.94,117.1,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:03:51
93,1616195098,12.89,116.99,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:04:58
71,1616195158,12.85,116.89,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:05:58
62,1616195218,12.81,116.79,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:06:58
38,1616195266,12.77,116.71,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:07:46
87,1616195326,12.73,116.61,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:08:46
102,1616195386,12.68,116.49,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:09:46
112,1616195446,12.63,116.37,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:10:46
80,1616195506,12.58,116.25,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:11:46
4,1616195566,12.53,116.13,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:12:46
18,1616195626,12.48,116.01,34000,247,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:13:46
25,1616196098,12.06,115.01,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:21:38
49,1616196170,12.02,114.88,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:22:50
51,1616196218,11.98,114.8,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:23:38
110,1616196278,11.94,114.7,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:24:38
45,1616196338,11.9,114.6,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:25:38
88,1616196398,11.86,114.48,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:26:38
22,1616196458,11.81,114.36,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:27:38
101,1616196518,11.76,114.24,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:28:38
0,1616196578,11.71,114.12,34000,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:29:38
92,1616196634,11.62,113.94,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:30:34
55,1616196694,11.58,113.84,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:31:34
29,1616196754,11.54,113.74,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:32:34
39,1616196814,11.5,113.64,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:33:34
100,1616196874,11.46,113.54,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:34:34
70,1616196934,11.41,113.42,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:35:34
129,1616196994,11.37,113.3,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:36:34
35,1616197054,11.32,113.19,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:37:34
90,1616197114,11.27,113.07,33996,248,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:38:34
114,1616197158,11.5,112.82,34000,263,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:39:18
65,1616197222,11.48,112.7,34000,263,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:40:22
118,1616197282,11.47,112.57,34000,263,452,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:41:22
31,1616197338,11.45,112.44,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:42:18
11,1616197414,11.44,112.3,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:43:34
44,1616197474,11.43,112.19,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:44:34
117,1616197534,11.41,112.08,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:45:34
132,1616197594,11.4,111.98,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:46:34
66,1616197654,11.39,111.86,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:47:34
53,1616197702,11.37,111.76,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:48:22
75,1616197762,11.36,111.63,34000,263,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:49:22
91,1616197825,11.34,111.41,34000,263,452,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:50:25
105,1616197883,11.33,111.28,34000,263,455,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:51:23
78,1616197936,11.31,111.17,34000,263,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:52:16
8,1616197998,11.3,111.05,34000,263,456,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:53:18
42,1616198058,11.28,110.92,34000,262,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:54:18
124,1616198110,11.27,110.8,34000,262,454,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:55:10
19,1616198182,11.25,110.66,34000,262,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:56:22
3,1616198242,11.23,110.55,34000,262,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:57:22
107,1616198302,11.22,110.44,34000,262,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:58:22
77,1616198362,11.2,110.34,34000,262,453,758525,MNL,SGN,PAL591,0,A359,PR591,2021-03-20,06:59:22
