timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1616735284,11.55,104.84,0,315,3,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:08:04
1616735439,11.55,104.84,0,156,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:10:39
1616735697,11.55,104.85,0,78,5,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:14:57
1616735729,11.55,104.85,0,132,12,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:15:29
1616735828,11.56,104.85,0,56,15,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:17:08
1616735835,11.56,104.85,0,67,14,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:17:15
1616735957,11.54,104.84,600,227,163,7.000000000000001e+49,PNH,SGN,KHV816,3520,A320,K6816,2021-03-26,12:19:17
1616736012,11.5,104.83,2900,183,225,7.000000000000001e+49,PNH,SGN,KHV816,2496,A320,K6816,2021-03-26,12:20:12
1616736076,11.42,104.82,5975,187,288,7.000000000000001e+49,PNH,SGN,KHV816,4992,A320,K6816,2021-03-26,12:21:16
1616736146,11.33,104.83,10925,131,292,7.000000000000001e+49,PNH,SGN,KHV816,2304,A320,K6816,2021-03-26,12:22:26
1616736201,11.3,104.92,12575,108,363,7.000000000000001e+49,PNH,SGN,KHV816,3008,A320,K6816,2021-03-26,12:23:21
1616736251,11.27,105.0,14950,108,382,7.000000000000001e+49,PNH,SGN,KHV816,3072,A320,K6816,2021-03-26,12:24:11
1616736319,11.24,105.12,18125,101,397,7.000000000000001e+49,PNH,SGN,KHV816,2560,A320,K6816,2021-03-26,12:25:19
1616736382,11.24,105.24,19025,86,401,7.000000000000001e+49,PNH,SGN,KHV816,-64,A320,K6816,2021-03-26,12:26:22
1616736441,11.25,105.35,19000,86,404,7.000000000000001e+49,PNH,SGN,KHV816,64,A320,K6816,2021-03-26,12:27:21
1616736502,11.25,105.47,19000,86,404,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:28:22
1616736557,11.25,105.57,19000,107,405,7.000000000000001e+49,PNH,SGN,KHV816,64,A320,K6816,2021-03-26,12:29:17
1616736615,11.21,105.67,19000,110,405,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:30:15
1616736677,11.18,105.78,18475,110,379,7.000000000000001e+49,PNH,SGN,KHV816,-960,A320,K6816,2021-03-26,12:31:17
1616736735,11.14,105.87,17575,110,350,7.000000000000001e+49,PNH,SGN,KHV816,-896,A320,K6816,2021-03-26,12:32:15
1616736797,11.11,105.97,16575,110,348,7.000000000000001e+49,PNH,SGN,KHV816,-960,A320,K6816,2021-03-26,12:33:17
1616736858,11.07,106.06,14925,111,340,7.000000000000001e+49,PNH,SGN,KHV816,-1984,A320,K6816,2021-03-26,12:34:18
1616736922,11.03,106.15,12825,111,329,7.000000000000001e+49,PNH,SGN,KHV816,-1920,A320,K6816,2021-03-26,12:35:22
1616736982,11.0,106.24,11875,113,320,7.000000000000001e+49,PNH,SGN,KHV816,-2112,A320,K6816,2021-03-26,12:36:22
1616737044,10.94,106.3,10250,175,309,7.000000000000001e+49,PNH,SGN,KHV816,-1408,A320,K6816,2021-03-26,12:37:24
1616737106,10.85,106.27,8950,203,291,7.000000000000001e+49,PNH,SGN,KHV816,-704,A320,K6816,2021-03-26,12:38:26
1616737162,10.79,106.24,8350,203,258,7.000000000000001e+49,PNH,SGN,KHV816,-768,A320,K6816,2021-03-26,12:39:22
1616737232,10.71,106.21,7025,203,253,7.000000000000001e+49,PNH,SGN,KHV816,-1088,A320,K6816,2021-03-26,12:40:32
1616737288,10.65,106.21,6050,165,239,7.000000000000001e+49,PNH,SGN,KHV816,-896,A320,K6816,2021-03-26,12:41:28
1616737344,10.61,106.24,4950,95,222,7.000000000000001e+49,PNH,SGN,KHV816,-1088,A320,K6816,2021-03-26,12:42:24
1616737408,10.63,106.31,4175,70,220,7.000000000000001e+49,PNH,SGN,KHV816,-384,A320,K6816,2021-03-26,12:43:28
1616737469,10.66,106.36,3775,52,222,7.000000000000001e+49,PNH,SGN,KHV816,-320,A320,K6816,2021-03-26,12:44:29
1616737524,10.69,106.41,3500,48,225,7.000000000000001e+49,PNH,SGN,KHV816,-448,A320,K6816,2021-03-26,12:45:24
1616737581,10.73,106.45,3150,48,213,7.000000000000001e+49,PNH,SGN,KHV816,-576,A320,K6816,2021-03-26,12:46:21
1616737646,10.76,106.5,2250,68,161,7.000000000000001e+49,PNH,SGN,KHV816,-960,A320,K6816,2021-03-26,12:47:26
1616737709,10.78,106.54,2100,69,161,7.000000000000001e+49,PNH,SGN,KHV816,-448,A320,K6816,2021-03-26,12:48:29
1616737766,10.79,106.58,1425,69,123,7.000000000000001e+49,PNH,SGN,KHV816,-576,A320,K6816,2021-03-26,12:49:26
1616737828,10.8,106.61,775,68,122,7.000000000000001e+49,PNH,SGN,KHV816,-768,A320,K6816,2021-03-26,12:50:28
1616737880,10.81,106.64,300,69,127,7.000000000000001e+49,PNH,SGN,KHV816,-704,A320,K6816,2021-03-26,12:51:20
1616737949,10.82,106.66,0,95,7,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:52:29
1616738014,10.82,106.66,0,185,3,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:53:34
1616738078,10.82,106.66,0,95,4,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:54:38
1616738134,10.82,106.66,0,19,5,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:55:34
1616738197,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,12:56:37
1616738856,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:07:36
1616738916,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:08:36
1616738971,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:09:31
1616739026,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:10:26
1616739091,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:11:31
1616739151,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:12:31
1616739211,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:13:31
1616739276,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:14:36
1616739321,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:15:21
1616739356,10.82,106.66,0,219,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:15:56
1616739440,10.82,106.66,0,219,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:17:20
1616739475,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:17:55
1616739560,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:19:20
1616739630,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:20:30
1616739650,10.82,106.66,0,219,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:20:50
1616739750,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:22:30
1616739810,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:23:30
1616739869,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:24:29
1616739934,10.82,106.66,0,295,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:25:34
1616739990,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:26:30
1616740050,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:27:30
1616740106,10.82,106.66,0,219,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:28:26
1616740165,10.82,106.66,0,219,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:29:25
1616740220,10.82,106.66,0,38,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:30:20
1616740285,10.82,106.66,0,114,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:31:25
1616740345,10.82,106.66,0,180,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:32:25
1616740415,10.82,106.66,0,180,0,7.000000000000001e+49,PNH,SGN,KHV816,0,A320,K6816,2021-03-26,13:33:35
