,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
6,1616901563,11.81,108.45,19975,234,460,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:19:23
3,1616901630,11.73,108.34,19975,234,460,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:20:30
11,1616901681,11.66,108.24,19975,235,459,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:21:21
12,1616901744,11.59,108.12,19975,235,458,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:22:24
15,1616901799,11.52,108.03,19700,235,440,88816B,CXR,SGN,HVN1341,-896,A21N,VN1341,2021-03-28,10:23:19
24,1616901863,11.45,107.92,18775,235,412,88816B,CXR,SGN,HVN1341,-896,A21N,VN1341,2021-03-28,10:24:23
2,1616901923,11.38,107.83,17775,234,404,88816B,CXR,SGN,HVN1341,-960,A21N,VN1341,2021-03-28,10:25:23
25,1616901984,11.32,107.74,16775,235,396,88816B,CXR,SGN,HVN1341,-960,A21N,VN1341,2021-03-28,10:26:24
9,1616902045,11.25,107.64,15775,235,392,88816B,CXR,SGN,HVN1341,-960,A21N,VN1341,2021-03-28,10:27:25
14,1616902108,11.19,107.55,14700,234,386,88816B,CXR,SGN,HVN1341,-1024,A21N,VN1341,2021-03-28,10:28:28
23,1616902165,11.13,107.46,12950,235,380,88816B,CXR,SGN,HVN1341,-2048,A21N,VN1341,2021-03-28,10:29:25
21,1616902226,11.07,107.37,11275,245,400,88816B,CXR,SGN,HVN1341,-2048,A21N,VN1341,2021-03-28,10:30:26
26,1616902284,11.04,107.27,8875,251,388,88816B,CXR,SGN,HVN1341,-2944,A21N,VN1341,2021-03-28,10:31:24
27,1616902342,11.0,107.17,6125,251,382,88816B,CXR,SGN,HVN1341,-2048,A21N,VN1341,2021-03-28,10:32:22
8,1616902408,10.97,107.06,4625,251,330,88816B,CXR,SGN,HVN1341,-256,A21N,VN1341,2021-03-28,10:33:28
0,1616902468,10.94,106.98,4200,251,280,88816B,CXR,SGN,HVN1341,-704,A21N,VN1341,2021-03-28,10:34:28
5,1616902528,10.91,106.91,3525,251,275,88816B,CXR,SGN,HVN1341,-640,A21N,VN1341,2021-03-28,10:35:28
13,1616902585,10.89,106.84,2850,249,250,88816B,CXR,SGN,HVN1341,-896,A21N,VN1341,2021-03-28,10:36:25
1,1616902646,10.87,106.78,2200,249,213,88816B,CXR,SGN,HVN1341,128,A21N,VN1341,2021-03-28,10:37:26
17,1616902707,10.85,106.73,1500,248,147,88816B,CXR,SGN,HVN1341,-896,A21N,VN1341,2021-03-28,10:38:27
20,1616902773,10.84,106.69,725,248,141,88816B,CXR,SGN,HVN1341,-768,A21N,VN1341,2021-03-28,10:39:33
28,1616902828,10.82,106.66,125,249,144,88816B,CXR,SGN,HVN1341,-128,A21N,VN1341,2021-03-28,10:40:28
4,1616902878,10.82,106.64,0,222,34,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:41:18
10,1616902945,10.81,106.64,0,98,15,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:42:25
7,1616902999,10.81,106.65,0,70,23,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:43:19
18,1616903065,10.82,106.66,0,67,14,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:44:25
22,1616903111,10.81,106.66,0,185,17,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:45:11
16,1616903151,10.81,106.66,0,109,4,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:45:51
19,1616903191,10.81,106.66,0,185,1,88816B,CXR,SGN,HVN1341,0,A21N,VN1341,2021-03-28,10:46:31
