,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
166,1618225686,28.47,124.12,38000,215,411,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:08:06
89,1618225739,28.39,124.06,38000,215,414,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:08:59
26,1618225801,28.28,123.99,38000,205,431,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:10:01
36,1618225861,28.17,123.93,38000,202,434,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:11:01
118,1618225923,28.06,123.88,38000,202,432,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:12:03
160,1618225978,27.96,123.83,38000,202,436,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:12:58
113,1618226030,27.86,123.78,38000,202,436,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:13:50
52,1618226097,27.73,123.72,38000,202,437,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:14:57
30,1618226152,27.63,123.67,38000,207,431,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:15:52
93,1618226219,27.52,123.59,38000,215,419,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:16:59
178,1618226280,27.43,123.51,38000,215,419,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:18:00
122,1618226334,27.34,123.44,38000,215,420,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:18:54
0,1618226397,27.24,123.36,38000,215,421,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:19:57
97,1618226463,27.14,123.28,38000,215,420,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:21:03
28,1618226521,27.05,123.21,38000,215,419,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:22:01
176,1618226573,26.96,123.14,38000,215,418,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:22:53
70,1618226644,26.85,123.05,38000,215,420,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:24:04
146,1618226705,26.75,122.97,38000,215,419,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:25:05
6,1618226768,26.65,122.89,38000,215,420,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:26:08
125,1618226827,26.56,122.82,38000,215,423,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:27:07
49,1618226889,26.46,122.74,38000,215,422,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:28:09
158,1618226949,26.37,122.67,38000,215,423,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:29:09
75,1618227011,26.27,122.59,38000,215,425,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:30:11
3,1618227073,26.17,122.51,38000,215,425,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:31:13
163,1618227132,26.07,122.43,38000,215,424,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:32:12
8,1618227192,25.97,122.36,38000,215,424,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:33:12
132,1618227253,25.88,122.28,38000,215,424,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:34:13
127,1618227309,25.79,122.21,38000,215,424,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:35:09
171,1618227368,25.69,122.14,38000,212,426,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:36:08
67,1618227429,25.58,122.09,38000,194,448,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:37:09
33,1618227485,25.46,122.07,38000,182,462,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:38:05
39,1618227540,25.34,122.07,38000,181,462,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:39:00
94,1618227600,25.21,122.06,38000,182,464,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:40:00
2,1618227661,25.08,122.06,38000,182,464,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:41:01
154,1618227724,24.95,122.05,38000,182,463,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:42:04
48,1618227789,24.81,122.05,38000,181,467,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:43:09
74,1618227844,24.69,122.04,38000,181,465,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:44:04
108,1618227909,24.55,122.04,38000,181,465,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:45:09
62,1618227973,24.41,122.03,38000,183,465,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:46:13
126,1618228029,24.29,122.01,38000,194,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:47:09
152,1618228089,24.17,121.97,38000,196,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:48:09
159,1618228140,24.07,121.94,38000,196,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:49:00
18,1618228201,23.95,121.9,38000,196,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:50:01
121,1618228265,23.82,121.85,38000,196,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:51:05
82,1618228321,23.71,121.82,38000,196,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:52:01
103,1618228380,23.58,121.78,38000,196,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:53:00
102,1618228441,23.46,121.74,38000,196,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:54:01
134,1618228501,23.34,121.7,38000,196,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:55:01
137,1618228561,23.22,121.66,38000,196,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:56:01
40,1618228620,23.1,121.62,38000,196,454,71C026,ICN,SGN,KAL683,-64,A333,KE683,2021-04-12,18:57:00
101,1618228680,22.98,121.57,38000,206,448,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:58:00
175,1618228745,22.87,121.5,38000,214,438,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,18:59:05
29,1618228809,22.77,121.42,38000,214,439,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:00:09
131,1618228864,22.68,121.34,38000,219,436,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:01:04
35,1618228924,22.58,121.26,38000,219,437,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:02:04
86,1618228980,22.49,121.18,38000,219,436,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:03:00
96,1618229044,22.39,121.09,38000,219,436,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:04:04
16,1618229101,22.31,121.02,38000,219,437,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:05:01
83,1618229160,22.21,120.93,37550,219,438,71C026,ICN,SGN,KAL683,-1024,A333,KE683,2021-04-12,19:06:00
13,1618229216,22.12,120.86,36625,219,444,71C026,ICN,SGN,KAL683,-1024,A333,KE683,2021-04-12,19:06:56
161,1618229273,22.03,120.78,36000,219,442,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:07:53
38,1618229337,21.93,120.69,36000,219,445,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:08:57
14,1618229397,21.84,120.6,36000,219,446,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:09:57
77,1618229457,21.74,120.52,36000,219,445,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:10:57
64,1618229515,21.65,120.44,36000,218,445,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:11:55
66,1618229576,21.55,120.35,36000,218,445,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:12:56
56,1618229637,21.45,120.27,36000,218,443,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:13:57
34,1618229700,21.35,120.18,36000,218,443,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:15:00
92,1618229756,21.26,120.1,36000,219,446,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:15:56
162,1618229820,21.16,120.01,36000,219,450,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:17:00
164,1618229877,21.06,119.94,36000,218,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:17:57
69,1618229937,20.97,119.85,36000,225,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:18:57
110,1618229997,20.88,119.75,36000,225,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:19:57
47,1618230059,20.79,119.65,36000,225,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:20:59
37,1618230121,20.7,119.55,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:22:01
114,1618230177,20.61,119.46,36000,225,455,71C026,ICN,SGN,KAL683,64,A333,KE683,2021-04-12,19:22:57
24,1618230245,20.51,119.35,36000,225,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:24:05
88,1618230305,20.42,119.26,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:25:05
98,1618230367,20.33,119.16,36000,225,457,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:26:07
91,1618230432,20.23,119.06,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:27:12
57,1618230487,20.15,118.97,36000,225,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:28:07
174,1618230554,20.05,118.86,36000,225,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:29:14
104,1618230612,19.96,118.77,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:30:12
139,1618230667,19.88,118.69,36000,225,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:31:07
85,1618230725,19.8,118.59,36000,225,451,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:32:05
11,1618230786,19.71,118.5,36000,224,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:33:06
4,1618230833,19.64,118.43,36000,224,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:33:53
169,1618230895,19.54,118.33,36000,224,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:34:55
68,1618230962,19.45,118.23,36000,224,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:36:02
45,1618231020,19.36,118.13,36000,224,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:37:00
60,1618231082,19.26,118.03,36000,224,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:38:02
129,1618231136,19.18,117.95,36000,224,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:38:56
84,1618231202,19.08,117.85,36000,224,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:40:02
130,1618231260,19.0,117.76,36000,224,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:41:00
17,1618231325,18.9,117.66,36000,224,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:42:05
21,1618231394,18.8,117.55,36000,224,455,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:43:14
58,1618231454,18.71,117.45,36000,224,454,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:44:14
19,1618231519,18.61,117.35,36000,224,453,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:45:19
141,1618231575,18.52,117.27,36000,224,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:46:15
65,1618231634,18.44,117.18,36000,224,457,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:47:14
43,1618231694,18.36,117.1,36000,224,457,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:48:14
170,1618231758,18.32,117.05,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:49:18
79,1618231818,18.24,116.97,36000,225,456,71C026,ICN,SGN,KAL683,0,A333,KE683,2021-04-12,19:50:18
