,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
182,1618498603,28.45,117.87,36100,227,393,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,21:56:43
153,1618498663,28.39,117.76,36100,238,384,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,21:57:43
147,1618498723,28.32,117.66,36100,226,398,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,21:58:43
170,1618498790,28.23,117.56,36100,226,401,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,21:59:50
136,1618498837,28.17,117.49,36100,226,399,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:00:37
190,1618498901,28.09,117.4,36100,226,398,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:01:41
143,1618498974,28.0,117.29,36100,225,400,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:02:54
186,1618499031,27.92,117.2,36100,225,399,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:03:51
175,1618499094,27.84,117.11,36100,225,399,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:04:54
162,1618499146,27.78,117.03,36100,225,400,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:05:46
184,1618499205,27.7,116.94,36100,225,403,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:06:45
139,1618499271,27.61,116.84,36100,225,403,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:07:51
158,1618499335,27.53,116.74,36100,226,402,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:08:55
157,1618499392,27.46,116.66,36100,226,402,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:09:52
152,1618499456,27.37,116.56,36100,226,403,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:10:56
140,1618499507,27.31,116.48,36100,226,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:11:47
169,1618499564,27.23,116.4,36100,227,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:12:44
155,1618499631,27.15,116.29,36100,227,404,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:13:51
173,1618499684,27.08,116.21,36100,227,406,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:14:44
164,1618499748,27.0,116.11,36100,227,406,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:15:48
176,1618499814,26.91,116.01,36100,227,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:16:54
135,1618499856,26.86,115.95,36100,227,404,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:17:36
179,1618499931,26.76,115.83,36100,227,404,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:18:51
189,1618499988,26.69,115.74,36100,227,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:19:48
151,1618500052,26.61,115.65,36100,226,406,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:20:52
171,1618500109,26.54,115.56,36100,227,406,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:21:49
159,1618500157,26.48,115.49,36100,227,406,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:22:37
144,1618500234,26.38,115.37,36100,227,404,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:23:54
174,1618500278,26.32,115.3,36100,227,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:24:38
172,1618500351,26.24,115.21,36100,227,405,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:25:51
138,1618500390,26.18,115.13,36100,227,408,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:26:30
133,1618500453,26.1,115.03,36100,227,407,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:27:33
183,1618500527,26.02,114.94,36100,227,407,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:28:47
134,1618500587,25.95,114.86,36100,227,407,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:29:47
165,1618500635,25.89,114.78,36100,228,409,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:30:35
154,1618500703,25.8,114.69,36100,224,413,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:31:43
177,1618500752,25.62,114.68,36100,199,438,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:32:32
156,1618500816,25.5,114.63,36100,199,438,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:33:36
168,1618500873,25.39,114.59,36100,199,438,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:34:33
178,1618500925,25.29,114.55,36100,199,438,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:35:25
161,1618500975,25.2,114.51,36100,199,438,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:36:15
187,1618501050,25.05,114.46,36100,199,437,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:37:30
160,1618501117,24.93,114.41,36100,199,437,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:38:37
180,1618501177,24.81,114.36,36100,199,439,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:39:37
146,1618501229,24.71,114.32,36100,199,439,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:40:29
148,1618501277,24.62,114.29,36100,199,439,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:41:17
141,1618501353,24.47,114.23,36100,199,439,781336,PVG,SGN,CES7281,-64,A333,MU7281,2021-04-15,22:42:33
188,1618501410,24.36,114.19,36100,199,440,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:43:30
137,1618501467,24.25,114.14,36100,199,442,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:44:27
150,1618501531,24.13,114.1,36100,199,445,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:45:31
142,1618501594,24.01,114.05,36100,199,446,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:46:34
145,1618501649,23.9,114.01,36100,199,448,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:47:29
163,1618501706,23.79,113.96,36100,199,447,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:48:26
149,1618501766,23.67,113.92,36100,199,449,781336,PVG,SGN,CES7281,-64,A333,MU7281,2021-04-15,22:49:26
181,1618501830,23.54,113.87,36100,199,452,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:50:30
166,1618501885,23.43,113.83,36100,195,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:51:25
185,1618501949,23.3,113.79,36100,195,455,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:52:29
167,1618502009,23.18,113.76,36100,195,454,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:53:29
80,1618502068,23.06,113.72,36100,195,454,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:54:28
12,1618502123,22.95,113.69,36100,195,455,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:55:23
60,1618502185,22.82,113.65,36100,195,453,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:56:25
79,1618502245,22.7,113.61,36100,195,451,781336,PVG,SGN,CES7281,-64,A333,MU7281,2021-04-15,22:57:25
107,1618502306,22.57,113.61,36100,165,473,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:58:26
67,1618502361,22.47,113.68,36100,132,500,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,22:59:21
131,1618502424,22.38,113.8,36100,140,492,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:00:24
27,1618502486,22.25,113.86,36100,173,465,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:01:26
5,1618502543,22.13,113.85,36100,183,459,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:02:23
113,1618502604,22.0,113.84,36000,189,455,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:03:24
74,1618502662,21.88,113.81,36000,191,458,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:04:22
41,1618502725,21.75,113.78,36000,191,460,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:05:25
25,1618502785,21.62,113.76,36000,191,460,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:06:25
77,1618502845,21.5,113.73,36000,191,458,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:07:25
71,1618502905,21.37,113.7,36000,191,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:08:25
132,1618502965,21.25,113.68,36000,191,458,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:09:25
55,1618503026,21.12,113.65,36000,191,459,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:10:26
47,1618503085,21.0,113.62,36000,191,461,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:11:25
11,1618503140,20.88,113.6,36000,191,461,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:12:20
94,1618503207,20.74,113.57,36000,191,463,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:13:27
124,1618503273,20.6,113.54,36000,191,463,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:14:33
54,1618503325,20.5,113.51,36000,191,463,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:15:25
84,1618503385,20.37,113.49,36000,191,461,781336,PVG,SGN,CES7281,64,A333,MU7281,2021-04-15,23:16:25
90,1618503445,20.24,113.46,36000,191,460,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:17:25
91,1618503505,20.12,113.43,36000,191,457,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:18:25
97,1618503567,20.01,113.41,36000,191,457,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:19:27
19,1618503609,19.9,113.39,36000,191,454,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:20:09
6,1618503687,19.75,113.35,36000,191,454,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:21:27
28,1618503759,19.63,113.33,36000,191,454,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:22:39
121,1618503792,19.52,113.3,36000,191,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:23:12
93,1618503867,19.39,113.28,36000,191,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:24:27
115,1618503931,19.28,113.25,36000,192,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:25:31
4,1618503991,19.18,113.23,36000,192,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:26:31
100,1618504047,19.03,113.2,36000,192,456,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:27:27
59,1618504111,18.91,113.17,36000,192,456,781336,PVG,SGN,CES7281,64,A333,MU7281,2021-04-15,23:28:31
26,1618504159,18.83,113.15,36000,192,456,781336,PVG,SGN,CES7281,64,A333,MU7281,2021-04-15,23:29:19
88,1618504227,18.7,113.13,36000,192,458,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:30:27
117,1618504287,18.53,113.09,36000,192,461,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:31:27
95,1618504347,18.43,113.07,36000,192,461,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:32:27
130,1618504411,18.29,113.04,36000,192,460,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:33:31
31,1618504479,18.14,113.01,36000,192,461,781336,PVG,SGN,CES7281,64,A333,MU7281,2021-04-15,23:34:39
29,1618504531,18.08,113.0,36000,192,463,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:35:31
129,1618504591,18.04,112.99,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:36:31
114,1618504663,17.91,112.96,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:37:43
0,1618504723,17.81,112.94,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:38:43
110,1618504771,17.72,112.92,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:39:31
109,1618504843,17.57,112.89,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:40:43
103,1618504891,17.47,112.86,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:41:31
125,1618504963,17.32,112.83,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:42:43
102,1618505023,17.19,112.8,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:43:43
53,1618505071,17.09,112.78,36000,192,464,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:44:31
106,1618505623,16.08,111.59,36000,216,466,781336,PVG,SGN,CES7281,0,A333,MU7281,2021-04-15,23:53:43
