timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1619434748,28.43,124.09,40000,215,432,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,17:59:08
1619434808,28.34,124.02,40000,215,432,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:00:08
1619434854,28.22,123.96,40000,203,457,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:00:54
1619434923,28.09,123.89,40000,202,460,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:02:03
1619434981,27.97,123.84,40000,203,463,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:03:01
1619435046,27.84,123.78,40000,202,463,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:04:06
1619435103,27.73,123.72,40000,202,461,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:05:03
1619435164,27.61,123.66,40000,209,445,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:06:04
1619435222,27.53,123.6,40000,211,441,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:07:02
1619435282,27.43,123.52,40000,215,433,71C003,ICN,SGN,KAL683,-64,A333,KE683,2021-04-26,18:08:02
1619435323,27.35,123.45,40000,215,432,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:08:43
1619435390,27.24,123.37,40000,215,432,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:09:50
1619435453,27.14,123.28,40000,215,434,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:10:53
1619435516,27.04,123.2,40000,215,432,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:11:56
1619435573,26.95,123.13,40000,215,429,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:12:53
1619435623,26.86,123.07,40000,207,443,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:13:43
1619435689,26.73,123.01,40000,200,455,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:14:49
1619435732,26.65,122.97,40000,200,456,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:15:32
1619435809,26.49,122.91,40000,200,457,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:16:49
1619435873,26.37,122.86,40000,200,462,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:17:53
1619435932,26.25,122.81,40000,200,466,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:18:52
1619435997,26.12,122.75,40000,200,470,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:19:57
1619436051,26.01,122.7,40000,200,469,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:20:51
1619436113,25.88,122.65,40000,200,468,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:21:53
1619436177,25.75,122.6,40000,200,468,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:22:57
1619436240,25.62,122.55,40000,200,467,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:24:00
1619436295,25.51,122.5,40000,200,468,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:24:55
1619436360,25.38,122.45,40000,200,469,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:26:00
1619436421,25.25,122.39,40000,200,471,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:27:01
1619436476,25.14,122.35,40000,200,471,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:27:56
1619436533,25.02,122.3,40000,200,472,71C003,ICN,SGN,KAL683,-64,A333,KE683,2021-04-26,18:28:53
1619436601,24.88,122.24,40000,200,475,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:30:01
1619436661,24.76,122.18,40000,207,465,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:31:01
1619436721,24.65,122.12,40000,207,464,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:32:01
1619436781,24.53,122.06,40000,207,462,71C003,ICN,SGN,KAL683,-64,A333,KE683,2021-04-26,18:33:01
1619436841,24.42,121.99,40000,207,461,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:34:01
1619436897,24.31,121.93,40000,207,461,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:34:57
1619436952,24.21,121.88,40000,207,462,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:35:52
1619437009,24.1,121.81,40000,206,461,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:36:49
1619437073,23.98,121.75,40000,206,457,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:37:53
1619437128,23.87,121.69,40000,206,455,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:38:48
1619437188,23.76,121.63,40000,206,458,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:39:48
1619437253,23.64,121.56,40000,206,463,71C003,ICN,SGN,KAL683,-64,A333,KE683,2021-04-26,18:40:53
1619437316,23.52,121.49,40000,206,463,71C003,ICN,SGN,KAL683,0,A333,KE683,2021-04-26,18:41:56
