timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1589493776,-8.0688,-4.932000000000002,0,326,14,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:02:56,5294
1589493786,-8.0688,-4.932000000000002,0,326,28,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:03:06,5284
1589493893,-7.998799999999999,-4.962000000000003,2675,340,176,750457,KUL,SGN,AXM520,1856,A320,AK520,2020-05-15,05:04:53,5177
1589493956,-7.948799999999999,-4.981999999999999,4625,340,192,750457,KUL,SGN,AXM520,1088,A320,AK520,2020-05-15,05:05:56,5114
1589493999,-7.908799999999999,-4.992000000000004,5425,357,257,750457,KUL,SGN,AXM520,1600,A320,AK520,2020-05-15,05:06:39,5071
1589494072,-7.828799999999999,-4.932000000000002,7425,43,343,750457,KUL,SGN,AXM520,1024,A320,AK520,2020-05-15,05:07:52,4998
1589494138,-7.748799999999999,-4.852000000000004,9575,42,385,750457,KUL,SGN,AXM520,2880,A320,AK520,2020-05-15,05:08:58,4932
1589494198,-7.668799999999999,-4.7819999999999965,12075,42,399,750457,KUL,SGN,AXM520,2240,A320,AK520,2020-05-15,05:09:58,4872
1589494256,-7.588799999999999,-4.712000000000003,14075,42,415,750457,KUL,SGN,AXM520,1984,A320,AK520,2020-05-15,05:10:56,4814
1589494317,-7.498799999999999,-4.632000000000005,16125,42,424,750457,KUL,SGN,AXM520,1664,A320,AK520,2020-05-15,05:11:57,4753
1589494383,-7.3888,-4.552000000000007,17875,30,440,750457,KUL,SGN,AXM520,1600,A320,AK520,2020-05-15,05:13:03,4687
1589494440,-7.2888,-4.501999999999995,19375,27,449,750457,KUL,SGN,AXM520,1600,A320,AK520,2020-05-15,05:14:00,4630
1589494507,-7.158799999999999,-4.432000000000002,20875,27,461,750457,KUL,SGN,AXM520,1920,A320,AK520,2020-05-15,05:15:07,4563
1589494562,-7.0488,-4.382000000000005,22150,27,466,750457,KUL,SGN,AXM520,1472,A320,AK520,2020-05-15,05:16:02,4508
1589494627,-6.928799999999999,-4.311999999999998,23275,27,477,750457,KUL,SGN,AXM520,1280,A320,AK520,2020-05-15,05:17:07,4443
1589494686,-6.8088,-4.251999999999995,24350,27,482,750457,KUL,SGN,AXM520,576,A320,AK520,2020-05-15,05:18:06,4384
1589494748,-6.6888,-4.192000000000007,25125,27,491,750457,KUL,SGN,AXM520,768,A320,AK520,2020-05-15,05:19:08,4322
1589494808,-6.5588,-4.132000000000005,25850,27,498,750457,KUL,SGN,AXM520,704,A320,AK520,2020-05-15,05:20:08,4262
1589494864,-6.448799999999999,-4.072000000000003,26475,27,502,750457,KUL,SGN,AXM520,640,A320,AK520,2020-05-15,05:21:04,4206
1589494928,-6.3187999999999995,-4.001999999999995,27375,27,501,750457,KUL,SGN,AXM520,1728,A320,AK520,2020-05-15,05:22:08,4142
1589494990,-6.1888,-3.932000000000002,29100,27,485,750457,KUL,SGN,AXM520,1024,A320,AK520,2020-05-15,05:23:10,4080
1589495052,-6.0687999999999995,-3.872,30325,27,483,750457,KUL,SGN,AXM520,1344,A320,AK520,2020-05-15,05:24:12,4018
1589495114,-5.9388,-3.8119999999999976,31950,27,470,750457,KUL,SGN,AXM520,1792,A320,AK520,2020-05-15,05:25:14,3956
1589495174,-5.828799999999999,-3.7519999999999953,33375,26,461,750457,KUL,SGN,AXM520,1216,A320,AK520,2020-05-15,05:26:14,3896
1589495232,-5.7188,-3.701999999999998,34175,26,464,750457,KUL,SGN,AXM520,1216,A320,AK520,2020-05-15,05:27:12,3838
1589495302,-5.578799999999999,-3.632000000000005,35650,26,457,750457,KUL,SGN,AXM520,1344,A320,AK520,2020-05-15,05:28:22,3768
1589495363,-5.4688,-3.5720000000000027,36925,24,450,750457,KUL,SGN,AXM520,704,A320,AK520,2020-05-15,05:29:23,3707
1589495422,-5.3488,-3.5319999999999965,37000,19,453,750457,KUL,SGN,AXM520,64,A320,AK520,2020-05-15,05:30:22,3648
1589495479,-5.2387999999999995,-3.4920000000000044,37000,19,448,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:31:19,3591
1589495544,-5.1088,-3.4420000000000073,37000,19,452,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:32:24,3526
1589495598,-4.998799999999999,-3.412000000000006,37000,17,454,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:33:18,3472
1589495652,-4.8888,-3.372,37025,17,454,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:34:12,3418
1589495718,-4.7588,-3.332000000000008,37000,17,453,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:35:18,3352
1589495773,-4.6488,-3.3020000000000067,37000,17,453,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:36:13,3297
1589495832,-4.5287999999999995,-3.2620000000000005,37000,16,455,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:37:12,3238
1589495894,-4.3988,-3.221999999999994,37000,17,454,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:38:14,3176
1589495954,-4.2787999999999995,-3.1920000000000073,37000,17,453,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:39:14,3116
1589496014,-4.158799999999999,-3.152000000000001,37000,17,452,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:40:14,3056
1589496074,-4.038799999999999,-3.1119999999999948,37000,17,451,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:41:14,2996
1589496126,-3.9387999999999996,-3.082000000000008,37000,27,453,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:42:06,2944
1589496186,-3.838799999999999,-3.0019999999999953,37000,39,455,750457,KUL,SGN,AXM520,-64,A320,AK520,2020-05-15,05:43:06,2884
1589496242,-3.7487999999999992,-2.921999999999997,37000,38,453,750457,KUL,SGN,AXM520,-64,A320,AK520,2020-05-15,05:44:02,2828
1589496300,-3.6487999999999996,-2.852000000000004,37025,38,448,750457,KUL,SGN,AXM520,-64,A320,AK520,2020-05-15,05:45:00,2770
1589496360,-3.5488,-2.7720000000000056,36975,38,446,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:46:00,2710
1589496420,-3.458799999999999,-2.701999999999998,36975,38,445,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:47:00,2650
1589496484,-3.3487999999999998,-2.622,36975,38,446,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:48:04,2586
1589496538,-3.2588,-2.5520000000000067,36975,38,449,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:48:58,2532
1589496604,-3.1487999999999996,-2.4620000000000033,37025,37,451,750457,KUL,SGN,AXM520,64,A320,AK520,2020-05-15,05:50:04,2466
1589496665,-3.0488,-2.382000000000005,37050,38,450,750457,KUL,SGN,AXM520,0,A320,AK520,2020-05-15,05:51:05,2405
1589496730,-2.9487999999999994,-2.3020000000000067,37000,38,448,750457,KUL,SGN,AXM520,-64,A320,AK520,2020-05-15,05:52:10,2340
