timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1589705638,6.371200000000002,-13.372,37000,138,507,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:53:58,7125
1589705694,6.2712,-13.281999999999996,37000,138,507,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:54:54,7069
1589705747,6.191200000000002,-13.201999999999998,37000,138,506,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:55:47,7016
1589705807,6.101200000000002,-13.122,37000,138,506,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:56:47,6956
1589705867,6.011199999999999,-13.042000000000002,37000,138,506,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:57:47,6896
1589705918,5.891200000000001,-12.912000000000006,37000,136,508,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:58:38,6845
1589705979,5.8012000000000015,-12.822000000000003,37000,136,508,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,15:59:39,6784
1589706039,5.711200000000002,-12.742000000000004,37000,136,508,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:00:39,6724
1589706099,5.621200000000002,-12.652000000000001,37000,136,508,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:01:39,6664
1589706159,5.5412,-12.561999999999998,37000,136,508,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:02:39,6604
1589706228,5.441200000000002,-12.311999999999998,37000,122,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:03:48,6535
1589706284,5.3812,-12.182000000000002,37000,114,513,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:04:44,6479
1589706342,5.321200000000001,-12.052000000000007,37000,114,512,896212,DXB,SGN,UAE392,64,B77W,EK392,2020-05-17,16:05:42,6421
1589706404,5.261199999999999,-11.912000000000006,37000,110,514,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:06:44,6359
1589706468,5.211200000000002,-11.762,37000,110,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:07:48,6295
1589706522,5.171200000000001,-11.641999999999996,37000,110,510,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:08:42,6241
1589706578,5.1212,-11.512,37000,106,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:09:38,6185
1589706638,5.081200000000001,-11.372,37000,107,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:10:38,6125
1589706704,5.0412,-11.221999999999994,37000,107,513,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:11:44,6059
1589706760,5.001200000000001,-11.082000000000008,37000,107,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:12:40,6003
1589706822,4.9612,-10.942000000000007,37000,105,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:13:42,5941
1589706878,4.921200000000001,-10.811999999999998,37000,105,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:14:38,5885
1589706940,4.891200000000001,-10.662000000000006,37000,105,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:15:40,5823
1589707004,4.8512,-10.512,37000,105,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:16:44,5759
1589707061,4.811200000000001,-10.372,37000,105,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:17:41,5702
1589707116,4.7712,-10.242000000000004,37000,107,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:18:36,5647
1589707170,4.741200000000001,-10.122,37000,107,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:19:30,5593
1589707238,4.6912,-9.962000000000003,37000,107,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:20:38,5525
1589707290,4.651200000000001,-9.841999999999999,37000,107,510,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:21:30,5473
1589707352,4.6112,-9.692000000000007,37000,106,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:22:32,5411
1589707416,4.571200000000001,-9.542000000000002,37000,107,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:23:36,5347
1589707469,4.5312,-9.421999999999997,37000,107,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:24:29,5294
1589707532,4.491200000000001,-9.281999999999996,37000,107,507,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:25:32,5231
1589707590,4.4412,-9.141999999999996,37000,107,507,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:26:30,5173
1589707651,4.401200000000001,-9.001999999999995,37000,107,507,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:27:31,5112
1589707712,4.3512,-8.861999999999995,37000,116,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:28:32,5051
1589707776,4.2812,-8.721999999999994,37000,116,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:29:36,4987
1589707831,4.231200000000001,-8.602000000000004,37000,116,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:30:31,4932
1589707892,4.161200000000001,-8.471999999999994,37000,116,513,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:31:32,4871
1589707951,4.1012,-8.341999999999999,37000,116,513,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:32:31,4812
1589708016,4.0312,-8.192000000000007,37000,120,514,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:33:36,4747
1589708070,3.9612,-8.082000000000008,37000,120,516,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:34:30,4693
1589708132,3.8912000000000013,-7.951999999999998,37000,120,513,896212,DXB,SGN,UAE392,64,B77W,EK392,2020-05-17,16:35:32,4631
1589708194,3.8112000000000013,-7.822000000000003,37000,120,510,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:36:34,4569
1589708253,3.741200000000001,-7.692000000000007,37000,120,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:37:33,4510
1589708314,3.6712000000000007,-7.572000000000003,37000,120,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:38:34,4449
1589708372,3.6012000000000004,-7.442000000000007,37000,120,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:39:32,4391
1589708426,3.5412,-7.332000000000008,37000,120,509,896212,DXB,SGN,UAE392,64,B77W,EK392,2020-05-17,16:40:26,4337
1589708484,3.4612,-7.212000000000003,37000,136,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:41:24,4279
1589708543,3.3512000000000004,-7.122,37000,141,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:42:23,4220
1589708603,3.231200000000001,-7.042000000000002,37000,148,512,896212,DXB,SGN,UAE392,64,B77W,EK392,2020-05-17,16:43:23,4160
1589708669,3.1012000000000004,-6.962000000000003,37000,150,514,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:44:29,4094
1589708732,2.9711999999999996,-6.891999999999996,37000,150,512,896212,DXB,SGN,UAE392,-64,B77W,EK392,2020-05-17,16:45:32,4031
1589708793,2.8412000000000006,-6.811999999999998,37000,150,509,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:46:33,3970
1589708857,2.7112,-6.731999999999999,37000,148,512,896212,DXB,SGN,UAE392,-64,B77W,EK392,2020-05-17,16:47:37,3906
1589708918,2.6212,-6.622,37000,107,513,896212,DXB,SGN,UAE392,64,B77W,EK392,2020-05-17,16:48:38,3845
1589708974,2.6012000000000004,-6.481999999999999,37000,101,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:49:34,3789
1589709032,2.571200000000001,-6.352000000000004,37000,100,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:50:32,3731
1589709094,2.5412,-6.201999999999998,37000,101,512,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:51:34,3669
1589709150,2.5212000000000003,-6.072000000000003,37000,101,511,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:52:30,3613
1589709215,2.491200000000001,-5.912000000000006,37000,101,510,896212,DXB,SGN,UAE392,0,B77W,EK392,2020-05-17,16:53:35,3548
1589709275,2.4612,-5.772000000000006,37000,101,506,896212,DXB,SGN,UAE392,-64,B77W,EK392,2020-05-17,16:54:35,3488
