timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1590510646,11.481200000000001,7.268000000000001,0,340,10,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:30:46,8846
1590510704,11.481200000000001,7.268000000000001,0,36,9,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:31:44,8788
1590510763,11.481200000000001,7.268000000000001,0,64,0,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:32:43,8729
1590510818,11.481200000000001,7.268000000000001,0,115,0,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:33:38,8674
1590510878,11.481200000000001,7.268000000000001,0,115,0,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:34:38,8614
1590510947,11.481200000000001,7.268000000000001,0,245,0,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:35:47,8545
1590511008,11.481200000000001,7.268000000000001,0,296,0,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:36:48,8484
1590511066,11.481200000000001,7.278000000000006,0,73,22,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:37:46,8426
1590511127,11.481200000000001,7.278000000000006,0,345,21,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:38:47,8365
1590511187,11.481200000000001,7.278000000000006,0,250,25,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:39:47,8305
1590511246,11.481200000000001,7.268000000000001,0,250,24,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:40:46,8246
1590511301,11.481200000000001,7.268000000000001,0,250,21,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:41:41,8191
1590511362,11.481200000000001,7.268000000000001,0,250,30,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:42:42,8130
1590511422,11.481200000000001,7.268000000000001,0,340,32,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:43:42,8070
1590511476,11.481200000000001,7.268000000000001,0,70,22,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:44:36,8016
1590511533,11.481200000000001,7.268000000000001,0,70,33,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:45:33,7959
1590511596,11.4912,7.268000000000001,0,70,16,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:46:36,7896
1590511654,11.4912,7.278000000000006,0,70,30,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:47:34,7838
1590511716,11.4912,7.278000000000006,0,70,23,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:48:36,7776
1590511769,11.4912,7.278000000000006,0,73,17,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:49:29,7723
1590511785,11.4912,7.278000000000006,0,126,15,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:49:45,7707
1590511958,11.4912,7.278000000000006,0,250,2,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:52:38,7534
1590511992,11.481200000000001,7.268000000000001,0,250,110,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-26,23:53:12,7500
1590512071,11.4712,7.207999999999998,2575,250,192,780A7B,HKG,SGN,HKC319,1984,A332,RH319,2020-05-26,23:54:31,7421
1590512131,11.441200000000002,7.147999999999996,4750,239,255,780A7B,HKG,SGN,HKC319,2752,A332,RH319,2020-05-26,23:55:31,7361
1590512183,11.391200000000001,7.138000000000005,7625,173,263,780A7B,HKG,SGN,HKC319,2624,A332,RH319,2020-05-26,23:56:23,7309
1590512246,11.3112,7.147999999999996,10275,173,307,780A7B,HKG,SGN,HKC319,1280,A332,RH319,2020-05-26,23:57:26,7246
1590512296,11.231200000000001,7.167999999999992,12225,153,342,780A7B,HKG,SGN,HKC319,2688,A332,RH319,2020-05-26,23:58:16,7196
1590512366,11.1312,7.227999999999994,15425,152,359,780A7B,HKG,SGN,HKC319,2816,A332,RH319,2020-05-26,23:59:26,7126
1590512422,11.0412,7.268000000000001,17650,153,377,780A7B,HKG,SGN,HKC319,2560,A332,RH319,2020-05-27,00:00:22,7070
1590512485,10.9512,7.328000000000003,19925,145,395,780A7B,HKG,SGN,HKC319,2240,A332,RH319,2020-05-27,00:01:25,7007
1590512548,10.8412,7.397999999999996,22100,169,399,780A7B,HKG,SGN,HKC319,2240,A332,RH319,2020-05-27,00:02:28,6944
1590512609,10.731200000000001,7.388000000000005,23800,183,405,780A7B,HKG,SGN,HKC319,1664,A332,RH319,2020-05-27,00:03:29,6883
1590512664,10.6312,7.388000000000005,25100,183,420,780A7B,HKG,SGN,HKC319,1664,A332,RH319,2020-05-27,00:04:24,6828
1590512730,10.5012,7.378,26975,183,426,780A7B,HKG,SGN,HKC319,1856,A332,RH319,2020-05-27,00:05:30,6762
1590512788,10.3812,7.347999999999999,28200,196,434,780A7B,HKG,SGN,HKC319,1472,A332,RH319,2020-05-27,00:06:28,6704
1590512849,10.2712,7.307999999999993,29750,196,443,780A7B,HKG,SGN,HKC319,2048,A332,RH319,2020-05-27,00:07:29,6643
1590512908,10.1512,7.278000000000006,31425,196,447,780A7B,HKG,SGN,HKC319,1408,A332,RH319,2020-05-27,00:08:28,6584
1590512968,10.031200000000002,7.2379999999999995,32775,196,460,780A7B,HKG,SGN,HKC319,1344,A332,RH319,2020-05-27,00:09:28,6524
1590513030,9.9012,7.197999999999993,35175,196,444,780A7B,HKG,SGN,HKC319,2560,A332,RH319,2020-05-27,00:10:30,6462
1590513087,9.7912,7.158000000000001,36300,196,458,780A7B,HKG,SGN,HKC319,1216,A332,RH319,2020-05-27,00:11:27,6405
1590513140,9.711200000000002,7.097999999999999,36375,217,459,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:12:20,6352
1590513198,9.5612,7.087999999999994,39650,196,446,780A7B,HKG,SGN,HKC319,1728,A332,RH319,2020-05-27,00:13:18,6294
1590513260,9.481200000000001,7.018000000000001,39650,217,446,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:14:20,6232
1590513335,9.2912,7.007999999999996,40000,196,442,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:15:35,6157
1590513393,9.1812,6.9680000000000035,40000,196,439,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:16:33,6099
1590513438,9.0912,6.938000000000002,40000,196,438,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:17:18,6054
1590513500,9.011199999999999,6.867999999999995,40000,218,438,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:18:20,5992
1590513572,8.911200000000001,6.787999999999997,40000,218,438,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:19:32,5920
1590513636,8.8112,6.748000000000005,40000,217,437,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:20:36,5856
1590513688,8.691200000000002,6.7180000000000035,40000,218,440,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:21:28,5804
1590513756,8.5612,6.667999999999992,40000,217,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:22:36,5736
1590513808,8.4912,6.628,40000,218,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:23:28,5684
1590513868,8.391200000000001,6.587999999999994,40000,219,443,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:24:28,5624
1590513928,8.2712,6.578000000000003,40000,219,443,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:25:28,5564
1590513996,8.0912,6.518000000000001,40000,217,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:26:36,5496
1590514060,8.0212,6.477999999999994,40000,219,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:27:40,5432
1590514116,7.911200000000001,6.457999999999998,40000,217,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:28:36,5376
1590514176,7.761199999999999,6.417999999999992,40000,217,442,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:29:36,5316
1590514236,7.6312,6.378,40000,217,439,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:30:36,5256
1590514296,7.511199999999999,6.337999999999994,40000,217,441,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:31:36,5196
1590514356,7.391200000000001,6.307999999999993,40000,217,442,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:32:36,5136
1590514416,7.251200000000001,6.278000000000006,40000,217,443,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:33:36,5076
1590514476,7.171199999999999,6.2180000000000035,40000,217,443,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:34:36,5016
1590514536,7.071200000000001,6.207999999999998,40000,217,443,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:35:36,4956
1590514600,6.961200000000002,6.147999999999996,40000,222,444,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:36:40,4892
1590514668,6.871200000000002,6.097999999999999,40000,222,446,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:37:48,4824
1590514728,6.691200000000002,5.9879999999999995,40000,222,451,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:38:48,4764
1590514788,6.6112,5.917999999999992,40000,222,451,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:39:48,4704
1590514848,6.691200000000002,5.998000000000005,40000,222,452,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:40:48,4644
1590514908,6.621200000000002,5.917999999999992,40000,222,452,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:41:48,4584
1590514968,6.531200000000002,5.837999999999994,40000,222,452,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:42:48,4524
1590515016,6.2212,5.617999999999995,40000,223,451,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:43:36,4476
1590515088,6.2212,5.617999999999995,40000,222,451,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:44:48,4404
1590515140,6.1812000000000005,5.587999999999994,40000,222,450,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:45:40,4352
1590515208,6.211200000000002,5.617999999999995,40000,222,450,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:46:48,4284
1590515268,6.141200000000001,5.537999999999997,40000,222,450,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:47:48,4224
1590515328,5.741199999999999,5.257999999999996,40000,223,449,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:48:48,4164
1590515388,5.591200000000001,5.128,40000,223,449,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:49:48,4104
1590515448,5.5212,5.078000000000003,40000,223,446,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:50:48,4044
1590515496,5.461200000000002,5.018000000000001,40000,223,446,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:51:36,3996
1590515568,5.3111999999999995,4.917999999999992,40000,223,447,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:52:48,3924
1590515628,5.191200000000002,4.837999999999994,40000,223,448,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:53:48,3864
1590515676,5.1012,4.768000000000001,40000,223,449,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:54:36,3816
1590515748,4.911200000000001,4.677999999999997,40000,215,455,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:55:48,3744
1590515788,4.841200000000001,4.617999999999995,40000,215,454,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:56:28,3704
1590515864,4.741200000000001,4.528000000000006,40000,224,454,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:57:44,3628
1590515924,4.661200000000001,4.447999999999993,40000,224,454,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:58:44,3568
1590515972,4.6012,4.388000000000005,40000,224,454,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,00:59:32,3520
1590516044,4.5112000000000005,4.287999999999997,40000,224,454,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:00:44,3448
1590516109,4.3012,4.2180000000000035,40000,216,448,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:01:49,3383
1590516166,4.2012,4.147999999999996,40000,216,449,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:02:46,3326
1590516228,4.1012,4.067999999999998,40000,216,452,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:03:48,3264
1590516288,4.001200000000001,3.9879999999999995,40000,216,455,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:04:48,3204
1590516346,3.901200000000001,3.9080000000000013,40000,216,455,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:05:46,3146
1590516404,3.8011999999999997,3.837999999999994,40000,216,456,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:06:44,3088
1590516459,3.7112,3.7680000000000007,40000,216,455,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:07:39,3033
1590516516,3.6212,3.6880000000000024,40000,226,455,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:08:36,2976
1590516568,3.5212000000000003,3.628,40000,216,458,780A7B,HKG,SGN,HKC319,0,A332,RH319,2020-05-27,01:09:28,2924
