timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1591782362,2.8612,-5.912000000000006,625,195,169,ACB89B,BKK,SGN,FDX6002,3904,B752,FX6002,2020-06-10,16:46:02,3942
1591782423,2.821200000000001,-5.921999999999997,4225,194,171,ACB89B,BKK,SGN,FDX6002,2432,B752,FX6002,2020-06-10,16:47:03,3881
1591782476,2.7712000000000003,-5.932000000000002,6250,180,251,ACB89B,BKK,SGN,FDX6002,2240,B752,FX6002,2020-06-10,16:47:56,3828
1591782540,2.7211999999999996,-5.872,10200,103,291,ACB89B,BKK,SGN,FDX6002,3840,B752,FX6002,2020-06-10,16:49:00,3764
1591782598,2.6912000000000003,-5.792000000000002,12900,109,348,ACB89B,BKK,SGN,FDX6002,4992,B752,FX6002,2020-06-10,16:49:58,3706
1591782658,2.661200000000001,-5.692000000000007,16125,109,374,ACB89B,BKK,SGN,FDX6002,3136,B752,FX6002,2020-06-10,16:50:58,3646
1591782720,2.6212,-5.582000000000008,19325,108,389,ACB89B,BKK,SGN,FDX6002,2560,B752,FX6002,2020-06-10,16:52:00,3584
1591782773,2.5912000000000006,-5.492000000000004,21600,108,405,ACB89B,BKK,SGN,FDX6002,2816,B752,FX6002,2020-06-10,16:52:53,3531
1591782835,2.5511999999999997,-5.372,24175,108,421,ACB89B,BKK,SGN,FDX6002,2624,B752,FX6002,2020-06-10,16:53:55,3469
1591782892,2.5212000000000003,-5.2620000000000005,26750,108,421,ACB89B,BKK,SGN,FDX6002,3520,B752,FX6002,2020-06-10,16:54:52,3412
1591782950,2.481200000000001,-5.162000000000006,29675,108,410,ACB89B,BKK,SGN,FDX6002,2688,B752,FX6002,2020-06-10,16:55:50,3354
1591783014,2.4412000000000003,-5.042000000000002,32375,108,403,ACB89B,BKK,SGN,FDX6002,2304,B752,FX6002,2020-06-10,16:56:54,3290
1591783075,2.401200000000001,-4.932000000000002,33025,109,412,ACB89B,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-10,16:57:55,3229
1591783139,2.3612,-4.802000000000007,33000,109,456,ACB89B,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-10,16:58:59,3165
1591783202,2.321200000000001,-4.671999999999997,33000,109,462,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:00:02,3102
1591783257,2.2812,-4.561999999999998,33000,109,459,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:00:57,3047
1591783312,2.241200000000001,-4.451999999999998,33000,109,461,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:01:52,2992
1591783375,2.2012,-4.322000000000003,33000,109,460,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:02:55,2929
1591783430,2.161200000000001,-4.201999999999998,33000,109,461,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:03:50,2874
1591783496,2.1012000000000004,-4.072000000000003,33000,116,461,ACB89B,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-10,17:04:56,2808
1591783561,2.0412,-3.951999999999998,33000,118,457,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:06:01,2743
1591783617,1.9812000000000012,-3.8419999999999987,33000,118,455,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:06:57,2687
1591783674,1.9212000000000007,-3.7319999999999993,33025,117,453,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:07:54,2630
1591783734,1.8612000000000002,-3.622,33000,117,453,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:08:54,2570
1591783795,1.8011999999999997,-3.5019999999999953,33000,117,453,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:09:55,2509
1591783856,1.741200000000001,-3.391999999999996,33000,117,453,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:10:56,2448
1591783916,1.6912000000000003,-3.2720000000000056,33000,117,456,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:11:56,2388
1591783971,1.6212,-3.171999999999997,33000,134,461,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:12:51,2333
1591784036,1.5212000000000003,-3.082000000000008,33025,135,462,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:13:56,2268
1591784088,1.4412000000000003,-3.0019999999999953,33000,135,463,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:14:48,2216
1591784153,1.3412000000000006,-2.902000000000001,33000,135,468,ACB89B,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-10,17:15:53,2151
1591784210,1.2512000000000008,-2.8119999999999976,33000,126,461,ACB89B,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-10,17:16:50,2094
1591784268,1.1812000000000005,-2.7120000000000033,33025,124,457,ACB89B,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-10,17:17:48,2036
1591784322,1.1212,-2.6119999999999948,33000,125,458,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:18:42,1982
1591784384,1.0511999999999997,-2.5019999999999953,33000,119,464,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:19:44,1920
1591784443,0.991200000000001,-2.382000000000005,33000,113,469,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:20:43,1861
1591784506,0.9412000000000003,-2.2519999999999953,33000,112,467,ACB89B,BKK,SGN,FDX6002,-128,B752,FX6002,2020-06-10,17:21:46,1798
1591784562,0.8912000000000013,-2.132000000000005,33000,112,466,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:22:42,1742
1591784620,0.8412000000000006,-2.0220000000000056,33000,112,469,ACB89B,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-10,17:23:40,1684
1591784678,0.7911999999999999,-1.902000000000001,33000,112,471,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:24:38,1626
1591784737,0.741200000000001,-1.7819999999999965,33000,112,471,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:25:37,1567
1591784792,0.7012,-1.6620000000000061,33000,112,472,ACB89B,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-10,17:26:32,1512
