timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1592846953,17.5512,-1.3020000000000067,33100,161,480,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:29:13,10044
1592847013,17.4212,-1.2620000000000005,33125,161,481,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:30:13,9984
1592847081,17.281200000000002,-1.1920000000000073,33100,154,472,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:31:21,9916
1592847142,17.1612,-1.132000000000005,33100,154,471,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:32:22,9855
1592847196,17.0512,-1.0720000000000027,33100,154,470,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:33:16,9801
1592847254,16.941200000000002,-1.0120000000000005,33100,154,469,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:34:14,9743
1592847312,16.8212,-0.9620000000000033,33125,171,468,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:35:12,9685
1592847373,16.7012,-0.9920000000000044,33125,207,470,78058A,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-23,00:36:13,9624
1592847436,16.5812,-1.0619999999999976,33100,207,470,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:37:16,9561
1592847492,16.4612,-1.1219999999999999,33100,207,472,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:38:12,9505
1592847552,16.351200000000002,-1.1920000000000073,33100,207,473,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:39:12,9445
1592847617,16.2212,-1.2720000000000056,33125,207,474,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:40:17,9380
1592847672,16.1112,-1.3320000000000078,33100,211,476,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:41:12,9325
1592847736,16.0012,-1.421999999999997,33100,218,478,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:42:16,9261
1592847795,15.9012,-1.5120000000000005,33100,218,479,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:43:15,9202
1592847852,15.8112,-1.5919999999999987,33100,218,470,78058A,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-23,00:44:12,9145
