timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1593343425,2.8612,-5.912000000000006,475,194,161,3C458A,BKK,SGN,BOX620,2176,B77L,3S620,2020-06-28,18:23:45,5557
1593343492,2.8112000000000013,-5.932000000000002,2925,194,175,3C458A,BKK,SGN,BOX620,2176,B77L,3S620,2020-06-28,18:24:52,5490
1593343550,2.7612000000000005,-5.921999999999997,4275,142,244,3C458A,BKK,SGN,BOX620,1664,B77L,3S620,2020-06-28,18:25:50,5432
1593343608,2.7112,-5.872,6400,122,290,3C458A,BKK,SGN,BOX620,2816,B77L,3S620,2020-06-28,18:26:48,5374
1593343675,2.6812000000000005,-5.7819999999999965,9725,108,295,3C458A,BKK,SGN,BOX620,3008,B77L,3S620,2020-06-28,18:27:55,5307
1593343735,2.651200000000001,-5.692000000000007,11725,108,349,3C458A,BKK,SGN,BOX620,1536,B77L,3S620,2020-06-28,18:28:55,5247
1593343800,2.6112,-5.582000000000008,14425,108,399,3C458A,BKK,SGN,BOX620,3008,B77L,3S620,2020-06-28,18:30:00,5182
1593343858,2.581200000000001,-5.471999999999994,17225,108,418,3C458A,BKK,SGN,BOX620,2880,B77L,3S620,2020-06-28,18:30:58,5124
1593343917,2.5412,-5.361999999999995,20000,108,434,3C458A,BKK,SGN,BOX620,2816,B77L,3S620,2020-06-28,18:31:57,5065
1593343977,2.5012000000000008,-5.242000000000004,22775,108,445,3C458A,BKK,SGN,BOX620,2496,B77L,3S620,2020-06-28,18:32:57,5005
1593344036,2.4612,-5.122,25100,108,459,3C458A,BKK,SGN,BOX620,1984,B77L,3S620,2020-06-28,18:33:56,4946
1593344091,2.4212000000000007,-5.0120000000000005,27075,108,471,3C458A,BKK,SGN,BOX620,2112,B77L,3S620,2020-06-28,18:34:51,4891
1593344154,2.3811999999999998,-4.872,28975,108,490,3C458A,BKK,SGN,BOX620,1984,B77L,3S620,2020-06-28,18:35:54,4828
1593344211,2.3412000000000006,-4.742000000000004,30800,108,499,3C458A,BKK,SGN,BOX620,2816,B77L,3S620,2020-06-28,18:36:51,4771
1593344275,2.2912,-4.602000000000004,33000,108,492,3C458A,BKK,SGN,BOX620,384,B77L,3S620,2020-06-28,18:37:55,4707
