timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1594096252,-8.0788,-4.921999999999997,2525,143,161,7BD01D,KUL,SGN,HYT9056,2752,B752,YG9056,2020-07-07,11:30:52,5599
1594096318,-8.1288,-4.891999999999996,4850,134,239,7BD01D,KUL,SGN,HYT9056,1344,B752,YG9056,2020-07-07,11:31:58,5533
1594096383,-8.098799999999999,-4.822000000000003,8150,27,283,7BD01D,KUL,SGN,HYT9056,3712,B752,YG9056,2020-07-07,11:33:03,5468
1594096433,-8.0388,-4.802000000000007,10725,19,300,7BD01D,KUL,SGN,HYT9056,1600,B752,YG9056,2020-07-07,11:33:53,5418
1594096489,-7.9588,-4.772000000000006,13450,19,318,7BD01D,KUL,SGN,HYT9056,2752,B752,YG9056,2020-07-07,11:34:49,5362
1594096559,-7.8588,-4.742000000000004,16725,19,332,7BD01D,KUL,SGN,HYT9056,2816,B752,YG9056,2020-07-07,11:35:59,5292
1594096620,-7.7688,-4.701999999999998,18050,19,386,7BD01D,KUL,SGN,HYT9056,1152,B752,YG9056,2020-07-07,11:37:00,5231
1594096677,-7.668799999999999,-4.671999999999997,20050,19,403,7BD01D,KUL,SGN,HYT9056,2624,B752,YG9056,2020-07-07,11:37:57,5174
1594096738,-7.5588,-4.632000000000005,22100,19,416,7BD01D,KUL,SGN,HYT9056,2176,B752,YG9056,2020-07-07,11:38:58,5113
1594096801,-7.4388,-4.582000000000008,24000,27,428,7BD01D,KUL,SGN,HYT9056,1664,B752,YG9056,2020-07-07,11:40:01,5050
1594096866,-7.328799999999999,-4.522000000000006,25825,26,439,7BD01D,KUL,SGN,HYT9056,2368,B752,YG9056,2020-07-07,11:41:06,4985
1594096928,-7.2188,-4.462000000000003,28375,26,426,7BD01D,KUL,SGN,HYT9056,2624,B752,YG9056,2020-07-07,11:42:08,4923
1594096983,-7.118799999999999,-4.412000000000006,29025,27,421,7BD01D,KUL,SGN,HYT9056,-64,B752,YG9056,2020-07-07,11:43:03,4868
1594097043,-7.0188,-4.361999999999995,29000,27,423,7BD01D,KUL,SGN,HYT9056,0,B752,YG9056,2020-07-07,11:44:03,4808
1594097101,-6.918799999999999,-4.311999999999998,29000,27,431,7BD01D,KUL,SGN,HYT9056,0,B752,YG9056,2020-07-07,11:45:01,4750
1594097159,-6.8088,-4.251999999999995,29000,27,439,7BD01D,KUL,SGN,HYT9056,0,B752,YG9056,2020-07-07,11:45:59,4692
1594097225,-6.6888,-4.192000000000007,29000,27,438,7BD01D,KUL,SGN,HYT9056,0,B752,YG9056,2020-07-07,11:47:05,4626
