timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1594801647,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:27:27,5736
1594801697,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:28:17,5686
1594801777,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:29:37,5606
1594801832,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:30:32,5551
1594801897,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:31:37,5486
1594801942,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:32:22,5441
1594802007,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:33:27,5376
1594802067,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:34:27,5316
1594802133,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:35:33,5250
1594802194,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:36:34,5189
1594802229,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:37:09,5154
1594802280,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:38:00,5103
1594802369,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:39:29,5014
1594802424,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:40:24,4959
1594802489,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:41:29,4894
1594802534,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:42:14,4849
1594802619,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:43:39,4764
1594802679,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:44:39,4704
1594802730,5.581199999999999,1.0480000000000018,0,89,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:45:30,4653
1594802795,5.581199999999999,1.0480000000000018,0,271,0,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:46:35,4588
1594802856,5.581199999999999,1.0480000000000018,0,182,9,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:47:36,4527
1594802882,5.581199999999999,1.0480000000000018,0,219,9,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:48:02,4501
1594803142,5.581199999999999,1.0379999999999967,0,250,34,888126,HUI,SGN,VJC309,0,A320,VJ309,2020-07-15,15:52:22,4241
1594803276,5.581199999999999,1.097999999999999,2250,91,191,888126,HUI,SGN,VJC309,960,A320,VJ309,2020-07-15,15:54:36,4107
1594803334,5.571200000000001,1.1679999999999922,4575,121,238,888126,HUI,SGN,VJC309,3072,A320,VJ309,2020-07-15,15:55:34,4049
1594803388,5.531200000000002,1.1979999999999933,7300,143,244,888126,HUI,SGN,VJC309,2688,A320,VJ309,2020-07-15,15:56:28,3995
1594803456,5.461200000000002,1.2379999999999995,10050,163,275,888126,HUI,SGN,VJC309,1152,A320,VJ309,2020-07-15,15:57:36,3927
1594803513,5.3812,1.2680000000000007,12400,164,302,888126,HUI,SGN,VJC309,3712,A320,VJ309,2020-07-15,15:58:33,3870
1594803583,5.281200000000002,1.2980000000000018,14925,164,330,888126,HUI,SGN,VJC309,3648,A320,VJ309,2020-07-15,15:59:43,3800
1594803637,5.2012,1.3179999999999978,17425,164,326,888126,HUI,SGN,VJC309,2240,A320,VJ309,2020-07-15,16:00:37,3746
1594803691,5.1212,1.3379999999999939,18850,167,350,888126,HUI,SGN,VJC309,704,A320,VJ309,2020-07-15,16:01:31,3692
1594803751,5.0112000000000005,1.358000000000004,19900,167,390,888126,HUI,SGN,VJC309,2176,A320,VJ309,2020-07-15,16:02:31,3632
