timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1598725676,-9.518799999999999,-2.6920000000000073,2750,202,228,8A07EC,SIN,SGN,MYU8816,3584,B733,2Y8816,2020-08-30,01:27:56,5924
1598725740,-9.588799999999999,-2.6920000000000073,5600,134,253,8A07EC,SIN,SGN,MYU8816,3136,B733,2Y8816,2020-08-30,01:29:00,5860
1598725794,-9.608799999999999,-2.641999999999996,8075,105,256,8A07EC,SIN,SGN,MYU8816,2240,B733,2Y8816,2020-08-30,01:29:54,5806
1598725854,-9.5788,-2.582000000000008,10475,21,271,8A07EC,SIN,SGN,MYU8816,1792,B733,2Y8816,2020-08-30,01:30:54,5746
1598725914,-9.4988,-2.5919999999999987,11550,340,339,8A07EC,SIN,SGN,MYU8816,896,B733,2Y8816,2020-08-30,01:31:54,5686
1598725974,-9.3988,-2.622,13325,341,369,8A07EC,SIN,SGN,MYU8816,2048,B733,2Y8816,2020-08-30,01:32:54,5626
1598726036,-9.2988,-2.662000000000006,15725,341,372,8A07EC,SIN,SGN,MYU8816,1920,B733,2Y8816,2020-08-30,01:33:56,5564
1598726095,-9.2088,-2.6920000000000073,17275,341,391,8A07EC,SIN,SGN,MYU8816,1856,B733,2Y8816,2020-08-30,01:34:55,5505
1598726157,-9.098799999999999,-2.7319999999999993,19350,341,393,8A07EC,SIN,SGN,MYU8816,1792,B733,2Y8816,2020-08-30,01:35:57,5443
1598726221,-8.9788,-2.7420000000000044,20875,356,406,8A07EC,SIN,SGN,MYU8816,1408,B733,2Y8816,2020-08-30,01:37:01,5379
1598726276,-8.8788,-2.7519999999999953,22200,356,415,8A07EC,SIN,SGN,MYU8816,1280,B733,2Y8816,2020-08-30,01:37:56,5324
1598726339,-8.7488,-2.7620000000000005,23575,356,426,8A07EC,SIN,SGN,MYU8816,1344,B733,2Y8816,2020-08-30,01:38:59,5261
1598726400,-8.6288,-2.7720000000000056,25050,355,429,8A07EC,SIN,SGN,MYU8816,1408,B733,2Y8816,2020-08-30,01:40:00,5200
1598726457,-8.518799999999999,-2.7720000000000056,26150,356,435,8A07EC,SIN,SGN,MYU8816,1088,B733,2Y8816,2020-08-30,01:40:57,5143
1598726518,-8.3888,-2.7819999999999965,27375,7,435,8A07EC,SIN,SGN,MYU8816,896,B733,2Y8816,2020-08-30,01:41:58,5082
1598726581,-8.258799999999999,-2.7620000000000005,28250,7,446,8A07EC,SIN,SGN,MYU8816,896,B733,2Y8816,2020-08-30,01:43:01,5019
1598726636,-8.1488,-2.7420000000000044,29400,7,443,8A07EC,SIN,SGN,MYU8816,1472,B733,2Y8816,2020-08-30,01:43:56,4964
