timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1599479763,-5.5287999999999995,-6.382000000000005,0,132,9,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,18:56:03,5571
1599479825,-5.5287999999999995,-6.382000000000005,0,61,9,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,18:57:05,5509
1599479881,-5.5287999999999995,-6.382000000000005,0,42,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,18:58:01,5453
1599479931,-5.5287999999999995,-6.382000000000005,0,237,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,18:58:51,5403
1599479996,-5.5287999999999995,-6.382000000000005,0,237,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,18:59:56,5338
1599480047,-5.5287999999999995,-6.382000000000005,0,56,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:00:47,5287
1599480111,-5.5287999999999995,-6.382000000000005,0,237,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:01:51,5223
1599480176,-5.5287999999999995,-6.382000000000005,0,42,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:02:56,5158
1599480247,-5.5287999999999995,-6.382000000000005,0,351,18,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:04:07,5087
1599480263,-5.5287999999999995,-6.382000000000005,0,351,23,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:04:23,5071
1599480373,-5.5088,-6.361999999999995,900,41,151,4CAB31,PEN,SGN,AHK562,3328,A332,LD562,2020-09-07,19:06:13,4961
1599480430,-5.4788,-6.332000000000008,2725,41,211,4CAB31,PEN,SGN,AHK562,1024,A332,LD562,2020-09-07,19:07:10,4904
1599480491,-5.4288,-6.2819999999999965,5550,83,275,4CAB31,PEN,SGN,AHK562,4288,A332,LD562,2020-09-07,19:08:11,4843
1599480547,-5.4388,-6.201999999999998,9050,100,292,4CAB31,PEN,SGN,AHK562,3712,A332,LD562,2020-09-07,19:09:07,4787
1599480616,-5.458799999999999,-6.111999999999995,12350,101,342,4CAB31,PEN,SGN,AHK562,3904,A332,LD562,2020-09-07,19:10:16,4718
1599480678,-5.4788,-6.0120000000000005,15625,100,361,4CAB31,PEN,SGN,AHK562,3904,A332,LD562,2020-09-07,19:11:18,4656
1599480743,-5.498799999999999,-5.902000000000001,18800,100,380,4CAB31,PEN,SGN,AHK562,3200,A332,LD562,2020-09-07,19:12:23,4591
1599480798,-5.5188,-5.802000000000007,21675,101,382,4CAB31,PEN,SGN,AHK562,3136,A332,LD562,2020-09-07,19:13:18,4536
1599480859,-5.538799999999999,-5.692000000000007,24075,101,395,4CAB31,PEN,SGN,AHK562,2560,A332,LD562,2020-09-07,19:14:19,4475
1599480921,-5.5588,-5.582000000000008,26150,102,410,4CAB31,PEN,SGN,AHK562,2304,A332,LD562,2020-09-07,19:15:21,4413
1599480978,-5.578799999999999,-5.471999999999994,27975,95,419,4CAB31,PEN,SGN,AHK562,1920,A332,LD562,2020-09-07,19:16:18,4356
1599481038,-5.578799999999999,-5.352000000000004,29800,89,427,4CAB31,PEN,SGN,AHK562,1856,A332,LD562,2020-09-07,19:17:18,4296
1599481097,-5.578799999999999,-5.242000000000004,31275,89,436,4CAB31,PEN,SGN,AHK562,1472,A332,LD562,2020-09-07,19:18:17,4237
1599481154,-5.5488,-5.122,33050,68,436,4CAB31,PEN,SGN,AHK562,2368,A332,LD562,2020-09-07,19:19:14,4180
1599481216,-5.5088,-5.0120000000000005,35575,69,418,4CAB31,PEN,SGN,AHK562,2368,A332,LD562,2020-09-07,19:20:16,4118
1599481278,-5.448799999999999,-4.902000000000001,36900,48,426,4CAB31,PEN,SGN,AHK562,1152,A332,LD562,2020-09-07,19:21:18,4056
1599481340,-5.368799999999999,-4.811999999999998,37000,49,451,4CAB31,PEN,SGN,AHK562,128,A332,LD562,2020-09-07,19:22:20,3994
1599481398,-5.288799999999999,-4.721999999999994,37000,49,449,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:23:18,3936
1599481458,-5.208799999999999,-4.622,37000,49,448,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:24:18,3876
1599481518,-5.128799999999999,-4.522000000000006,37000,49,448,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:25:18,3816
1599481580,-5.0488,-4.432000000000002,37000,49,451,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-07,19:26:20,3754
1599481641,-4.958799999999999,-4.332000000000008,37000,49,454,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:27:21,3693
1599481706,-4.868799999999999,-4.231999999999999,37000,49,452,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:28:26,3628
1599481766,-4.788799999999999,-4.132000000000005,37000,49,450,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:29:26,3568
1599481821,-4.7188,-4.042000000000002,37000,49,449,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:30:21,3513
1599481877,-4.6388,-3.951999999999998,37000,49,450,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-07,19:31:17,3457
1599481935,-4.5588,-3.8619999999999948,37000,49,449,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:32:15,3399
1599481998,-4.4788,-3.7620000000000005,37000,49,450,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-07,19:33:18,3336
1599482052,-4.3988,-3.682000000000002,37000,49,449,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:34:12,3282
1599482111,-4.3187999999999995,-3.582000000000008,37000,49,448,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-07,19:35:11,3223
1599482175,-4.2387999999999995,-3.4819999999999993,37000,49,446,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:36:15,3159
1599482241,-4.1488,-3.382000000000005,37000,49,444,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:37:21,3093
1599482303,-4.0687999999999995,-3.2819999999999965,37000,49,444,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-07,19:38:23,3031
1599482347,-4.0088,-3.2120000000000033,37000,49,444,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:39:07,2987
1599482415,-3.918799999999999,-3.1119999999999948,37000,49,446,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-07,19:40:15,2919
