timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1600900191,3.661200000000001,14.307999999999993,3425,244,195,7583ED,MNL,SGN,PAL591,2048,A321,PR591,2020-09-24,05:29:51,7243
1600900249,3.6311999999999998,14.248000000000005,5675,249,273,7583ED,MNL,SGN,PAL591,3712,A321,PR591,2020-09-24,05:30:49,7185
1600900305,3.6112,14.177999999999997,8250,248,313,7583ED,MNL,SGN,PAL591,1344,A321,PR591,2020-09-24,05:31:45,7129
1600900368,3.571200000000001,14.078000000000003,10625,248,361,7583ED,MNL,SGN,PAL591,3584,A321,PR591,2020-09-24,05:32:48,7066
1600900429,3.5312,13.977999999999994,13325,248,383,7583ED,MNL,SGN,PAL591,2752,A321,PR591,2020-09-24,05:33:49,7005
1600900489,3.491200000000001,13.878,15875,248,397,7583ED,MNL,SGN,PAL591,2624,A321,PR591,2020-09-24,05:34:49,6945
1600900544,3.4512,13.778000000000006,18050,248,409,7583ED,MNL,SGN,PAL591,1920,A321,PR591,2020-09-24,05:35:44,6890
1600900599,3.411200000000001,13.677999999999997,19925,248,422,7583ED,MNL,SGN,PAL591,1728,A321,PR591,2020-09-24,05:36:39,6835
1600900660,3.3712,13.557999999999993,21850,248,433,7583ED,MNL,SGN,PAL591,1536,A321,PR591,2020-09-24,05:37:40,6774
1600900724,3.321200000000001,13.438000000000002,23625,247,447,7583ED,MNL,SGN,PAL591,1600,A321,PR591,2020-09-24,05:38:44,6710
1600900780,3.2712000000000003,13.317999999999998,24850,234,462,7583ED,MNL,SGN,PAL591,1536,A321,PR591,2020-09-24,05:39:40,6654
1600900839,3.1812000000000005,13.238,26525,219,460,7583ED,MNL,SGN,PAL591,832,A321,PR591,2020-09-24,05:40:39,6595
1600900905,3.071200000000001,13.138000000000005,27925,225,470,7583ED,MNL,SGN,PAL591,1088,A321,PR591,2020-09-24,05:41:45,6529
1600900969,2.991200000000001,13.018,29225,240,478,7583ED,MNL,SGN,PAL591,1408,A321,PR591,2020-09-24,05:42:49,6465
1600901024,2.9612,12.897999999999996,31025,257,468,7583ED,MNL,SGN,PAL591,1792,A321,PR591,2020-09-24,05:43:44,6410
1600901084,2.9312000000000005,12.778000000000006,32950,257,455,7583ED,MNL,SGN,PAL591,1280,A321,PR591,2020-09-24,05:44:44,6350
1600901141,2.901200000000001,12.647999999999996,34000,257,458,7583ED,MNL,SGN,PAL591,64,A321,PR591,2020-09-24,05:45:41,6293
1600901200,2.8712,12.528000000000006,34000,257,465,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:46:40,6234
1600901260,2.8512000000000004,12.397999999999996,34000,257,465,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:47:40,6174
1600901315,2.821200000000001,12.278000000000006,34000,257,465,7583ED,MNL,SGN,PAL591,64,A321,PR591,2020-09-24,05:48:35,6119
1600901381,2.7912,12.138000000000005,34000,257,464,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:49:41,6053
1600901432,2.7612000000000005,12.028000000000006,34000,250,464,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:50:32,6002
1600901491,2.7112,11.908000000000001,34000,247,465,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:51:31,5943
1600901552,2.661200000000001,11.778000000000006,34000,247,471,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:52:32,5882
1600901612,2.6112,11.658000000000001,34025,247,473,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:53:32,5822
1600901670,2.5612000000000013,11.537999999999997,34000,247,473,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:54:30,5764
1600901729,2.5112000000000005,11.417999999999992,34000,247,473,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:55:29,5705
1600901789,2.4612,11.287999999999997,34000,247,473,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:56:29,5645
1600901852,2.411200000000001,11.158000000000001,33975,247,473,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:57:32,5582
1600901913,2.3612,11.037999999999997,33975,247,476,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:58:33,5521
1600901970,2.3112000000000013,10.927999999999997,33975,247,477,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,05:59:30,5464
1600902031,2.2512000000000008,10.787999999999997,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:00:31,5403
1600902090,2.2012,10.667999999999992,34025,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:01:30,5344
1600902150,2.151200000000001,10.537999999999997,34000,247,479,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:02:30,5284
1600902210,2.1112,10.427999999999997,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:03:30,5224
1600902270,2.0612000000000013,10.317999999999998,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:04:30,5164
1600902342,2.0112000000000005,10.188000000000002,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:05:42,5092
1600902402,1.9611999999999998,10.078000000000003,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:06:42,5032
1600902462,1.9212000000000007,9.977999999999994,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:07:42,4972
1600902522,1.8712,9.847999999999999,34000,247,480,7583ED,MNL,SGN,PAL591,0,A321,PR591,2020-09-24,06:08:42,4912
