timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1601824687,3.6912000000000003,-9.622,36975,109,461,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:18:07,5949
1601824757,3.6412000000000013,-9.482,36975,109,464,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:19:17,5879
1601824823,3.5912000000000006,-9.341999999999999,36975,109,466,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:20:23,5813
1601824886,3.5511999999999997,-9.212000000000003,36975,109,468,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:21:26,5750
1601824945,3.5012000000000008,-9.082000000000008,37000,109,470,8964F9,AUH,SGN,ETD975,64,B789,EY975,2020-10-04,22:22:25,5691
1601825001,3.4612,-8.962000000000003,37000,109,474,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:23:21,5635
1601825062,3.4212000000000007,-8.832000000000008,36975,109,477,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:24:22,5574
1601825120,3.3712,-8.712000000000003,36975,109,478,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:25:20,5516
1601825180,3.331200000000001,-8.582000000000008,37000,109,477,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:26:20,5456
1601825238,3.2912,-8.451999999999998,36975,103,473,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:27:18,5398
1601825292,3.2712000000000003,-8.332000000000008,36975,93,474,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:28:12,5344
1601825353,3.2712000000000003,-8.201999999999998,36975,93,473,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:29:13,5283
1601825418,3.2612000000000005,-8.052000000000007,37000,93,473,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:30:18,5218
1601825482,3.2512000000000008,-7.912000000000006,37000,93,473,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:31:22,5154
1601825538,3.241200000000001,-7.7819999999999965,37000,93,474,8964F9,AUH,SGN,ETD975,64,B789,EY975,2020-10-04,22:32:18,5098
1601825593,3.231200000000001,-7.662000000000006,37000,94,474,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:33:13,5043
1601825654,3.2211999999999996,-7.522000000000006,36975,95,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:34:14,4982
1601825718,3.2012,-7.382000000000005,37000,95,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:35:18,4918
1601825782,3.1912000000000003,-7.242000000000004,36975,97,471,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:36:22,4854
1601825838,3.161200000000001,-7.111999999999995,37000,109,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:37:18,4798
1601825898,3.1212,-6.992000000000004,37000,109,472,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:38:18,4738
1601825958,3.071200000000001,-6.861999999999995,36975,109,471,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:39:18,4678
1601826018,3.0312,-6.731999999999999,37000,109,469,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:40:18,4618
1601826078,2.991200000000001,-6.611999999999995,36975,108,470,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:41:18,4558
1601826137,2.9512,-6.481999999999999,37000,109,466,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:42:17,4499
1601826205,2.901200000000001,-6.341999999999999,37000,109,466,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:43:25,4431
1601826266,2.8512000000000004,-6.212000000000003,36975,109,468,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:44:26,4370
1601826326,2.8112000000000013,-6.091999999999999,37000,109,468,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:45:26,4310
1601826382,2.7712000000000003,-5.971999999999994,37000,109,468,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:46:22,4254
1601826445,2.731200000000001,-5.841999999999999,37000,109,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:47:25,4191
1601826502,2.6812000000000005,-5.721999999999994,37000,109,470,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:48:22,4134
1601826565,2.6412000000000013,-5.582000000000008,37000,109,470,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:49:25,4071
1601826626,2.5912000000000006,-5.462000000000003,37000,109,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:50:26,4010
1601826690,2.5511999999999997,-5.322000000000003,37000,109,474,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:51:30,3946
1601826750,2.5012000000000008,-5.192000000000007,36975,109,472,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:52:30,3886
1601826810,2.4612,-5.072000000000003,37000,109,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:53:30,3826
1601826874,2.411200000000001,-4.932000000000002,37000,109,473,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:54:34,3762
1601826930,2.3712,-4.811999999999998,37000,109,471,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,22:55:30,3706
1601826994,2.321200000000001,-4.682000000000002,37000,109,470,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:56:34,3642
1601827050,2.2812,-4.561999999999998,36975,109,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:57:30,3586
1601827110,2.241200000000001,-4.442000000000007,37000,109,474,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:58:30,3526
1601827170,2.1912000000000003,-4.311999999999998,37000,109,476,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,22:59:30,3466
1601827230,2.151200000000001,-4.182000000000002,36975,112,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:00:30,3406
1601827294,2.081200000000001,-4.061999999999998,37000,121,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:01:34,3342
1601827354,2.0112000000000005,-3.9420000000000073,36975,121,470,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:02:34,3282
1601827410,1.9512,-3.832000000000008,36975,121,470,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:03:30,3226
1601827469,1.8811999999999998,-3.721999999999994,36975,121,471,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:04:29,3167
1601827530,1.8112000000000013,-3.6119999999999948,37000,121,473,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:05:30,3106
1601827589,1.7512000000000008,-3.4920000000000044,36975,121,472,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:06:29,3047
1601827650,1.6812000000000005,-3.382000000000005,37000,121,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:07:30,2986
1601827714,1.6012000000000004,-3.2620000000000005,37000,121,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:08:34,2922
1601827774,1.5312000000000001,-3.141999999999996,37000,121,472,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:09:34,2862
1601827830,1.4711999999999996,-3.0420000000000016,37000,121,466,8964F9,AUH,SGN,ETD975,64,B789,EY975,2020-10-04,23:10:30,2806
1601827888,1.411200000000001,-2.932000000000002,37000,123,463,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:11:28,2748
1601827945,1.321200000000001,-2.8419999999999987,36975,136,465,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:12:25,2691
1601828010,1.2111999999999998,-2.7519999999999953,37000,144,470,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:13:30,2626
1601828073,1.0912000000000006,-2.671999999999997,37000,147,474,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:14:33,2563
1601828138,0.991200000000001,-2.5720000000000027,37000,118,460,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:15:38,2498
1601828191,0.9512,-2.471999999999994,37000,109,458,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:16:31,2445
1601828261,0.9012000000000011,-2.3220000000000027,37000,109,460,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:17:41,2375
1601828322,0.8612000000000002,-2.201999999999998,37000,109,462,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:18:42,2314
1601828381,0.821200000000001,-2.082000000000008,37000,109,464,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:19:41,2255
1601828438,0.7812000000000001,-1.9620000000000033,36975,109,466,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:20:38,2198
1601828498,0.7312000000000012,-1.8320000000000078,37000,109,469,8964F9,AUH,SGN,ETD975,-64,B789,EY975,2020-10-04,23:21:38,2138
1601828558,0.6912000000000003,-1.7120000000000033,36975,112,469,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:22:38,2078
1601828614,0.6412000000000013,-1.6020000000000039,36975,112,469,8964F9,AUH,SGN,ETD975,0,B789,EY975,2020-10-04,23:23:34,2022
1601828674,0.5912000000000006,-1.4819999999999993,36275,112,463,8964F9,AUH,SGN,ETD975,-1344,B789,EY975,2020-10-04,23:24:34,1962
1601828730,0.5511999999999997,-1.3619999999999948,34625,112,475,8964F9,AUH,SGN,ETD975,-1664,B789,EY975,2020-10-04,23:25:30,1906
1601828793,0.49120000000000097,-1.2319999999999993,33625,112,472,8964F9,AUH,SGN,ETD975,-1024,B789,EY975,2020-10-04,23:26:33,1843
1601828854,0.44120000000000026,-1.1020000000000039,32200,112,465,8964F9,AUH,SGN,ETD975,-2048,B789,EY975,2020-10-04,23:27:34,1782
1601828917,0.3912000000000013,-0.9819999999999993,30075,112,461,8964F9,AUH,SGN,ETD975,-2112,B789,EY975,2020-10-04,23:28:37,1719
1601828974,0.3512000000000004,-0.8619999999999948,28250,112,458,8964F9,AUH,SGN,ETD975,-1984,B789,EY975,2020-10-04,23:29:34,1662
1601829029,0.3011999999999997,-0.7519999999999953,26500,112,453,8964F9,AUH,SGN,ETD975,-1536,B789,EY975,2020-10-04,23:30:29,1607
1601829086,0.26120000000000054,-0.6419999999999959,24625,109,448,8964F9,AUH,SGN,ETD975,-2496,B789,EY975,2020-10-04,23:31:26,1550
1601829146,0.22119999999999962,-0.5220000000000056,22475,109,445,8964F9,AUH,SGN,ETD975,-2304,B789,EY975,2020-10-04,23:32:26,1490
1601829206,0.1512000000000011,-0.42199999999999704,20225,138,444,8964F9,AUH,SGN,ETD975,-2880,B789,EY975,2020-10-04,23:33:26,1430
1601829261,0.07120000000000104,-0.34199999999999875,18475,137,427,8964F9,AUH,SGN,ETD975,-2112,B789,EY975,2020-10-04,23:34:21,1375
1601829322,-0.018799999999998818,-0.26200000000000045,17350,137,391,8964F9,AUH,SGN,ETD975,-832,B789,EY975,2020-10-04,23:35:22,1314
1601829376,-0.0887999999999991,-0.20199999999999818,16500,137,363,8964F9,AUH,SGN,ETD975,-896,B789,EY975,2020-10-04,23:36:16,1260
1601829438,-0.15879999999999939,-0.132000000000005,15875,137,329,8964F9,AUH,SGN,ETD975,-448,B789,EY975,2020-10-04,23:37:18,1198
1601829500,-0.22879999999999967,-0.07200000000000273,15250,127,300,8964F9,AUH,SGN,ETD975,-768,B789,EY975,2020-10-04,23:38:20,1136
1601829562,-0.2687999999999988,0.007999999999995566,14525,111,293,8964F9,AUH,SGN,ETD975,-768,B789,EY975,2020-10-04,23:39:22,1074
1601829626,-0.29879999999999995,0.08799999999999386,13775,112,289,8964F9,AUH,SGN,ETD975,-768,B789,EY975,2020-10-04,23:40:26,1010
1601829686,-0.3287999999999993,0.15800000000000125,13250,111,282,8964F9,AUH,SGN,ETD975,-512,B789,EY975,2020-10-04,23:41:26,950
1601829744,-0.3287999999999993,0.23799999999999955,12750,77,268,8964F9,AUH,SGN,ETD975,-576,B789,EY975,2020-10-04,23:42:24,892
1601829805,-0.31879999999999953,0.3079999999999927,12250,74,247,8964F9,AUH,SGN,ETD975,-576,B789,EY975,2020-10-04,23:43:25,831
1601829862,-0.28880000000000017,0.367999999999995,11750,68,245,8964F9,AUH,SGN,ETD975,-512,B789,EY975,2020-10-04,23:44:22,774
1601829911,-0.2687999999999988,0.41799999999999216,11350,68,250,8964F9,AUH,SGN,ETD975,-576,B789,EY975,2020-10-04,23:45:11,725
1601829976,-0.23879999999999946,0.48799999999999955,10825,51,246,8964F9,AUH,SGN,ETD975,-576,B789,EY975,2020-10-04,23:46:16,660
1601830040,-0.16879999999999917,0.49800000000000466,9775,321,242,8964F9,AUH,SGN,ETD975,-1216,B789,EY975,2020-10-04,23:47:20,596
1601830101,-0.12880000000000003,0.4479999999999933,8725,312,238,8964F9,AUH,SGN,ETD975,-1088,B789,EY975,2020-10-04,23:48:21,535
1601830166,-0.07879999999999932,0.39799999999999613,7625,312,233,8964F9,AUH,SGN,ETD975,-1088,B789,EY975,2020-10-04,23:49:26,470
1601830221,-0.03880000000000017,0.347999999999999,6775,312,225,8964F9,AUH,SGN,ETD975,-1024,B789,EY975,2020-10-04,23:50:21,415
1601830276,0.001200000000000756,0.3079999999999927,5750,312,220,8964F9,AUH,SGN,ETD975,-1344,B789,EY975,2020-10-04,23:51:16,360
1601830341,0.0411999999999999,0.25799999999999557,4500,306,216,8964F9,AUH,SGN,ETD975,-1280,B789,EY975,2020-10-04,23:52:21,295
1601830402,0.06120000000000125,0.1979999999999933,3650,276,191,8964F9,AUH,SGN,ETD975,-640,B789,EY975,2020-10-04,23:53:22,234
1601830457,0.06120000000000125,0.15800000000000125,2925,251,177,8964F9,AUH,SGN,ETD975,-1088,B789,EY975,2020-10-04,23:54:17,179
1601830508,0.0411999999999999,0.117999999999995,2125,249,166,8964F9,AUH,SGN,ETD975,-1024,B789,EY975,2020-10-04,23:55:08,128
1601830576,0.02120000000000033,0.06799999999999784,1250,249,136,8964F9,AUH,SGN,ETD975,-768,B789,EY975,2020-10-04,23:56:16,60
1601830636,0.011200000000000543,0.0379999999999967,550,249,143,8964F9,AUH,SGN,ETD975,-768,B789,EY975,2020-10-04,23:57:16,0
