timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1602519119,11.8112,7.167999999999992,0,331,25,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:11:59,7551
1602519187,11.8412,7.147999999999996,1250,332,177,780BEF,SZX,SGN,CSZ8011,2560,B738,ZH8011,2020-10-12,23:13:07,7483
1602519246,11.891200000000001,7.117999999999995,3275,331,191,780BEF,SZX,SGN,CSZ8011,1664,B738,ZH8011,2020-10-12,23:14:06,7424
1602519304,11.941200000000002,7.087999999999994,4475,330,252,780BEF,SZX,SGN,CSZ8011,1280,B738,ZH8011,2020-10-12,23:15:04,7366
1602519367,11.9512,7.007999999999996,6725,230,285,780BEF,SZX,SGN,CSZ8011,2496,B738,ZH8011,2020-10-12,23:16:07,7303
1602519428,11.8812,6.9879999999999995,9175,185,261,780BEF,SZX,SGN,CSZ8011,2624,B738,ZH8011,2020-10-12,23:17:08,7242
1602519489,11.8112,6.977999999999994,11000,186,290,780BEF,SZX,SGN,CSZ8011,1664,B738,ZH8011,2020-10-12,23:18:09,7181
1602519551,11.711200000000002,6.9680000000000035,12025,186,342,780BEF,SZX,SGN,CSZ8011,-128,B738,ZH8011,2020-10-12,23:19:11,7119
1602519609,11.621200000000002,6.957999999999998,12000,186,357,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:20:09,7061
1602519670,11.5212,6.938000000000002,12000,186,354,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:21:10,7000
1602519729,11.421199999999999,6.927999999999997,12000,186,357,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:22:09,6941
1602519790,11.321200000000001,6.917999999999992,12000,186,360,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:23:10,6880
1602519845,11.231200000000001,6.908000000000001,12000,186,360,780BEF,SZX,SGN,CSZ8011,-64,B738,ZH8011,2020-10-12,23:24:05,6825
1602519894,11.1512,6.897999999999996,12025,178,357,780BEF,SZX,SGN,CSZ8011,448,B738,ZH8011,2020-10-12,23:24:54,6776
1602519967,11.031200000000002,6.908000000000001,14575,176,365,780BEF,SZX,SGN,CSZ8011,2240,B738,ZH8011,2020-10-12,23:26:07,6703
1602520021,10.9312,6.917999999999992,16500,176,375,780BEF,SZX,SGN,CSZ8011,2112,B738,ZH8011,2020-10-12,23:27:01,6649
1602520084,10.821200000000001,6.917999999999992,18150,176,398,780BEF,SZX,SGN,CSZ8011,1600,B738,ZH8011,2020-10-12,23:28:04,6586
1602520149,10.7012,6.938000000000002,19725,169,416,780BEF,SZX,SGN,CSZ8011,1536,B738,ZH8011,2020-10-12,23:29:09,6521
1602520212,10.581199999999999,6.917999999999992,22400,189,408,780BEF,SZX,SGN,CSZ8011,2560,B738,ZH8011,2020-10-12,23:30:12,6458
1602520267,10.481200000000001,6.908000000000001,24075,189,407,780BEF,SZX,SGN,CSZ8011,2496,B738,ZH8011,2020-10-12,23:31:07,6403
1602520327,10.3612,6.888000000000005,25500,189,416,780BEF,SZX,SGN,CSZ8011,1600,B738,ZH8011,2020-10-12,23:32:07,6343
1602520394,10.231200000000001,6.858000000000004,27175,189,419,780BEF,SZX,SGN,CSZ8011,1472,B738,ZH8011,2020-10-12,23:33:14,6276
1602520446,10.1312,6.847999999999999,28275,189,425,780BEF,SZX,SGN,CSZ8011,1280,B738,ZH8011,2020-10-12,23:34:06,6224
1602520492,10.0412,6.828000000000003,29025,189,435,780BEF,SZX,SGN,CSZ8011,1024,B738,ZH8011,2020-10-12,23:34:52,6178
1602520564,9.9012,6.798000000000002,30125,189,450,780BEF,SZX,SGN,CSZ8011,1024,B738,ZH8011,2020-10-12,23:36:04,6106
1602520622,9.781200000000002,6.778000000000006,31075,189,458,780BEF,SZX,SGN,CSZ8011,1152,B738,ZH8011,2020-10-12,23:37:02,6048
1602520681,9.6512,6.748000000000005,31950,198,468,780BEF,SZX,SGN,CSZ8011,960,B738,ZH8011,2020-10-12,23:38:01,5989
1602520742,9.5212,6.697999999999993,32000,198,480,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:39:02,5928
1602520799,9.421199999999999,6.667999999999992,32000,198,480,780BEF,SZX,SGN,CSZ8011,-64,B738,ZH8011,2020-10-12,23:39:59,5871
1602520859,9.3112,6.628,32000,198,480,780BEF,SZX,SGN,CSZ8011,-64,B738,ZH8011,2020-10-12,23:40:59,5811
1602520927,9.1512,6.567999999999998,32000,198,482,780BEF,SZX,SGN,CSZ8011,-64,B738,ZH8011,2020-10-12,23:42:07,5743
1602520987,9.051200000000001,6.528000000000006,32000,199,483,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:43:07,5683
1602521047,8.9312,6.4879999999999995,32000,199,484,780BEF,SZX,SGN,CSZ8011,-64,B738,ZH8011,2020-10-12,23:44:07,5623
1602521107,8.821200000000001,6.447999999999993,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:45:07,5563
1602521167,8.711200000000002,6.408000000000001,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:46:07,5503
1602521215,8.6312,6.378,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:46:55,5455
1602521275,8.5212,6.337999999999994,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:47:55,5395
1602521335,8.411200000000001,6.298000000000002,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:48:55,5335
1602521395,8.281200000000002,6.248000000000005,32000,199,485,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:49:55,5275
1602521467,8.621200000000002,6.367999999999995,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:51:07,5203
1602521527,8.511199999999999,6.328000000000003,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:52:07,5143
1602521587,8.4012,6.278000000000006,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:53:07,5083
1602521635,8.301200000000001,6.2379999999999995,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:53:55,5035
1602521695,8.171199999999999,6.197999999999993,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:54:55,4975
1602521767,8.0212,6.138000000000005,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:56:07,4903
1602521815,7.921199999999999,6.097999999999999,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:56:55,4855
1602521863,7.821200000000001,6.057999999999993,32000,200,484,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-12,23:57:43,4807
1602522007,6.9312000000000005,5.787999999999997,32000,209,499,780BEF,SZX,SGN,CSZ8011,0,B738,ZH8011,2020-10-13,00:00:07,4663
