timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1602892226,12.5612,6.628,0,286,11,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,06:50:26,7923
1602892282,12.5612,6.628,0,14,1,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,06:51:22,7867
1602892318,12.571200000000001,6.638000000000005,0,13,152,7805AA,CAN,SGN,CSN489,128,B77L,CZ489,2020-10-17,06:51:58,7831
1602892391,12.6312,6.647999999999996,3000,13,186,7805AA,CAN,SGN,CSN489,1920,B77L,CZ489,2020-10-17,06:53:11,7758
1602892449,12.6812,6.667999999999992,4750,14,221,7805AA,CAN,SGN,CSN489,832,B77L,CZ489,2020-10-17,06:54:09,7700
1602892511,12.7412,6.677999999999997,4850,5,223,7805AA,CAN,SGN,CSN489,-128,B77L,CZ489,2020-10-17,06:55:11,7638
1602892569,12.8112,6.608000000000004,6800,335,280,7805AA,CAN,SGN,CSN489,640,B77L,CZ489,2020-10-17,06:56:09,7580
1602892635,12.851200000000002,6.537999999999997,7775,283,297,7805AA,CAN,SGN,CSN489,1984,B77L,CZ489,2020-10-17,06:57:15,7514
1602892677,12.821200000000001,6.4680000000000035,10650,255,312,7805AA,CAN,SGN,CSN489,1280,B77L,CZ489,2020-10-17,06:57:57,7472
1602892742,12.7412,6.397999999999996,12100,185,369,7805AA,CAN,SGN,CSN489,1728,B77L,CZ489,2020-10-17,06:59:02,7407
1602892802,12.641200000000001,6.408000000000001,14525,177,392,7805AA,CAN,SGN,CSN489,2304,B77L,CZ489,2020-10-17,07:00:02,7347
1602893523,11.2212,6.878,25000,161,482,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:12:03,6626
1602893586,11.0912,6.947999999999993,25925,150,485,7805AA,CAN,SGN,CSN489,1664,B77L,CZ489,2020-10-17,07:13:06,6563
1602893642,10.981200000000001,7.018000000000001,27300,150,498,7805AA,CAN,SGN,CSN489,1408,B77L,CZ489,2020-10-17,07:14:02,6507
1602893689,10.891200000000001,7.067999999999998,28300,150,509,7805AA,CAN,SGN,CSN489,1472,B77L,CZ489,2020-10-17,07:14:49,6460
1602893762,10.731200000000001,7.138000000000005,29875,172,508,7805AA,CAN,SGN,CSN489,1152,B77L,CZ489,2020-10-17,07:16:02,6387
1602893828,10.571200000000001,7.138000000000005,31125,181,504,7805AA,CAN,SGN,CSN489,1024,B77L,CZ489,2020-10-17,07:17:08,6321
1602893876,10.461200000000002,7.138000000000005,31825,181,508,7805AA,CAN,SGN,CSN489,768,B77L,CZ489,2020-10-17,07:17:56,6273
1602893946,10.301200000000001,7.138000000000005,32000,182,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:19:06,6203
1602893997,10.1812,7.128,32000,186,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:19:57,6152
1602894057,10.0412,7.108000000000004,32000,186,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:20:57,6092
1602894116,9.9312,7.048000000000002,32000,216,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:21:56,6033
1602894176,9.8412,6.977999999999994,32000,216,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:22:56,5973
1602894236,9.711200000000002,6.9680000000000035,32000,216,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:23:56,5913
1602894296,9.581199999999999,6.947999999999993,32000,216,504,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:24:56,5853
1602894335,9.391200000000001,7.037999999999997,32000,186,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:25:35,5814
1602894408,9.2712,6.947999999999993,32000,217,503,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:26:48,5741
1602894464,9.161200000000001,6.917999999999992,32000,218,504,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:27:44,5685
1602894524,9.301200000000001,7.207999999999998,32000,126,462,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:28:44,5625
1602894584,8.891200000000001,6.888000000000005,32000,218,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:29:44,5565
1602894644,8.7512,6.867999999999995,32000,219,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:30:44,5505
1602894704,8.661200000000001,6.787999999999997,32000,219,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:31:44,5445
1602894764,8.571200000000001,6.707999999999998,32000,219,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:32:44,5385
1602894824,8.321200000000001,6.817999999999998,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:33:44,5325
1602894872,8.3412,6.828000000000003,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:34:32,5277
1602894944,8.231200000000001,6.7379999999999995,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:35:44,5205
1602895004,8.141200000000001,6.647999999999996,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:36:44,5145
1602895052,8.071200000000001,6.587999999999994,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:37:32,5097
1602895112,7.9712,6.498000000000005,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:38:32,5037
1602895172,7.8612,6.397999999999996,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:39:32,4977
1602895232,7.751200000000001,6.307999999999993,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:40:32,4917
1602895304,7.621200000000002,6.188000000000002,32000,220,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:41:44,4845
1602895352,7.531200000000002,6.117999999999995,32000,219,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:42:32,4797
1602895412,7.4312000000000005,6.028000000000006,32000,219,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:43:32,4737
1602895484,6.921199999999999,6.248000000000005,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:44:44,4665
1602895544,6.831199999999999,6.158000000000001,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:45:44,4605
1602895604,6.741199999999999,6.078000000000003,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:46:44,4545
1602895664,6.651199999999999,5.9879999999999995,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:47:44,4485
1602895724,6.5412,5.888000000000005,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:48:44,4425
1602895784,6.441200000000002,5.787999999999997,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:49:44,4365
1602895844,6.341200000000001,5.688000000000002,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:50:44,4305
1602895904,6.231200000000001,5.597999999999999,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:51:44,4245
1602895964,6.1312,5.498000000000005,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:52:44,4185
1602896024,6.0212,5.397999999999996,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:53:44,4125
1602896084,5.921199999999999,5.298000000000002,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:54:44,4065
1602896144,5.821200000000001,5.197999999999993,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:55:44,4005
1602896192,5.731200000000001,5.128,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:56:32,3957
1602896264,5.6112,5.007999999999996,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:57:44,3885
1602896312,5.5212,4.927999999999997,32000,222,505,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:58:32,3837
1602896372,5.7712,4.397999999999996,32000,218,526,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,07:59:32,3777
1602896432,5.741199999999999,4.337999999999994,32000,217,531,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:00:32,3717
1602896492,5.661200000000001,4.117999999999995,32000,216,532,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:01:32,3657
1602896564,5.5412,4.028000000000006,32000,216,532,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:02:44,3585
1602896627,5.321200000000001,3.9879999999999995,31975,203,515,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:03:47,3522
1602896678,5.211200000000002,3.9380000000000024,32000,197,517,7805AA,CAN,SGN,CSN489,128,B77L,CZ489,2020-10-17,08:04:38,3471
1602896746,5.0512,3.897999999999996,32000,195,513,7805AA,CAN,SGN,CSN489,-64,B77L,CZ489,2020-10-17,08:05:46,3403
1602896788,4.9612,3.867999999999995,32000,195,511,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:06:28,3361
1602896868,4.7912,3.798000000000002,32000,215,510,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:07:48,3281
1602896916,4.7212,3.7379999999999995,32000,219,510,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:08:36,3233
1602896977,4.5212,3.7379999999999995,32000,195,506,7805AA,CAN,SGN,CSN489,64,B77L,CZ489,2020-10-17,08:09:37,3172
1602897047,4.3712,3.6979999999999933,32000,195,499,7805AA,CAN,SGN,CSN489,0,B77L,CZ489,2020-10-17,08:10:47,3102
