timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1603370896,-9.4988,-2.671999999999997,2025,202,167,8A04DC,SIN,SGN,TMG501,640,B733,GM501,2020-10-22,19:48:16,5792
1603370956,-9.5488,-2.682000000000002,3925,170,237,8A04DC,SIN,SGN,TMG501,2304,B733,GM501,2020-10-22,19:49:16,5732
1603371012,-9.5788,-2.632000000000005,6600,66,241,8A04DC,SIN,SGN,TMG501,3136,B733,GM501,2020-10-22,19:50:12,5676
1603371085,-9.4988,-2.622,9275,354,273,8A04DC,SIN,SGN,TMG501,1152,B733,GM501,2020-10-22,19:51:25,5603
1603371134,-9.428799999999999,-2.632000000000005,10175,355,351,8A04DC,SIN,SGN,TMG501,1984,B733,GM501,2020-10-22,19:52:14,5554
1603371201,-9.3288,-2.652000000000001,11625,343,351,8A04DC,SIN,SGN,TMG501,4032,B733,GM501,2020-10-22,19:53:21,5487
1603371264,-9.2088,-2.6920000000000073,16300,341,397,8A04DC,SIN,SGN,TMG501,3264,B733,GM501,2020-10-22,19:54:24,5424
1603371328,-9.098799999999999,-2.7319999999999993,19375,341,410,8A04DC,SIN,SGN,TMG501,2240,B733,GM501,2020-10-22,19:55:28,5360
1603371386,-8.9888,-2.7420000000000044,21525,356,432,8A04DC,SIN,SGN,TMG501,2624,B733,GM501,2020-10-22,19:56:26,5302
1603371439,-8.8788,-2.7519999999999953,23500,356,444,8A04DC,SIN,SGN,TMG501,1728,B733,GM501,2020-10-22,19:57:19,5249
1603371502,-8.7488,-2.7620000000000005,25525,356,458,8A04DC,SIN,SGN,TMG501,1984,B733,GM501,2020-10-22,19:58:22,5186
1603371566,-8.608799999999999,-2.7720000000000056,27725,356,462,8A04DC,SIN,SGN,TMG501,1728,B733,GM501,2020-10-22,19:59:26,5122
1603371623,-8.4888,-2.7720000000000056,27950,356,465,8A04DC,SIN,SGN,TMG501,-64,B733,GM501,2020-10-22,20:00:23,5065
1603371682,-8.358799999999999,-2.7720000000000056,27950,8,461,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:01:22,5006
1603371742,-8.2288,-2.7519999999999953,27925,8,462,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:02:22,4946
1603371795,-8.1188,-2.7319999999999993,27925,8,461,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:03:15,4893
1603371860,-7.9788,-2.7120000000000033,27925,8,461,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:04:20,4828
1603371916,-7.8588,-2.6920000000000073,27950,8,460,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:05:16,4772
1603371974,-7.7387999999999995,-2.671999999999997,27925,8,461,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:06:14,4714
1603372022,-7.6388,-2.662000000000006,27950,8,463,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:07:02,4666
1603372084,-7.508799999999999,-2.641999999999996,27925,8,465,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:08:04,4604
1603372142,-7.3788,-2.622,27925,8,467,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:09:02,4546
1603372204,-7.248799999999999,-2.602000000000004,27950,8,469,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:10:04,4484
1603372261,-7.1288,-2.582000000000008,27950,8,471,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:11:01,4427
1603372307,-7.0287999999999995,-2.5720000000000027,27925,8,472,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:11:47,4381
1603372381,-6.868799999999999,-2.5420000000000016,27950,8,473,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-10-22,20:13:01,4307
1603372443,-6.7288,-2.5220000000000056,27925,8,473,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:14:03,4245
1603372513,-6.588799999999999,-2.5019999999999953,27925,8,472,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:15:13,4175
1603372573,-6.4788,-2.4920000000000044,27925,8,472,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:16:13,4115
1603372622,-6.338799999999999,-2.4620000000000033,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:17:02,4066
1603372685,-6.2288,-2.451999999999998,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:18:05,4003
1603372745,-6.118799999999999,-2.432000000000002,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:19:05,3943
1603372805,-6.0088,-2.421999999999997,27925,8,470,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-10-22,20:20:05,3883
