timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1603590995,-9.4688,-2.671999999999997,0,202,15,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,08:56:35,5840
1603591087,-9.4688,-2.671999999999997,0,22,52,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,08:58:07,5748
1603591213,-9.3688,-2.641999999999996,1975,349,238,76CC6F,SIN,SGN,SIA178,1856,B78X,SQ178,2020-10-25,09:00:13,5622
1603591259,-9.3188,-2.662000000000006,3750,342,266,76CC6F,SIN,SGN,SIA178,3264,B78X,SQ178,2020-10-25,09:00:59,5576
1603591338,-9.2188,-2.6920000000000073,6400,341,323,76CC6F,SIN,SGN,SIA178,1344,B78X,SQ178,2020-10-25,09:02:18,5497
1603591395,-9.1288,-2.721999999999994,8050,341,364,76CC6F,SIN,SGN,SIA178,2496,B78X,SQ178,2020-10-25,09:03:15,5440
1603591449,-9.0388,-2.7420000000000044,10075,353,381,76CC6F,SIN,SGN,SIA178,2624,B78X,SQ178,2020-10-25,09:04:09,5386
1603591510,-8.928799999999999,-2.7519999999999953,12500,356,395,76CC6F,SIN,SGN,SIA178,2880,B78X,SQ178,2020-10-25,09:05:10,5325
1603591562,-8.8288,-2.7519999999999953,14700,356,396,76CC6F,SIN,SGN,SIA178,2176,B78X,SQ178,2020-10-25,09:06:02,5273
1603591616,-8.7288,-2.7620000000000005,16375,356,413,76CC6F,SIN,SGN,SIA178,1344,B78X,SQ178,2020-10-25,09:06:56,5219
1603591690,-8.588799999999999,-2.7720000000000056,18450,356,430,76CC6F,SIN,SGN,SIA178,2240,B78X,SQ178,2020-10-25,09:08:10,5145
1603591755,-8.448799999999999,-2.7819999999999965,20150,359,445,76CC6F,SIN,SGN,SIA178,1664,B78X,SQ178,2020-10-25,09:09:15,5080
1603591821,-8.3188,-2.7620000000000005,22100,8,447,76CC6F,SIN,SGN,SIA178,1600,B78X,SQ178,2020-10-25,09:10:21,5014
1603591882,-8.1888,-2.7420000000000044,23325,8,459,76CC6F,SIN,SGN,SIA178,1088,B78X,SQ178,2020-10-25,09:11:22,4953
1603591940,-8.0688,-2.721999999999994,24525,8,467,76CC6F,SIN,SGN,SIA178,1088,B78X,SQ178,2020-10-25,09:12:20,4895
1603592001,-7.9388,-2.701999999999998,25500,8,478,76CC6F,SIN,SGN,SIA178,1408,B78X,SQ178,2020-10-25,09:13:21,4834
1603592043,-7.838799999999999,-2.6920000000000073,26225,8,483,76CC6F,SIN,SGN,SIA178,1152,B78X,SQ178,2020-10-25,09:14:03,4792
1603592119,-7.668799999999999,-2.662000000000006,27575,8,489,76CC6F,SIN,SGN,SIA178,1280,B78X,SQ178,2020-10-25,09:15:19,4716
1603592188,-7.5188,-2.641999999999996,28700,8,496,76CC6F,SIN,SGN,SIA178,1216,B78X,SQ178,2020-10-25,09:16:28,4647
1603592231,-7.418799999999999,-2.632000000000005,29600,8,497,76CC6F,SIN,SGN,SIA178,1600,B78X,SQ178,2020-10-25,09:17:11,4604
1603592307,-7.2787999999999995,-2.582000000000008,29600,19,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:18:27,4528
1603592359,-7.118799999999999,-2.582000000000008,31675,8,511,76CC6F,SIN,SGN,SIA178,1856,B78X,SQ178,2020-10-25,09:19:19,4476
1603592431,-6.948799999999999,-2.5619999999999976,33550,8,501,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:20:31,4404
1603592488,-6.8187999999999995,-2.5420000000000016,34725,8,501,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:21:28,4347
1603592535,-6.708799999999999,-2.5220000000000056,35850,8,496,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:22:15,4300
1603592601,-6.5588,-2.5019999999999953,37375,8,488,76CC6F,SIN,SGN,SIA178,1216,B78X,SQ178,2020-10-25,09:23:21,4234
1603592665,-6.418799999999999,-2.4819999999999993,37975,8,490,76CC6F,SIN,SGN,SIA178,-192,B78X,SQ178,2020-10-25,09:24:25,4170
1603592724,-6.288799999999999,-2.4620000000000033,37975,8,486,76CC6F,SIN,SGN,SIA178,-64,B78X,SQ178,2020-10-25,09:25:24,4111
1603592782,-6.158799999999999,-2.4420000000000073,37975,8,485,76CC6F,SIN,SGN,SIA178,64,B78X,SQ178,2020-10-25,09:26:22,4053
1603592843,-6.0488,-2.402000000000001,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:27:23,3992
1603592903,-5.9388,-2.352000000000004,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:28:23,3932
1603592963,-5.838799999999999,-2.3119999999999976,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:29:23,3872
1603593027,-5.618799999999999,-2.391999999999996,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:30:27,3808
1603593075,-5.538799999999999,-2.352000000000004,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:31:15,3760
1603593135,-5.4288,-2.3119999999999976,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:32:15,3700
1603593195,-5.3187999999999995,-2.2620000000000005,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:33:15,3640
1603593255,-5.208799999999999,-2.221999999999994,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:34:15,3580
1603593315,-5.088799999999999,-2.171999999999997,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:35:15,3520
1603593375,-4.958799999999999,-2.122,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:36:15,3460
1603593435,-4.828799999999999,-2.0619999999999976,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:37:15,3400
1603593495,-4.698799999999999,-2.0120000000000005,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:38:15,3340
1603593555,-4.578799999999999,-1.9620000000000033,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:39:15,3280
1603593615,-4.448799999999999,-1.9120000000000061,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:40:15,3220
1603593675,-4.3187999999999995,-1.8619999999999948,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:41:15,3160
1603593735,-4.1888,-1.8020000000000067,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:42:15,3100
1603593807,-4.038799999999999,-1.7420000000000044,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:43:27,3028
1603593855,-3.9387999999999996,-1.7019999999999982,38000,23,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:44:15,2980
1603593915,-3.8087999999999997,-1.641999999999996,38000,23,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:45:15,2920
1603593987,-3.6587999999999994,-1.5820000000000078,38000,23,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:46:27,2848
