timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1604500905,13.7712,11.537999999999997,3225,53,135,780C7F,XMN,SGN,CXA8685,2496,B788,MF8685,2020-11-04,21:41:45,8900
1604500917,13.7712,11.537999999999997,3225,53,135,780C7F,XMN,SGN,CXA8685,2496,B788,MF8685,2020-11-04,21:41:57,8888
1604501025,13.7212,11.608000000000004,7850,178,224,780C7F,XMN,SGN,CXA8685,2496,B788,MF8685,2020-11-04,21:43:45,8780
1604501068,13.6812,11.537999999999997,9850,233,295,780C7F,XMN,SGN,CXA8685,3072,B788,MF8685,2020-11-04,21:44:28,8737
1604501124,13.641200000000001,11.468000000000004,11400,232,349,780C7F,XMN,SGN,CXA8685,1472,B788,MF8685,2020-11-04,21:45:24,8681
1604501193,13.5612,11.367999999999995,13725,231,371,780C7F,XMN,SGN,CXA8685,960,B788,MF8685,2020-11-04,21:46:33,8612
1604501255,13.5012,11.278000000000006,14675,234,374,780C7F,XMN,SGN,CXA8685,3520,B788,MF8685,2020-11-04,21:47:35,8550
1604501319,13.421199999999999,11.188000000000002,17725,224,390,780C7F,XMN,SGN,CXA8685,2752,B788,MF8685,2020-11-04,21:48:39,8486
1604501372,13.351200000000002,11.108000000000004,19850,224,408,780C7F,XMN,SGN,CXA8685,2688,B788,MF8685,2020-11-04,21:49:32,8433
1604501434,13.2712,11.018,22250,224,425,780C7F,XMN,SGN,CXA8685,2304,B788,MF8685,2020-11-04,21:50:34,8371
1604501491,13.191200000000002,10.927999999999997,23600,224,432,780C7F,XMN,SGN,CXA8685,192,B788,MF8685,2020-11-04,21:51:31,8314
1604501558,13.0912,10.828000000000003,23575,224,430,780C7F,XMN,SGN,CXA8685,-64,B788,MF8685,2020-11-04,21:52:38,8247
1604501614,13.0212,10.738,23575,241,428,780C7F,XMN,SGN,CXA8685,0,B788,MF8685,2020-11-04,21:53:34,8191
1604501673,12.981200000000001,10.617999999999995,23600,252,426,780C7F,XMN,SGN,CXA8685,0,B788,MF8685,2020-11-04,21:54:33,8132
1604501724,12.9512,10.507999999999996,23600,253,425,780C7F,XMN,SGN,CXA8685,-64,B788,MF8685,2020-11-04,21:55:24,8081
1604501793,12.921199999999999,10.378,23600,254,425,780C7F,XMN,SGN,CXA8685,-64,B788,MF8685,2020-11-04,21:56:33,8012
