timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1606626138,-3.4787999999999997,-14.251999999999995,40225,78,442,770593,CMB,SGN,ALK324,-448,A332,UL324,2020-11-29,12:02:18,8197
1606626198,-3.4487999999999994,-14.152000000000001,40225,78,442,770593,CMB,SGN,ALK324,-448,A332,UL324,2020-11-29,12:03:18,8137
1606626261,-3.4288,-13.992000000000004,39050,81,450,770593,CMB,SGN,ALK324,-320,A332,UL324,2020-11-29,12:04:21,8074
1606626326,-3.4087999999999994,-13.882000000000005,39025,82,449,770593,CMB,SGN,ALK324,-192,A332,UL324,2020-11-29,12:05:26,8009
1606626371,-3.4387999999999996,-13.762,39000,94,455,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:06:11,7964
1606626437,-3.4487999999999994,-13.622,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:07:17,7898
1606626502,-3.458799999999999,-13.482,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:08:22,7833
1606626558,-3.458799999999999,-13.382000000000005,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:09:18,7777
1606626618,-3.4688,-13.281999999999996,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:10:18,7717
1606626678,-3.4787999999999997,-13.171999999999997,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:11:18,7657
1606626738,-3.4887999999999995,-13.061999999999998,39000,94,450,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:12:18,7597
1606626794,-3.418799999999999,-12.891999999999996,39000,73,448,770593,CMB,SGN,ALK324,0,A332,UL324,2020-11-29,12:13:14,7541
1606626840,-3.3888,-12.792000000000002,39000,70,448,770593,CMB,SGN,ALK324,64,A332,UL324,2020-11-29,12:14:00,7495
