timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1607777656,-8.0388,-4.981999999999999,2350,312,210,750400000.0,KUL,SGN,NEP264,1344,,9MNET,2020-12-12,19:54:16,5839
1607777724,-7.9887999999999995,-5.042000000000002,4650,315,243,750400000.0,KUL,SGN,NEP264,2432,,9MNET,2020-12-12,19:55:24,5771
1607777788,-7.928799999999999,-5.042000000000002,6775,46,282,750400000.0,KUL,SGN,NEP264,1216,,9MNET,2020-12-12,19:56:28,5707
1607777852,-7.868799999999999,-4.981999999999999,9325,44,284,750400000.0,KUL,SGN,NEP264,2304,,9MNET,2020-12-12,19:57:32,5643
1607777903,-7.8187999999999995,-4.932000000000002,10600,42,312,750400000.0,KUL,SGN,NEP264,1280,,9MNET,2020-12-12,19:58:23,5592
1607777966,-7.748799999999999,-4.872,11700,44,364,750400000.0,KUL,SGN,NEP264,1856,,9MNET,2020-12-12,19:59:26,5529
1607778024,-7.668799999999999,-4.792000000000002,13400,44,386,750400000.0,KUL,SGN,NEP264,2112,,9MNET,2020-12-12,20:00:24,5471
1607778095,-7.588799999999999,-4.712000000000003,16675,43,378,750400000.0,KUL,SGN,NEP264,1664,,9MNET,2020-12-12,20:01:35,5400
1607778158,-7.4887999999999995,-4.641999999999996,18325,28,401,750400000.0,KUL,SGN,NEP264,2240,,9MNET,2020-12-12,20:02:38,5337
1607778225,-7.3788,-4.582000000000008,20250,28,412,750400000.0,KUL,SGN,NEP264,1408,,9MNET,2020-12-12,20:03:45,5270
1607778282,-7.2787999999999995,-4.5319999999999965,21450,28,430,750400000.0,KUL,SGN,NEP264,1344,,9MNET,2020-12-12,20:04:42,5213
1607778337,-7.178799999999999,-4.481999999999999,23050,28,431,750400000.0,KUL,SGN,NEP264,1600,,9MNET,2020-12-12,20:05:37,5158
1607778405,-7.0588,-4.412000000000006,24475,28,442,750400000.0,KUL,SGN,NEP264,768,,9MNET,2020-12-12,20:06:45,5090
1607778459,-6.9688,-4.361999999999995,26850,27,412,750400000.0,KUL,SGN,NEP264,2880,,9MNET,2020-12-12,20:07:39,5036
1607778520,-6.8588,-4.311999999999998,27950,28,422,750400000.0,KUL,SGN,NEP264,640,,9MNET,2020-12-12,20:08:40,4975
1607778583,-6.748799999999999,-4.251999999999995,28700,28,437,750400000.0,KUL,SGN,NEP264,896,,9MNET,2020-12-12,20:09:43,4912
1607778642,-6.6388,-4.192000000000007,29000,28,443,750400000.0,KUL,SGN,NEP264,0,,9MNET,2020-12-12,20:10:42,4853
1607778698,-6.538799999999999,-4.141999999999996,29000,28,441,750400000.0,KUL,SGN,NEP264,0,,9MNET,2020-12-12,20:11:38,4797
1607778755,-6.4388,-4.082000000000008,29000,27,437,750400000.0,KUL,SGN,NEP264,64,,9MNET,2020-12-12,20:12:35,4740
1607778816,-6.328799999999999,-4.0319999999999965,28975,29,427,750400000.0,KUL,SGN,NEP264,64,,9MNET,2020-12-12,20:13:36,4679
1607778874,-6.2288,-3.971999999999994,28975,29,410,750400000.0,KUL,SGN,NEP264,0,,9MNET,2020-12-12,20:14:34,4621
1607778936,-6.128799999999999,-3.921999999999997,28975,27,395,750400000.0,KUL,SGN,NEP264,64,,9MNET,2020-12-12,20:15:36,4559
1607779006,-6.0188,-3.8619999999999948,29000,28,396,750400000.0,KUL,SGN,NEP264,0,,9MNET,2020-12-12,20:16:46,4489
1607779062,-5.9288,-3.8020000000000067,29000,27,399,750400000.0,KUL,SGN,NEP264,0,,9MNET,2020-12-12,20:17:42,4433
