timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1609007800,-8.008799999999999,-5.0120000000000005,3075,308,269,4BB14F,KUL,SGN,THY6470,3200,B77L,TK6470,2020-12-27,01:36:40,5233
1609007861,-7.9588,-5.072000000000003,6175,346,286,4BB14F,KUL,SGN,THY6470,2880,B77L,TK6470,2020-12-27,01:37:41,5172
1609007921,-7.8888,-5.022000000000006,9125,48,294,4BB14F,KUL,SGN,THY6470,1728,B77L,TK6470,2020-12-27,01:38:41,5112
1609007984,-7.828799999999999,-4.951999999999998,11125,49,343,4BB14F,KUL,SGN,THY6470,1472,B77L,TK6470,2020-12-27,01:39:44,5049
1609008049,-7.758799999999999,-4.872,14350,49,379,4BB14F,KUL,SGN,THY6470,3392,B77L,TK6470,2020-12-27,01:40:49,4984
1609008089,-7.7188,-4.822000000000003,16500,49,387,4BB14F,KUL,SGN,THY6470,1408,B77L,TK6470,2020-12-27,01:41:29,4944
1609008161,-7.6288,-4.712000000000003,18550,49,433,4BB14F,KUL,SGN,THY6470,1216,B77L,TK6470,2020-12-27,01:42:41,4872
1609008226,-7.5287999999999995,-4.632000000000005,22300,27,419,4BB14F,KUL,SGN,THY6470,3520,B77L,TK6470,2020-12-27,01:43:46,4807
1609008275,-7.448799999999999,-4.582000000000008,24675,29,420,4BB14F,KUL,SGN,THY6470,1472,B77L,TK6470,2020-12-27,01:44:35,4758
1609008333,-7.348799999999999,-4.5319999999999965,26925,27,432,4BB14F,KUL,SGN,THY6470,2048,B77L,TK6470,2020-12-27,01:45:33,4700
1609008382,-7.258799999999999,-4.481999999999999,28350,26,450,4BB14F,KUL,SGN,THY6470,2432,B77L,TK6470,2020-12-27,01:46:22,4651
1609008458,-7.1088,-4.412000000000006,31075,27,460,4BB14F,KUL,SGN,THY6470,2176,B77L,TK6470,2020-12-27,01:47:38,4575
1609008515,-6.998799999999999,-4.352000000000004,32450,27,479,4BB14F,KUL,SGN,THY6470,384,B77L,TK6470,2020-12-27,01:48:35,4518
1609008580,-6.868799999999999,-4.292000000000002,34100,27,494,4BB14F,KUL,SGN,THY6470,1920,B77L,TK6470,2020-12-27,01:49:40,4453
1609008625,-6.7787999999999995,-4.242000000000004,35450,27,494,4BB14F,KUL,SGN,THY6470,1536,B77L,TK6470,2020-12-27,01:50:25,4408
1609008706,-6.6088,-4.152000000000001,36950,27,491,4BB14F,KUL,SGN,THY6470,704,B77L,TK6470,2020-12-27,01:51:46,4327
1609008765,-6.498799999999999,-4.091999999999999,37000,27,481,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:52:45,4268
1609008808,-6.408799999999999,-4.052000000000007,37000,27,481,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:53:28,4225
1609008877,-6.2688,-3.9819999999999993,37000,27,483,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:54:37,4156
1609008925,-6.168799999999999,-3.932000000000002,37000,27,485,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:55:25,4108
1609008996,-6.0287999999999995,-3.8619999999999948,37000,27,486,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:56:36,4037
1609009062,-5.8988,-3.7920000000000016,37000,26,483,4BB14F,KUL,SGN,THY6470,-64,B77L,TK6470,2020-12-27,01:57:42,3971
1609009124,-5.7787999999999995,-3.7319999999999993,37000,26,480,4BB14F,KUL,SGN,THY6470,-64,B77L,TK6470,2020-12-27,01:58:44,3909
1609009179,-5.6788,-3.662000000000006,37000,45,470,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,01:59:39,3854
1609009235,-5.588799999999999,-3.5720000000000027,37000,46,468,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:00:35,3798
1609009299,-5.5088,-3.4920000000000044,37000,46,468,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:01:39,3734
1609009359,-5.4288,-3.412000000000006,37000,46,468,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:02:39,3674
1609009419,-5.3588,-3.332000000000008,37000,46,468,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:03:39,3614
1609009491,-5.2688,-3.2319999999999993,37000,46,468,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:04:51,3542
1609009543,-4.958799999999999,-3.352000000000004,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:05:43,3490
1609009615,-4.828799999999999,-3.3119999999999976,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:06:55,3418
1609009675,-4.708799999999999,-3.2819999999999965,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:07:55,3358
1609009735,-4.5988,-3.2519999999999953,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:08:55,3298
1609009795,-4.4887999999999995,-3.221999999999994,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:09:55,3238
1609009855,-4.3588,-3.1920000000000073,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:10:55,3178
1609009915,-4.2288,-3.152000000000001,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:11:55,3118
1609009975,-4.0988,-3.122,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:12:55,3058
1609010035,-3.9688,-3.082000000000008,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:13:55,2998
1609010095,-3.838799999999999,-3.0520000000000067,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:14:55,2938
1609010107,-3.8187999999999995,-3.0420000000000016,37000,15,488,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:15:07,2926
1609010455,-3.2988,-2.3419999999999987,37000,35,480,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:20:55,2578
1609010522,-3.168799999999999,-2.2620000000000005,37000,35,481,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:22:02,2511
1609010585,-3.0587999999999997,-2.182000000000002,37000,35,479,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:23:05,2448
1609010643,-2.958799999999999,-2.102000000000004,37000,35,477,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:24:03,2390
1609010710,-2.8287999999999993,-2.0220000000000056,37000,35,477,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:25:10,2323
1609010768,-2.7287999999999997,-1.9420000000000073,37000,35,477,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:26:08,2265
1609010827,-2.6188000000000002,-1.8619999999999948,37000,35,476,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:27:07,2206
1609010884,-2.518799999999999,-1.7920000000000016,37000,35,476,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:28:04,2149
1609010949,-2.3987999999999996,-1.7120000000000033,37000,35,475,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:29:09,2084
1609011006,-2.2988,-1.641999999999996,37000,35,474,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:30:06,2027
1609011072,-2.178799999999999,-1.5520000000000067,37000,34,476,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:31:12,1961
1609011134,-2.0687999999999995,-1.4719999999999942,37000,35,478,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:32:14,1899
1609011193,-1.9588,-1.402000000000001,37000,35,478,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:33:13,1840
1609011240,-1.8688000000000002,-1.3419999999999987,37000,34,479,4BB14F,KUL,SGN,THY6470,0,B77L,TK6470,2020-12-27,02:34:00,1793
1609011306,-1.7487999999999992,-1.2519999999999953,36775,35,477,4BB14F,KUL,SGN,THY6470,-1216,B77L,TK6470,2020-12-27,02:35:06,1727
1609011359,-1.6587999999999994,-1.1820000000000022,35500,35,477,4BB14F,KUL,SGN,THY6470,-1472,B77L,TK6470,2020-12-27,02:35:59,1674
1609011424,-1.5388000000000002,-1.1020000000000039,33900,35,479,4BB14F,KUL,SGN,THY6470,-1472,B77L,TK6470,2020-12-27,02:37:04,1609
