timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1609233882,-8.0488,-4.971999999999994,1750,325,201,750254,KUL,SGN,MAS766,960,A333,MH766,2020-12-29,16:24:42,5750
1609233939,-8.008799999999999,-5.022000000000006,3625,309,271,750254,KUL,SGN,MAS766,3712,A333,MH766,2020-12-29,16:25:39,5693
1609234004,-7.948799999999999,-5.082000000000008,7550,319,279,750254,KUL,SGN,MAS766,3456,A333,MH766,2020-12-29,16:26:44,5628
1609234068,-7.8788,-5.132000000000005,10700,319,301,750254,KUL,SGN,MAS766,2624,A333,MH766,2020-12-29,16:27:48,5564
1609234114,-7.828799999999999,-5.182000000000002,12575,319,329,750254,KUL,SGN,MAS766,3072,A333,MH766,2020-12-29,16:28:34,5518
1609234181,-7.7387999999999995,-5.231999999999999,15325,334,352,750254,KUL,SGN,MAS766,2368,A333,MH766,2020-12-29,16:29:41,5451
1609234233,-7.658799999999999,-5.2620000000000005,17425,355,360,750254,KUL,SGN,MAS766,1664,A333,MH766,2020-12-29,16:30:33,5399
1609234312,-7.5287999999999995,-5.242000000000004,20500,23,371,750254,KUL,SGN,MAS766,2240,A333,MH766,2020-12-29,16:31:52,5320
1609234374,-7.428799999999999,-5.192000000000007,23025,23,369,750254,KUL,SGN,MAS766,2048,A333,MH766,2020-12-29,16:32:54,5258
1609234428,-7.338799999999999,-5.152000000000001,23975,31,400,750254,KUL,SGN,MAS766,832,A333,MH766,2020-12-29,16:33:48,5204
1609234481,-7.248799999999999,-5.102000000000004,24625,31,434,750254,KUL,SGN,MAS766,704,A333,MH766,2020-12-29,16:34:41,5151
1609234556,-7.118799999999999,-5.022000000000006,26325,31,451,750254,KUL,SGN,MAS766,1536,A333,MH766,2020-12-29,16:35:56,5076
1609234615,-7.008799999999999,-4.951999999999998,27600,31,459,750254,KUL,SGN,MAS766,1280,A333,MH766,2020-12-29,16:36:55,5017
1609234676,-6.8988,-4.891999999999996,28775,31,469,750254,KUL,SGN,MAS766,1152,A333,MH766,2020-12-29,16:37:56,4956
1609234737,-6.788799999999999,-4.822000000000003,30475,31,466,750254,KUL,SGN,MAS766,3008,A333,MH766,2020-12-29,16:38:57,4895
1609234787,-6.6888,-4.7620000000000005,31575,31,469,750254,KUL,SGN,MAS766,1024,A333,MH766,2020-12-29,16:39:47,4845
1609234865,-6.5488,-4.671999999999997,33300,31,471,750254,KUL,SGN,MAS766,1472,A333,MH766,2020-12-29,16:41:05,4767
1609234929,-6.4288,-4.602000000000004,34825,31,468,750254,KUL,SGN,MAS766,1344,A333,MH766,2020-12-29,16:42:09,4703
1609234979,-6.338799999999999,-4.552000000000007,35000,31,470,750254,KUL,SGN,MAS766,0,A333,MH766,2020-12-29,16:42:59,4653
1609235047,-6.208799999999999,-4.471999999999994,35000,31,469,750254,KUL,SGN,MAS766,0,A333,MH766,2020-12-29,16:44:07,4585
1609235105,-6.0988,-4.402000000000001,35100,31,469,750254,KUL,SGN,MAS766,896,A333,MH766,2020-12-29,16:45:05,4527
1609235154,-6.0088,-4.352000000000004,35950,31,475,750254,KUL,SGN,MAS766,832,A333,MH766,2020-12-29,16:45:54,4478
1609235216,-5.8888,-4.2819999999999965,36875,31,480,750254,KUL,SGN,MAS766,1024,A333,MH766,2020-12-29,16:46:56,4416
1609235272,-5.7787999999999995,-4.212000000000003,38200,31,471,750254,KUL,SGN,MAS766,1408,A333,MH766,2020-12-29,16:47:52,4360
1609235330,-5.6788,-4.152000000000001,39650,31,459,750254,KUL,SGN,MAS766,1408,A333,MH766,2020-12-29,16:48:50,4302
1609235395,-5.5588,-4.082000000000008,40950,31,450,750254,KUL,SGN,MAS766,576,A333,MH766,2020-12-29,16:49:55,4237
1609235458,-5.4388,-4.0120000000000005,41000,31,450,750254,KUL,SGN,MAS766,0,A333,MH766,2020-12-29,16:50:58,4174
1609235508,-5.3588,-3.9620000000000033,41000,31,452,750254,KUL,SGN,MAS766,0,A333,MH766,2020-12-29,16:51:48,4124
1609235580,-5.2288,-3.882000000000005,41000,31,453,750254,KUL,SGN,MAS766,0,A333,MH766,2020-12-29,16:53:00,4052
