timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1609323037,-5.868799999999999,8.278000000000006,0,87,1,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:10:37,7430
1609323095,-5.868799999999999,8.278000000000006,0,95,3,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:11:35,7372
1609323156,-5.868799999999999,8.278000000000006,0,50,4,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:12:36,7311
1609323215,-5.868799999999999,8.278000000000006,0,295,0,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:13:35,7252
1609323275,-5.868799999999999,8.278000000000006,0,114,0,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:14:35,7192
1609323331,-5.868799999999999,8.278000000000006,0,30,1,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:15:31,7136
1609323392,-5.868799999999999,8.278000000000006,0,30,11,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:16:32,7075
1609323451,-5.868799999999999,8.278000000000006,0,30,7,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:17:31,7016
1609323506,-5.868799999999999,8.278000000000006,0,30,9,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:18:26,6961
1609323563,-5.868799999999999,8.287999999999997,0,30,11,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:19:23,6904
1609323628,-5.8588,8.287999999999997,0,30,8,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:20:28,6839
1609323689,-5.8588,8.287999999999997,0,289,9,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:21:29,6778
1609323741,-5.868799999999999,8.278000000000006,0,210,92,89505B,BWN,SGN,RBA383,0,B788,BI383,2020-12-30,17:22:21,6726
1609323801,-5.8988,8.268,400,210,150,89505B,BWN,SGN,RBA383,1984,B788,BI383,2020-12-30,17:23:21,6666
1609323873,-5.9288,8.207999999999998,3250,256,226,89505B,BWN,SGN,RBA383,2176,B788,BI383,2020-12-30,17:24:33,6594
1609323932,-5.868799999999999,8.138000000000005,7575,305,287,89505B,BWN,SGN,RBA383,3200,B788,BI383,2020-12-30,17:25:32,6535
1609323986,-5.828799999999999,8.078000000000003,10350,306,304,89505B,BWN,SGN,RBA383,2432,B788,BI383,2020-12-30,17:26:26,6481
1609324048,-5.7688,7.998000000000005,12225,305,362,89505B,BWN,SGN,RBA383,2944,B788,BI383,2020-12-30,17:27:28,6419
1609324108,-5.708799999999999,7.917999999999992,14900,305,376,89505B,BWN,SGN,RBA383,2880,B788,BI383,2020-12-30,17:28:28,6359
1609324157,-5.658799999999999,7.837999999999994,16875,305,392,89505B,BWN,SGN,RBA383,2368,B788,BI383,2020-12-30,17:29:17,6310
1609324226,-5.588799999999999,7.7379999999999995,19450,305,412,89505B,BWN,SGN,RBA383,2496,B788,BI383,2020-12-30,17:30:26,6241
1609324282,-5.5188,7.647999999999996,21400,306,425,89505B,BWN,SGN,RBA383,2304,B788,BI383,2020-12-30,17:31:22,6185
1609324352,-5.4388,7.537999999999997,23850,305,434,89505B,BWN,SGN,RBA383,2240,B788,BI383,2020-12-30,17:32:32,6115
1609324411,-5.368799999999999,7.438000000000002,25550,305,445,89505B,BWN,SGN,RBA383,1856,B788,BI383,2020-12-30,17:33:31,6056
1609324467,-5.2988,7.347999999999999,27175,305,455,89505B,BWN,SGN,RBA383,1984,B788,BI383,2020-12-30,17:34:27,6000
1609324532,-5.2188,7.227999999999994,29025,306,466,89505B,BWN,SGN,RBA383,1792,B788,BI383,2020-12-30,17:35:32,5935
1609324592,-5.1388,7.128,30650,305,475,89505B,BWN,SGN,RBA383,1728,B788,BI383,2020-12-30,17:36:32,5875
1609324652,-5.0687999999999995,7.018000000000001,32525,305,477,89505B,BWN,SGN,RBA383,2624,B788,BI383,2020-12-30,17:37:32,5815
1609324710,-4.9887999999999995,6.908000000000001,34500,305,473,89505B,BWN,SGN,RBA383,2048,B788,BI383,2020-12-30,17:38:30,5757
1609324770,-4.908799999999999,6.807999999999993,36375,305,471,89505B,BWN,SGN,RBA383,1856,B788,BI383,2020-12-30,17:39:30,5697
1609324840,-4.8187999999999995,6.677999999999997,38000,306,480,89505B,BWN,SGN,RBA383,192,B788,BI383,2020-12-30,17:40:40,5627
