timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1609657251,-0.6587999999999994,-2.652000000000001,0,89,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:00:51,3765
1609657318,-0.6587999999999994,-2.652000000000001,0,337,11,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:01:58,3698
1609657379,-0.6487999999999996,-2.652000000000001,0,8,12,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:02:59,3637
1609657444,-0.6487999999999996,-2.662000000000006,0,278,17,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:04:04,3572
1609657499,-0.6487999999999996,-2.662000000000006,0,275,24,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:04:59,3517
1609657555,-0.6487999999999996,-2.671999999999997,0,275,15,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:05:55,3461
1609657618,-0.6487999999999996,-2.671999999999997,0,275,7,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:06:58,3398
1609657684,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:08:04,3332
1609657745,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:09:05,3271
1609657790,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:09:50,3226
1609657844,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:10:44,3172
1609657924,-0.6487999999999996,-2.671999999999997,0,275,8,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:12:04,3092
1609657982,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:13:02,3034
1609658033,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:13:53,2983
1609658103,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:15:03,2913
1609658152,-0.6487999999999996,-2.671999999999997,0,89,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:15:52,2864
1609658221,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:17:01,2795
1609658277,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:17:57,2739
1609658342,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:19:02,2674
1609658409,-0.6487999999999996,-2.671999999999997,0,180,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:20:09,2607
1609658476,-0.6487999999999996,-2.671999999999997,0,50,9,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:21:16,2540
1609658518,-0.6487999999999996,-2.671999999999997,0,283,0,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:21:58,2498
1609658580,-0.6487999999999996,-2.662000000000006,125,96,132,88819B,PQC,SGN,VNA299,-704,E35L,VNA299,2021-01-03,14:23:00,2436
1609658648,-0.6487999999999996,-2.6119999999999948,2925,94,210,88819B,PQC,SGN,VNA299,2816,E35L,VNA299,2021-01-03,14:24:08,2368
1609658706,-0.6587999999999994,-2.5420000000000016,5650,95,254,88819B,PQC,SGN,VNA299,1728,E35L,VNA299,2021-01-03,14:25:06,2310
1609658764,-0.6687999999999992,-2.471999999999994,8700,75,262,88819B,PQC,SGN,VNA299,3136,E35L,VNA299,2021-01-03,14:26:04,2252
1609658821,-0.6288,-2.412000000000006,11000,59,295,88819B,PQC,SGN,VNA299,2048,E35L,VNA299,2021-01-03,14:27:01,2195
1609658883,-0.5787999999999993,-2.332000000000008,13100,58,323,88819B,PQC,SGN,VNA299,2048,E35L,VNA299,2021-01-03,14:28:03,2133
1609658942,-0.5388000000000002,-2.2519999999999953,15325,57,332,88819B,PQC,SGN,VNA299,2560,E35L,VNA299,2021-01-03,14:29:02,2074
1609659005,-0.48879999999999946,-2.162000000000006,17775,67,330,88819B,PQC,SGN,VNA299,2048,E35L,VNA299,2021-01-03,14:30:05,2011
1609659067,-0.4588000000000001,-2.0720000000000027,19750,67,341,88819B,PQC,SGN,VNA299,1920,E35L,VNA299,2021-01-03,14:31:07,1949
1609659122,-0.4187999999999992,-1.9920000000000044,20975,72,364,88819B,PQC,SGN,VNA299,256,E35L,VNA299,2021-01-03,14:32:02,1894
1609659181,-0.4087999999999994,-1.891999999999996,21000,84,394,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:33:01,1835
1609659234,-0.3987999999999996,-1.7920000000000016,21000,84,387,88819B,PQC,SGN,VNA299,64,E35L,VNA299,2021-01-03,14:33:54,1782
1609659294,-0.3887999999999998,-1.6820000000000022,21000,84,382,88819B,PQC,SGN,VNA299,-192,E35L,VNA299,2021-01-03,14:34:54,1722
1609659356,-0.3788,-1.5720000000000027,21000,84,379,88819B,PQC,SGN,VNA299,-128,E35L,VNA299,2021-01-03,14:35:56,1660
1609659414,-0.36880000000000024,-1.4719999999999942,21000,84,386,88819B,PQC,SGN,VNA299,-64,E35L,VNA299,2021-01-03,14:36:54,1602
1609659474,-0.3587999999999987,-1.3619999999999948,21000,83,394,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:37:54,1542
1609659536,-0.3487999999999989,-1.2420000000000044,21000,84,399,88819B,PQC,SGN,VNA299,0,E35L,VNA299,2021-01-03,14:38:56,1480
1609659595,-0.3387999999999991,-1.132000000000005,21000,84,400,88819B,PQC,SGN,VNA299,-64,E35L,VNA299,2021-01-03,14:39:55,1421
1609659655,-0.3287999999999993,-1.0220000000000056,21000,84,401,88819B,PQC,SGN,VNA299,-64,E35L,VNA299,2021-01-03,14:40:55,1361
1609659712,-0.31879999999999953,-0.9120000000000061,21000,84,403,88819B,PQC,SGN,VNA299,64,E35L,VNA299,2021-01-03,14:41:52,1304
1609659772,-0.30879999999999974,-0.8020000000000067,21000,84,405,88819B,PQC,SGN,VNA299,-64,E35L,VNA299,2021-01-03,14:42:52,1244
1609659835,-0.28880000000000017,-0.6820000000000022,20575,84,405,88819B,PQC,SGN,VNA299,-704,E35L,VNA299,2021-01-03,14:43:55,1181
1609659892,-0.2788000000000004,-0.5720000000000027,20100,84,400,88819B,PQC,SGN,VNA299,-512,E35L,VNA299,2021-01-03,14:44:52,1124
1609659952,-0.2687999999999988,-0.4620000000000033,19525,84,387,88819B,PQC,SGN,VNA299,-1344,E35L,VNA299,2021-01-03,14:45:52,1064
1609660008,-0.25879999999999903,-0.36199999999999477,17725,84,378,88819B,PQC,SGN,VNA299,-1920,E35L,VNA299,2021-01-03,14:46:48,1008
