timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1610779447,-7.6888,-5.091999999999999,0,271,1,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:44:07,6284
1610779513,-7.6888,-5.091999999999999,0,241,19,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:45:13,6218
1610779566,-7.698799999999999,-5.091999999999999,0,239,13,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:46:06,6165
1610779630,-7.6888,-5.102000000000004,0,329,26,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:47:10,6101
1610779749,-7.678799999999999,-5.102000000000004,0,329,26,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:49:09,5982
1610779768,-7.678799999999999,-5.102000000000004,0,329,27,7503F3,SZB,SGN,RMY4163,0,B762,TH4163,2021-01-16,13:49:28,5963
1610779920,-7.6888,-5.102000000000004,450,149,154,7503F3,SZB,SGN,RMY4163,1728,B762,TH4163,2021-01-16,13:52:00,5811
1610779981,-7.7288,-5.072000000000003,2875,102,201,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163,2021-01-16,13:53:01,5750
1610780043,-7.698799999999999,-5.0120000000000005,6375,56,242,7503F3,SZB,SGN,RMY4163,3904,B762,TH4163,2021-01-16,13:54:03,5688
1610780099,-7.658799999999999,-4.951999999999998,9275,56,285,7503F3,SZB,SGN,RMY4163,2368,B762,TH4163,2021-01-16,13:54:59,5632
1610780158,-7.598799999999999,-4.891999999999996,11700,38,345,7503F3,SZB,SGN,RMY4163,2944,B762,TH4163,2021-01-16,13:55:58,5573
1610780218,-7.5188,-4.832000000000008,15050,32,362,7503F3,SZB,SGN,RMY4163,3264,B762,TH4163,2021-01-16,13:56:58,5513
1610780271,-7.4388,-4.792000000000002,17800,32,375,7503F3,SZB,SGN,RMY4163,3136,B762,TH4163,2021-01-16,13:57:51,5460
1610780328,-7.3588,-4.731999999999999,20675,32,381,7503F3,SZB,SGN,RMY4163,2944,B762,TH4163,2021-01-16,13:58:48,5403
1610780391,-7.258799999999999,-4.671999999999997,23400,33,391,7503F3,SZB,SGN,RMY4163,2560,B762,TH4163,2021-01-16,13:59:51,5340
1610780452,-7.168799999999999,-4.611999999999995,25650,33,407,7503F3,SZB,SGN,RMY4163,2176,B762,TH4163,2021-01-16,14:00:52,5279
1610780509,-7.078799999999999,-4.552000000000007,27525,33,421,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163,2021-01-16,14:01:49,5222
1610780571,-6.9788,-4.481999999999999,29600,33,432,7503F3,SZB,SGN,RMY4163,2112,B762,TH4163,2021-01-16,14:02:51,5160
