timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1611110391,14.2712,14.587999999999994,0,227,10,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:39:51,10931
1611110528,14.261199999999999,14.578000000000003,0,227,17,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:42:08,10794
1611110535,14.261199999999999,14.578000000000003,0,230,18,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:42:15,10787
1611110696,14.2512,14.567999999999998,0,230,8,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:44:56,10626
1611110759,14.2512,14.567999999999998,0,36,4,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:45:59,10563
1611110824,14.2512,14.567999999999998,0,47,17,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,09:47:04,10498
1611110957,14.3112,14.638000000000005,2625,44,178,899113,TPE,SGN,CAL6879,2944,B744,CI6879,2021-01-20,09:49:17,10365
1611111022,14.3612,14.617999999999995,4500,303,236,899113,TPE,SGN,CAL6879,1664,B744,CI6879,2021-01-20,09:50:22,10300
1611111074,14.4012,14.567999999999998,6325,310,282,899113,TPE,SGN,CAL6879,3712,B744,CI6879,2021-01-20,09:51:14,10248
1611111137,14.4512,14.488,9800,290,293,899113,TPE,SGN,CAL6879,2944,B744,CI6879,2021-01-20,09:52:17,10185
1611111195,14.421199999999999,14.408000000000001,11425,227,342,899113,TPE,SGN,CAL6879,1536,B744,CI6879,2021-01-20,09:53:15,10127
1611111248,14.3612,14.337999999999994,13025,223,391,899113,TPE,SGN,CAL6879,2688,B744,CI6879,2021-01-20,09:54:08,10074
1611111313,14.2712,14.248000000000005,16125,225,404,899113,TPE,SGN,CAL6879,3072,B744,CI6879,2021-01-20,09:55:13,10009
1611111374,14.191200000000002,14.158000000000001,18925,224,411,899113,TPE,SGN,CAL6879,2368,B744,CI6879,2021-01-20,09:56:14,9948
1611111434,14.1112,14.067999999999998,21225,224,420,899113,TPE,SGN,CAL6879,2304,B744,CI6879,2021-01-20,09:57:14,9888
1611111488,14.031200000000002,13.988,23050,224,432,899113,TPE,SGN,CAL6879,2048,B744,CI6879,2021-01-20,09:58:08,9834
1611111554,13.941200000000002,13.888000000000005,24825,224,445,899113,TPE,SGN,CAL6879,1344,B744,CI6879,2021-01-20,09:59:14,9768
1611111610,13.8412,13.807999999999993,26275,214,458,899113,TPE,SGN,CAL6879,1536,B744,CI6879,2021-01-20,10:00:10,9712
1611111673,13.7212,13.748000000000005,28075,193,476,899113,TPE,SGN,CAL6879,1728,B744,CI6879,2021-01-20,10:01:13,9649
1611111737,13.581199999999999,13.718000000000004,30150,191,467,899113,TPE,SGN,CAL6879,2048,B744,CI6879,2021-01-20,10:02:17,9585
1611111800,13.4512,13.688000000000002,31900,192,458,899113,TPE,SGN,CAL6879,1024,B744,CI6879,2021-01-20,10:03:20,9522
1611111862,13.321200000000001,13.647999999999996,32000,192,467,899113,TPE,SGN,CAL6879,64,B744,CI6879,2021-01-20,10:04:22,9460
1611111925,13.191200000000002,13.617999999999995,32000,192,465,899113,TPE,SGN,CAL6879,64,B744,CI6879,2021-01-20,10:05:25,9397
1611111982,13.071200000000001,13.587999999999994,32000,192,466,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,10:06:22,9340
1611112043,12.941200000000002,13.557999999999993,32000,192,467,899113,TPE,SGN,CAL6879,0,B744,CI6879,2021-01-20,10:07:23,9279
