timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1613923934,17.6812,19.287999999999997,38000,231,353,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:12:14,13609
1613924000,17.6112,19.188000000000002,38000,231,354,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:13:20,13543
1613924055,17.5512,19.108000000000004,37975,231,355,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:14:15,13488
1613924119,17.4912,19.018,38000,231,355,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:15:19,13424
1613924183,17.4212,18.927999999999997,37975,231,356,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:16:23,13360
1613924247,17.3612,18.828000000000003,38000,231,356,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:17:27,13296
1613924303,17.3012,18.748000000000005,37975,230,356,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:18:23,13240
1613924361,17.2412,18.667999999999992,37975,230,357,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:19:21,13182
1613924427,17.1712,18.567999999999998,38000,230,358,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:20:27,13116
1613924493,17.101200000000002,18.477999999999994,38000,230,357,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:21:33,13050
1613924551,17.0412,18.388000000000005,37975,230,358,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:22:31,12992
1613924614,16.9712,18.298000000000002,37975,230,357,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:23:34,12929
1613924676,16.9112,18.208,38000,230,361,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:24:36,12867
1613924739,16.8412,18.117999999999995,37975,230,362,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:25:39,12804
1613924794,16.781200000000002,18.037999999999997,37975,230,362,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:26:34,12749
1613924852,16.7212,17.958,38000,230,362,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:27:32,12691
1613924918,16.6512,17.858000000000004,37975,230,364,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:28:38,12625
1613924974,16.5912,17.778000000000006,37975,230,363,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:29:34,12569
1613925035,16.5212,17.688000000000002,38000,230,364,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:30:35,12508
1613925094,16.4612,17.598,37975,230,365,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:31:34,12449
1613925154,16.3912,17.518,37975,230,367,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:32:34,12389
1613925211,16.3312,17.427999999999997,38000,230,367,86EFB0,NRT,SGN,ANA833,64,B789,NH833,2021-02-21,23:33:31,12332
1613925271,16.2712,17.337999999999994,38000,230,367,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:34:31,12272
1613925329,16.2012,17.257999999999996,38000,229,366,86EFB0,NRT,SGN,ANA833,64,B789,NH833,2021-02-21,23:35:29,12214
1613925391,16.1412,17.167999999999992,38000,229,366,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:36:31,12152
1613925447,16.0712,17.087999999999994,37975,229,367,86EFB0,NRT,SGN,ANA833,64,B789,NH833,2021-02-21,23:37:27,12096
1613925490,16.031200000000002,17.028000000000006,38000,229,368,86EFB0,NRT,SGN,ANA833,0,B789,NH833,2021-02-21,23:38:10,12053
1613925566,15.941200000000002,16.908,37975,229,370,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:39:26,11977
1613925628,15.871200000000002,16.817999999999998,37975,229,371,86EFB0,NRT,SGN,ANA833,-64,B789,NH833,2021-02-21,23:40:28,11915
