timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1614809502,2.8712,-5.902000000000001,0,284,15,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:11:42,4712
1614809567,2.8712,-5.912000000000006,0,284,14,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:12:47,4647
1614809621,2.8712,-5.912000000000006,0,14,22,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:13:41,4593
1614809686,2.8811999999999998,-5.912000000000006,0,14,27,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:14:46,4528
1614809740,2.8811999999999998,-5.912000000000006,0,340,7,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:15:40,4474
1614809809,2.8811999999999998,-5.912000000000006,0,222,7,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:16:49,4405
1614809865,2.8811999999999998,-5.912000000000006,0,194,39,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2021-03-04,05:17:45,4349
1614809930,2.8412000000000006,-5.921999999999997,2175,193,163,8007CE,BKK,SGN,IGO8504,4096,A320,6E8504,2021-03-04,05:18:50,4284
1614809993,2.7812,-5.932000000000002,4250,181,232,8007CE,BKK,SGN,IGO8504,2176,A320,6E8504,2021-03-04,05:19:53,4221
1614810049,2.731200000000001,-5.891999999999996,7300,137,273,8007CE,BKK,SGN,IGO8504,4736,A320,6E8504,2021-03-04,05:20:49,4165
1614810115,2.6912000000000003,-5.811999999999998,10975,86,297,8007CE,BKK,SGN,IGO8504,1984,A320,6E8504,2021-03-04,05:21:55,4099
1614810172,2.7012,-5.721999999999994,12875,86,352,8007CE,BKK,SGN,IGO8504,2816,A320,6E8504,2021-03-04,05:22:52,4042
1614810239,2.6812000000000005,-5.611999999999995,15700,110,373,8007CE,BKK,SGN,IGO8504,2688,A320,6E8504,2021-03-04,05:23:59,3975
