timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1615211985,4.8612,7.7379999999999995,40000,224,473,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,20:59:45,4360
1615212269,4.391200000000001,7.257999999999996,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:04:29,4076
1615212329,4.341200000000001,7.177999999999997,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:05:29,4016
1615212389,4.2912,7.108000000000004,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:06:29,3956
1615212449,4.231200000000001,7.028000000000006,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:07:29,3896
1615212509,4.1812000000000005,6.947999999999993,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:08:29,3836
1615212569,4.1212,6.858000000000004,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:09:29,3776
1615212629,4.061200000000001,6.768000000000001,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:10:29,3716
1615212689,4.001200000000001,6.677999999999997,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:11:29,3656
1615212749,3.9412000000000003,6.597999999999999,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:12:29,3596
1615212785,3.901200000000001,6.537999999999997,40000,235,376,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:13:05,3560
1615212966,3.1012000000000004,6.268000000000001,39975,242,483,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:16:06,3379
1615213030,3.0312,6.138000000000005,40000,242,481,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:17:10,3315
1615213093,2.9711999999999996,6.018000000000001,39975,242,482,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:18:13,3252
1615213153,2.9212000000000007,5.917999999999992,39975,242,482,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:19:13,3192
1615213205,2.8512000000000004,5.787999999999997,39975,242,483,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:20:05,3140
1615213274,2.7812,5.647999999999996,39975,242,483,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:21:14,3071
1615213334,2.731200000000001,5.548000000000002,39975,242,483,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:22:14,3011
1615213394,2.6812000000000005,5.447999999999993,39975,242,483,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:23:14,2951
1615213450,2.6012000000000004,5.307999999999993,40000,242,479,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:24:10,2895
1615213503,2.5412,5.177999999999997,39975,242,480,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:25:03,2842
1615213563,2.481200000000001,5.057999999999993,39975,242,479,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:26:03,2782
1615213616,2.4212000000000007,4.947999999999993,40000,242,480,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:26:56,2729
1615213675,2.3612,4.837999999999994,40000,242,480,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:27:55,2670
1615213724,2.3112000000000013,4.7379999999999995,40000,242,483,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:28:44,2621
1615213794,2.241200000000001,4.587999999999994,39975,242,484,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:29:54,2551
1615213848,2.1812000000000005,4.4879999999999995,40000,242,484,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:30:48,2497
1615213914,2.1212,4.358000000000004,39975,242,484,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:31:54,2431
1615213956,2.071200000000001,4.268000000000001,40000,242,486,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:32:36,2389
1615214028,1.991200000000001,4.117999999999995,39975,242,486,86D930,NRT,SGN,JAL759,64,B788,JL759,2021-03-08,21:33:48,2317
1615214072,1.9412000000000003,4.028000000000006,40000,241,484,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:34:32,2273
1615214144,1.8712,3.8880000000000052,40000,241,484,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:35:44,2201
1615214199,1.8112000000000013,3.7680000000000007,39975,241,487,86D930,NRT,SGN,JAL759,64,B788,JL759,2021-03-08,21:36:39,2146
1615214258,1.7512000000000008,3.647999999999996,39975,242,488,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:37:38,2087
1615214320,1.6812000000000005,3.528000000000006,40000,241,489,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:38:40,2025
1615214380,1.6112000000000002,3.397999999999996,39975,241,490,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:39:40,1965
1615214549,1.4312000000000005,3.0579999999999927,40000,241,488,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:42:29,1796
1615214552,1.4312000000000005,3.0579999999999927,40000,241,488,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:42:32,1793
1615214610,1.3712,2.9380000000000024,39975,241,488,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:43:30,1735
1615214667,1.3112000000000013,2.817999999999998,40000,241,489,86D930,NRT,SGN,JAL759,-64,B788,JL759,2021-03-08,21:44:27,1678
1615214727,1.241200000000001,2.6979999999999933,40000,241,489,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:45:27,1618
1615214789,1.1812000000000005,2.567999999999998,40000,241,490,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:46:29,1556
1615214845,1.1212,2.4579999999999984,40000,241,491,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:47:25,1500
1615214911,1.0412,2.328000000000003,39975,241,488,86D930,NRT,SGN,JAL759,0,B788,JL759,2021-03-08,21:48:31,1434
1615214972,0.9812000000000012,2.1979999999999933,39500,241,486,86D930,NRT,SGN,JAL759,-1792,B788,JL759,2021-03-08,21:49:32,1373
1615215144,0.7911999999999999,1.847999999999999,32075,241,503,86D930,NRT,SGN,JAL759,-2368,B788,JL759,2021-03-08,21:52:24,1201
1615215153,0.7812000000000001,1.828000000000003,31725,241,502,86D930,NRT,SGN,JAL759,-2368,B788,JL759,2021-03-08,21:52:33,1192
