timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1615638681,2.8811999999999998,-5.902000000000001,0,101,3,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:31:21,4827
1615638737,2.8811999999999998,-5.902000000000001,0,14,2,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:32:17,4771
1615638792,2.8811999999999998,-5.902000000000001,0,14,2,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:33:12,4716
1615638981,2.8811999999999998,-5.902000000000001,0,292,5,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:36:21,4527
1615639037,2.8811999999999998,-5.912000000000006,0,284,7,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:37:17,4471
1615639103,2.8811999999999998,-5.912000000000006,0,14,9,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:38:23,4405
1615639157,2.8811999999999998,-5.912000000000006,0,357,6,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:39:17,4351
1615639223,2.8811999999999998,-5.912000000000006,0,284,7,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:40:23,4285
1615639283,2.8811999999999998,-5.912000000000006,0,194,53,880C44,BKK,SGN,AIQ9210,0,A320,FD9210,2021-03-13,19:41:23,4225
1615639328,2.8512000000000004,-5.912000000000006,700,194,153,880C44,BKK,SGN,AIQ9210,2752,A320,FD9210,2021-03-13,19:42:08,4180
1615639400,2.8011999999999997,-5.932000000000002,3050,194,176,880C44,BKK,SGN,AIQ9210,1984,A320,FD9210,2021-03-13,19:43:20,4108
1615639457,2.7512000000000008,-5.912000000000006,4125,139,247,880C44,BKK,SGN,AIQ9210,1728,A320,FD9210,2021-03-13,19:44:17,4051
1615639522,2.7012,-5.852000000000004,6925,116,272,880C44,BKK,SGN,AIQ9210,1024,A320,FD9210,2021-03-13,19:45:22,3986
1615639586,2.7012,-5.7620000000000005,8300,86,304,880C44,BKK,SGN,AIQ9210,1024,A320,FD9210,2021-03-13,19:46:26,3922
1615639649,2.7012,-5.671999999999997,10650,86,341,880C44,BKK,SGN,AIQ9210,2688,A320,FD9210,2021-03-13,19:47:29,3859
1615639706,2.7112,-5.572000000000003,12825,92,368,880C44,BKK,SGN,AIQ9210,2368,A320,FD9210,2021-03-13,19:48:26,3802
