timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1616887740,-9.4688,-2.671999999999997,0,30,8,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:29:00,5534
1616887796,-9.4388,-2.662000000000006,1075,23,166,76AA6D,SIN,SGN,JSA555,2880,A320,3K555,2021-03-28,06:29:56,5478
1616887872,-9.3788,-2.632000000000005,3950,23,231,76AA6D,SIN,SGN,JSA555,1856,A320,3K555,2021-03-28,06:31:12,5402
1616887924,-9.3188,-2.6119999999999948,6175,355,294,76AA6D,SIN,SGN,JSA555,3456,A320,3K555,2021-03-28,06:32:04,5350
1616887998,-9.2188,-2.662000000000006,10575,333,308,76AA6D,SIN,SGN,JSA555,3008,A320,3K555,2021-03-28,06:33:18,5276
1616888064,-9.1288,-2.701999999999998,13150,333,352,76AA6D,SIN,SGN,JSA555,3712,A320,3K555,2021-03-28,06:34:24,5210
1616888122,-9.0388,-2.7420000000000044,15500,355,370,76AA6D,SIN,SGN,JSA555,2432,A320,3K555,2021-03-28,06:35:22,5152
1616888180,-8.9388,-2.7519999999999953,18025,356,376,76AA6D,SIN,SGN,JSA555,2432,A320,3K555,2021-03-28,06:36:20,5094
1616888239,-8.8288,-2.7519999999999953,20250,356,387,76AA6D,SIN,SGN,JSA555,2752,A320,3K555,2021-03-28,06:37:19,5035
1616888303,-8.7188,-2.7620000000000005,22200,356,403,76AA6D,SIN,SGN,JSA555,2560,A320,3K555,2021-03-28,06:38:23,4971
1616888358,-8.608799999999999,-2.7720000000000056,23625,356,419,76AA6D,SIN,SGN,JSA555,1792,A320,3K555,2021-03-28,06:39:18,4916
1616888424,-8.4788,-2.7720000000000056,25275,356,432,76AA6D,SIN,SGN,JSA555,1536,A320,3K555,2021-03-28,06:40:24,4850
1616888479,-8.3688,-2.7720000000000056,26625,12,440,76AA6D,SIN,SGN,JSA555,1984,A320,3K555,2021-03-28,06:41:19,4795
1616888538,-8.2488,-2.7420000000000044,28400,13,439,76AA6D,SIN,SGN,JSA555,1664,A320,3K555,2021-03-28,06:42:18,4736
1616888599,-8.1288,-2.7120000000000033,29775,13,448,76AA6D,SIN,SGN,JSA555,1664,A320,3K555,2021-03-28,06:43:19,4675
1616888652,-8.018799999999999,-2.6920000000000073,31050,12,452,76AA6D,SIN,SGN,JSA555,1280,A320,3K555,2021-03-28,06:44:12,4622
1616888714,-7.8888,-2.662000000000006,32025,3,470,76AA6D,SIN,SGN,JSA555,832,A320,3K555,2021-03-28,06:45:14,4560
1616888784,-7.7387999999999995,-2.662000000000006,33475,3,472,76AA6D,SIN,SGN,JSA555,1600,A320,3K555,2021-03-28,06:46:24,4490
1616888840,-7.618799999999999,-2.652000000000001,34625,3,472,76AA6D,SIN,SGN,JSA555,1088,A320,3K555,2021-03-28,06:47:20,4434
1616888899,-7.4788,-2.641999999999996,35550,3,480,76AA6D,SIN,SGN,JSA555,1280,A320,3K555,2021-03-28,06:48:19,4375
1616888957,-7.3588,-2.632000000000005,36800,7,475,76AA6D,SIN,SGN,JSA555,960,A320,3K555,2021-03-28,06:49:17,4317
1616889020,-7.2188,-2.622,37975,1,470,76AA6D,SIN,SGN,JSA555,192,A320,3K555,2021-03-28,06:50:20,4254
1616889080,-7.088799999999999,-2.622,38000,1,468,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:51:20,4194
1616889135,-6.9688,-2.6119999999999948,38000,1,468,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:52:15,4139
1616889194,-6.838799999999999,-2.6119999999999948,38000,1,466,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:53:14,4080
1616889256,-6.708799999999999,-2.6119999999999948,37975,1,466,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:54:16,4018
1616889316,-6.578799999999999,-2.602000000000004,38000,1,465,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:55:16,3958
1616889377,-6.4388,-2.602000000000004,38000,1,464,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:56:17,3897
1616889438,-6.3187999999999995,-2.5919999999999987,37975,1,466,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:57:18,3836
1616889502,-6.168799999999999,-2.5919999999999987,38000,1,468,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:58:22,3772
1616889560,-6.0488,-2.5919999999999987,38025,1,469,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,06:59:20,3714
1616890242,-4.5588,-2.5420000000000016,38000,1,467,76AA6D,SIN,SGN,JSA555,64,A320,3K555,2021-03-28,07:10:42,3032
1616890294,-4.448799999999999,-2.5420000000000016,38000,1,465,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:11:34,2980
1616890363,-4.2988,-2.5319999999999965,38000,1,464,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:12:43,2911
1616890429,-4.158799999999999,-2.5319999999999965,38000,1,465,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:13:49,2845
1616890487,-4.0287999999999995,-2.5220000000000056,38000,1,466,76AA6D,SIN,SGN,JSA555,64,A320,3K555,2021-03-28,07:14:47,2787
1616890548,-3.8987999999999996,-2.5120000000000005,38025,23,455,76AA6D,SIN,SGN,JSA555,64,A320,3K555,2021-03-28,07:15:48,2726
1616890603,-3.7988,-2.451999999999998,38025,31,450,76AA6D,SIN,SGN,JSA555,-64,A320,3K555,2021-03-28,07:16:43,2671
1616890665,-3.6987999999999994,-2.382000000000005,38000,31,448,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:17:45,2609
1616890720,-3.5987999999999998,-2.3220000000000027,37975,31,447,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:18:40,2554
1616890778,-3.5088,-2.2620000000000005,37975,31,447,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:19:38,2496
1616890846,-3.378799999999999,-2.182000000000002,38000,31,448,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:20:46,2428
1616890909,-3.2588,-2.1119999999999948,38000,31,449,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:21:49,2365
1616890964,-3.168799999999999,-2.0520000000000067,38000,31,447,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:22:44,2310
1616891031,-3.0488,-1.9819999999999993,38000,31,446,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:23:51,2243
1616891092,-2.9387999999999996,-1.9120000000000061,38000,31,447,76AA6D,SIN,SGN,JSA555,-64,A320,3K555,2021-03-28,07:24:52,2182
1616891156,-2.8287999999999993,-1.8419999999999987,38000,31,447,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:25:56,2118
1616891213,-2.7287999999999997,-1.7720000000000056,38000,32,448,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:26:53,2061
1616891275,-2.6188000000000002,-1.7120000000000033,38025,32,448,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:27:55,1999
1616891340,-2.4987999999999992,-1.632000000000005,38025,31,444,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:29:00,1934
1616891399,-2.3987999999999996,-1.5720000000000027,38000,32,443,76AA6D,SIN,SGN,JSA555,-64,A320,3K555,2021-03-28,07:29:59,1875
1616891460,-2.2888,-1.5019999999999953,37975,32,443,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:31:00,1814
1616891514,-2.1988000000000003,-1.4420000000000073,37975,32,443,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:31:54,1760
1616891585,-2.0787999999999993,-1.3719999999999999,38000,32,444,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:33:05,1689
1616891643,-1.9687999999999999,-1.3020000000000067,38000,32,446,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:34:03,1631
1616891706,-1.8587999999999987,-1.2319999999999993,37975,32,451,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:35:06,1568
1616891769,-1.7487999999999992,-1.1620000000000061,38025,32,454,76AA6D,SIN,SGN,JSA555,64,A320,3K555,2021-03-28,07:36:09,1505
1616891831,-1.6387999999999998,-1.0919999999999987,38050,32,452,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:37:11,1443
1616891896,-1.5288000000000004,-1.0220000000000056,38025,32,451,76AA6D,SIN,SGN,JSA555,0,A320,3K555,2021-03-28,07:38:16,1378
1616891953,-1.4187999999999992,-0.9519999999999982,37350,32,444,76AA6D,SIN,SGN,JSA555,-896,A320,3K555,2021-03-28,07:39:13,1321
1616892005,-1.3287999999999993,-0.902000000000001,36500,32,454,76AA6D,SIN,SGN,JSA555,-1088,A320,3K555,2021-03-28,07:40:05,1269
1616892072,-1.2088,-0.8220000000000027,35350,32,461,76AA6D,SIN,SGN,JSA555,-1536,A320,3K555,2021-03-28,07:41:12,1202
1616892128,-1.1087999999999987,-0.7620000000000005,33300,32,460,76AA6D,SIN,SGN,JSA555,-2368,A320,3K555,2021-03-28,07:42:08,1146
1616892192,-0.9987999999999992,-0.6820000000000022,30950,32,450,76AA6D,SIN,SGN,JSA555,-2432,A320,3K555,2021-03-28,07:43:12,1082
1616892256,-0.8788,-0.6119999999999948,28475,32,442,76AA6D,SIN,SGN,JSA555,-2432,A320,3K555,2021-03-28,07:44:16,1018
1616892320,-0.7687999999999988,-0.5420000000000016,26125,32,433,76AA6D,SIN,SGN,JSA555,-2368,A320,3K555,2021-03-28,07:45:20,954
1616892384,-0.6587999999999994,-0.4719999999999942,23675,32,420,76AA6D,SIN,SGN,JSA555,-2432,A320,3K555,2021-03-28,07:46:24,890
1616892442,-0.5687999999999995,-0.41200000000000614,21550,32,403,76AA6D,SIN,SGN,JSA555,-2304,A320,3K555,2021-03-28,07:47:22,832
1616892502,-0.48879999999999946,-0.34199999999999875,19400,46,386,76AA6D,SIN,SGN,JSA555,-2304,A320,3K555,2021-03-28,07:48:22,772
1616892561,-0.4187999999999992,-0.26200000000000045,17850,46,361,76AA6D,SIN,SGN,JSA555,-2112,A320,3K555,2021-03-28,07:49:21,713
1616892618,-0.3587999999999987,-0.19200000000000728,16100,46,349,76AA6D,SIN,SGN,JSA555,-1728,A320,3K555,2021-03-28,07:50:18,656
1616892685,-0.28880000000000017,-0.12199999999999989,13725,46,327,76AA6D,SIN,SGN,JSA555,-2944,A320,3K555,2021-03-28,07:51:25,589
1616892745,-0.21879999999999988,-0.05200000000000671,10425,48,322,76AA6D,SIN,SGN,JSA555,-3648,A320,3K555,2021-03-28,07:52:25,529
1616892799,-0.17879999999999896,0.007999999999995566,8425,53,290,76AA6D,SIN,SGN,JSA555,-4096,A320,3K555,2021-03-28,07:53:19,475
1616892863,-0.12880000000000003,0.07800000000000296,6225,55,268,76AA6D,SIN,SGN,JSA555,-1472,A320,3K555,2021-03-28,07:54:23,411
