timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1617521546,-9.4688,-2.671999999999997,0,180,0,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:32:26,7481
1617521606,-9.4688,-2.671999999999997,0,180,0,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:33:26,7421
1617521651,-9.4688,-2.671999999999997,0,180,0,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:34:11,7376
1617521772,-9.4688,-2.671999999999997,0,22,56,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:36:12,7255
1617521847,-9.4188,-2.652000000000001,2750,21,166,76D1C4,SIN,SGN,TGW302,2112,A20N,TR302,2021-04-04,14:37:27,7180
1617521891,-9.3888,-2.641999999999996,4300,22,235,76D1C4,SIN,SGN,TGW302,1344,A20N,TR302,2021-04-04,14:38:11,7136
1617521971,-9.2888,-2.622,8300,333,265,76D1C4,SIN,SGN,TGW302,3776,A20N,TR302,2021-04-04,14:39:31,7056
1617522028,-9.2288,-2.662000000000006,11300,332,305,76D1C4,SIN,SGN,TGW302,1600,A20N,TR302,2021-04-04,14:40:28,6999
1617522094,-9.1288,-2.701999999999998,13900,333,359,76D1C4,SIN,SGN,TGW302,2880,A20N,TR302,2021-04-04,14:41:34,6933
1617522150,-9.0488,-2.7420000000000044,16675,353,375,76D1C4,SIN,SGN,TGW302,3584,A20N,TR302,2021-04-04,14:42:30,6877
1617522203,-8.948799999999999,-2.7519999999999953,18800,356,400,76D1C4,SIN,SGN,TGW302,2816,A20N,TR302,2021-04-04,14:43:23,6824
1617522262,-8.838799999999999,-2.7519999999999953,21125,356,419,76D1C4,SIN,SGN,TGW302,2752,A20N,TR302,2021-04-04,14:44:22,6765
1617522331,-8.698799999999999,-2.7620000000000005,23375,356,442,76D1C4,SIN,SGN,TGW302,1792,A20N,TR302,2021-04-04,14:45:31,6696
1617522387,-8.5788,-2.7720000000000056,25275,356,453,76D1C4,SIN,SGN,TGW302,1664,A20N,TR302,2021-04-04,14:46:27,6640
1617522442,-8.4688,-2.7819999999999965,26925,356,465,76D1C4,SIN,SGN,TGW302,1920,A20N,TR302,2021-04-04,14:47:22,6585
1617522503,-8.338799999999999,-2.7620000000000005,28550,8,476,76D1C4,SIN,SGN,TGW302,1344,A20N,TR302,2021-04-04,14:48:23,6524
1617522567,-8.1888,-2.7420000000000044,30900,8,471,76D1C4,SIN,SGN,TGW302,1536,A20N,TR302,2021-04-04,14:49:27,6460
1617522622,-8.0688,-2.7319999999999993,32525,8,475,76D1C4,SIN,SGN,TGW302,2432,A20N,TR302,2021-04-04,14:50:22,6405
1617522686,-7.928799999999999,-2.701999999999998,34300,8,478,76D1C4,SIN,SGN,TGW302,1792,A20N,TR302,2021-04-04,14:51:26,6341
1617522741,-7.8088,-2.6920000000000073,35825,8,478,76D1C4,SIN,SGN,TGW302,1408,A20N,TR302,2021-04-04,14:52:21,6286
1617522800,-7.678799999999999,-2.671999999999997,37350,8,477,76D1C4,SIN,SGN,TGW302,1472,A20N,TR302,2021-04-04,14:53:20,6227
1617522866,-7.5388,-2.641999999999996,38000,8,463,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:54:26,6161
1617522930,-7.408799999999999,-2.622,38000,8,469,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:55:30,6097
1617522985,-7.2888,-2.6119999999999948,38000,8,470,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:56:25,6042
1617523043,-7.158799999999999,-2.5919999999999987,38000,8,470,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:57:23,5984
1617523106,-7.0287999999999995,-2.5720000000000027,38000,8,469,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:58:26,5921
1617523165,-6.8988,-2.5520000000000067,38000,8,468,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,14:59:25,5862
1617523226,-6.7688,-2.5319999999999965,38000,8,466,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,15:00:26,5801
1617523278,-6.658799999999999,-2.5120000000000005,38000,8,465,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,15:01:18,5749
1617523338,-6.5287999999999995,-2.4920000000000044,37975,8,465,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,15:02:18,5689
1617523399,-6.3988,-2.471999999999994,37975,8,466,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,15:03:19,5628
1617523455,-6.2787999999999995,-2.4620000000000033,38000,8,466,76D1C4,SIN,SGN,TGW302,0,A20N,TR302,2021-04-04,15:04:15,5572
