timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1618199473,5.251200000000001,1.5480000000000018,1300,357,182,8881B9,DAD,SGN,VAG673,1664,A321,VU673,2021-04-12,10:51:13,4222
1618199534,5.321200000000001,1.5480000000000018,3675,358,229,8881B9,DAD,SGN,VAG673,3456,A321,VU673,2021-04-12,10:52:14,4161
1618199609,5.341200000000001,1.597999999999999,7600,135,247,8881B9,DAD,SGN,VAG673,3392,A321,VU673,2021-04-12,10:53:29,4086
1618199664,5.281200000000002,1.617999999999995,9525,167,282,8881B9,DAD,SGN,VAG673,1088,A321,VU673,2021-04-12,10:54:24,4031
1618199726,5.191200000000002,1.6380000000000052,10950,169,347,8881B9,DAD,SGN,VAG673,3328,A321,VU673,2021-04-12,10:55:26,3969
1618199781,5.1112,1.6580000000000013,13600,168,350,8881B9,DAD,SGN,VAG673,2176,A321,VU673,2021-04-12,10:56:21,3914
1618199848,5.001200000000001,1.6779999999999973,16750,169,348,8881B9,DAD,SGN,VAG673,1920,A321,VU673,2021-04-12,10:57:28,3847
1618199907,4.901200000000001,1.6979999999999933,18750,169,368,8881B9,DAD,SGN,VAG673,1792,A321,VU673,2021-04-12,10:58:27,3788
1618199967,4.8012,1.7180000000000035,21000,168,377,8881B9,DAD,SGN,VAG673,1216,A321,VU673,2021-04-12,10:59:27,3728
1618200022,4.7012,1.7379999999999995,22225,168,404,8881B9,DAD,SGN,VAG673,768,A321,VU673,2021-04-12,11:00:22,3673
1618200080,4.591200000000001,1.7480000000000047,23425,186,429,8881B9,DAD,SGN,VAG673,2048,A321,VU673,2021-04-12,11:01:20,3615
1618200138,4.481200000000001,1.7279999999999944,25075,186,437,8881B9,DAD,SGN,VAG673,1536,A321,VU673,2021-04-12,11:02:18,3557
1618200189,4.3712,1.7180000000000035,26100,185,452,8881B9,DAD,SGN,VAG673,1664,A321,VU673,2021-04-12,11:03:09,3506
1618200264,4.2112,1.7079999999999984,27775,185,465,8881B9,DAD,SGN,VAG673,1472,A321,VU673,2021-04-12,11:04:24,3431
1618200329,4.071200000000001,1.6880000000000024,29825,185,460,8881B9,DAD,SGN,VAG673,2432,A321,VU673,2021-04-12,11:05:29,3366
1618200384,3.9612,1.6779999999999973,31825,185,446,8881B9,DAD,SGN,VAG673,1216,A321,VU673,2021-04-12,11:06:24,3311
1618200438,3.8512000000000004,1.6679999999999922,32000,185,437,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:07:18,3257
1618200504,3.7112,1.6580000000000013,32000,185,440,8881B9,DAD,SGN,VAG673,64,A321,VU673,2021-04-12,11:08:24,3191
1618200565,3.5912000000000006,1.6479999999999961,32000,185,439,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:09:25,3130
1618200616,3.481200000000001,1.6380000000000052,32000,185,440,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:10:16,3079
1618200684,3.3512000000000004,1.617999999999995,32000,185,441,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:11:24,3011
1618200744,3.2211999999999996,1.608000000000004,32025,185,442,8881B9,DAD,SGN,VAG673,64,A321,VU673,2021-04-12,11:12:24,2951
1618200805,3.1012000000000004,1.597999999999999,32025,185,440,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:13:25,2890
1618200855,3.0012000000000008,1.5879999999999939,32000,185,439,8881B9,DAD,SGN,VAG673,-64,A321,VU673,2021-04-12,11:14:15,2840
1618200923,2.8612,1.5679999999999978,32000,185,439,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:15:23,2772
1618200979,2.7512000000000008,1.5579999999999927,32000,185,438,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:16:19,2716
1618201040,2.6212,1.5480000000000018,32000,185,438,8881B9,DAD,SGN,VAG673,-64,A321,VU673,2021-04-12,11:17:20,2655
1618201101,2.5012000000000008,1.5379999999999967,31975,185,439,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:18:21,2594
1618201161,2.3811999999999998,1.5280000000000058,32000,185,441,8881B9,DAD,SGN,VAG673,64,A321,VU673,2021-04-12,11:19:21,2534
1618201220,2.2612000000000005,1.5079999999999956,32025,185,440,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:20:20,2475
1618201282,2.1412000000000013,1.4980000000000047,32025,185,439,8881B9,DAD,SGN,VAG673,-64,A321,VU673,2021-04-12,11:21:22,2413
1618201335,2.0312,1.4879999999999995,31975,185,439,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:22:15,2360
1618201399,1.9012000000000011,1.4779999999999944,31975,185,440,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:23:19,2296
1618201460,1.7712000000000003,1.4680000000000035,32000,181,441,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:24:20,2235
1618201514,1.661200000000001,1.4680000000000035,32000,186,454,8881B9,DAD,SGN,VAG673,-64,A321,VU673,2021-04-12,11:25:14,2181
1618201572,1.5412,1.4179999999999922,32000,206,470,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:26:12,2123
1618201640,1.411200000000001,1.347999999999999,32000,206,468,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:27:20,2055
1618201693,1.3112000000000013,1.2980000000000018,32025,206,470,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:28:13,2002
1618201751,1.1912000000000003,1.2379999999999995,32025,206,471,8881B9,DAD,SGN,VAG673,0,A321,VU673,2021-04-12,11:29:11,1944
1618201819,1.0612000000000013,1.1779999999999973,31350,206,471,8881B9,DAD,SGN,VAG673,-960,A321,VU673,2021-04-12,11:30:19,1876
1618201885,0.9312000000000005,1.108000000000004,29600,206,472,8881B9,DAD,SGN,VAG673,-3584,A321,VU673,2021-04-12,11:31:25,1810
1618201938,0.8312000000000008,1.0579999999999927,27250,206,477,8881B9,DAD,SGN,VAG673,-1088,A321,VU673,2021-04-12,11:32:18,1757
1618202005,0.6912000000000003,0.9879999999999995,26100,206,471,8881B9,DAD,SGN,VAG673,-1024,A321,VU673,2021-04-12,11:33:25,1690
