timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time,transit_time
1589006849,16.97,109.42,34025,233,480,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:47:29,3460
1589006908,16.87,109.34,34025,198,479,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:48:28,3401
1589006967,16.73,109.33,34025,184,476,88813C,HKG,SGN,VJC6561,-64,A321,VJ6561,2020-05-09,13:49:27,3342
1589007031,16.59,109.32,33975,184,476,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:50:31,3278
1589007094,16.45,109.31,33975,184,477,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:51:34,3215
1589007152,16.32,109.3,34000,184,477,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:52:32,3157
1589007216,16.18,109.29,34025,184,477,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:53:36,3093
1589007276,16.05,109.28,34000,184,477,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:54:36,3033
1589007421,15.73,109.25,34000,184,477,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:57:01,2888
1589007557,15.43,109.22,34000,186,480,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:59:17,2752
1589007596,15.34,109.21,34000,186,479,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,13:59:56,2713
1589007650,15.22,109.2,34000,186,479,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:00:50,2659
1589007705,15.1,109.18,34000,186,478,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:01:45,2604
1589007768,14.96,109.16,33975,191,479,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:02:48,2541
1589007834,14.83,109.12,34000,199,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:03:54,2475
1589007890,14.71,109.08,34025,199,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:04:50,2419
1589007949,14.58,109.03,34025,199,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:05:49,2360
1589008011,14.45,108.98,34000,199,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:06:51,2298
1589008071,14.32,108.94,34000,198,484,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:07:51,2238
1589008135,14.19,108.89,34000,199,485,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:08:55,2174
1589008197,14.05,108.84,34000,199,485,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:09:57,2112
1589008258,13.92,108.8,34000,199,484,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:10:58,2051
1589008322,13.79,108.75,34000,199,484,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:12:02,1987
1589008379,13.67,108.71,34000,199,483,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:12:59,1930
1589008441,13.54,108.65,34000,217,481,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:14:01,1868
1589008500,13.44,108.57,34000,218,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:15:00,1809
1589008557,13.34,108.48,33975,219,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:15:57,1752
1589008618,13.23,108.39,33975,219,484,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:16:58,1691
1589008677,13.13,108.31,34025,219,483,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:17:57,1632
1589008738,13.02,108.22,34025,217,485,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:18:58,1571
1589008794,12.92,108.15,34000,215,484,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:19:54,1515
1589008858,12.81,108.06,34000,216,482,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:20:58,1451
1589008922,12.69,107.97,34000,216,483,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:22:02,1387
1589008985,12.57,107.89,34025,212,481,88813C,HKG,SGN,VJC6561,0,A321,VJ6561,2020-05-09,14:23:05,1324
1589009043,12.47,107.82,34025,212,477,88813C,HKG,SGN,VJC6561,-64,A321,VJ6561,2020-05-09,14:24:03,1266
1589009108,12.34,107.74,33975,212,477,88813C,HKG,SGN,VJC6561,64,A321,VJ6561,2020-05-09,14:25:08,1201
1589009170,12.23,107.67,32975,212,468,88813C,HKG,SGN,VJC6561,-3200,A321,VJ6561,2020-05-09,14:26:10,1139
1589009232,12.11,107.59,29625,212,472,88813C,HKG,SGN,VJC6561,-4032,A321,VJ6561,2020-05-09,14:27:12,1077
1589009293,11.99,107.53,25775,198,482,88813C,HKG,SGN,VJC6561,-3392,A321,VJ6561,2020-05-09,14:28:13,1016
1589009352,11.87,107.49,23150,196,461,88813C,HKG,SGN,VJC6561,-3520,A321,VJ6561,2020-05-09,14:29:12,957
1589009418,11.74,107.45,20625,195,445,88813C,HKG,SGN,VJC6561,-1984,A321,VJ6561,2020-05-09,14:30:18,891
1589009474,11.63,107.42,18675,196,428,88813C,HKG,SGN,VJC6561,-2240,A321,VJ6561,2020-05-09,14:31:14,835
1589009538,11.51,107.38,16425,195,403,88813C,HKG,SGN,VJC6561,-1024,A321,VJ6561,2020-05-09,14:32:18,771
1589009596,11.41,107.36,14900,195,378,88813C,HKG,SGN,VJC6561,-2304,A321,VJ6561,2020-05-09,14:33:16,713
1589009662,11.3,107.32,12500,195,371,88813C,HKG,SGN,VJC6561,-2560,A321,VJ6561,2020-05-09,14:34:22,647
1589009721,11.22,107.27,10325,225,371,88813C,HKG,SGN,VJC6561,-448,A321,VJ6561,2020-05-09,14:35:21,588
1589009781,11.15,107.2,9800,225,319,88813C,HKG,SGN,VJC6561,-768,A321,VJ6561,2020-05-09,14:36:21,528
1589009842,11.09,107.13,8500,225,302,88813C,HKG,SGN,VJC6561,-1344,A321,VJ6561,2020-05-09,14:37:22,467
1589009901,11.04,107.08,7175,225,292,88813C,HKG,SGN,VJC6561,-1408,A321,VJ6561,2020-05-09,14:38:21,408
1589009963,10.99,107.01,5925,240,280,88813C,HKG,SGN,VJC6561,-1216,A321,VJ6561,2020-05-09,14:39:23,346
1589010024,10.95,106.94,4550,240,269,88813C,HKG,SGN,VJC6561,-512,A321,VJ6561,2020-05-09,14:40:24,285
1589010078,10.92,106.88,4000,240,241,88813C,HKG,SGN,VJC6561,-832,A321,VJ6561,2020-05-09,14:41:18,231
1589010142,10.88,106.82,3000,248,220,88813C,HKG,SGN,VJC6561,-896,A321,VJ6561,2020-05-09,14:42:22,167
1589010204,10.86,106.76,2125,248,197,88813C,HKG,SGN,VJC6561,-896,A321,VJ6561,2020-05-09,14:43:24,105
1589010257,10.85,106.72,1325,249,158,88813C,HKG,SGN,VJC6561,-1024,A321,VJ6561,2020-05-09,14:44:17,52
1589010309,10.83,106.69,750,249,151,88813C,HKG,SGN,VJC6561,-768,A321,VJ6561,2020-05-09,14:45:09,0
